Year      AOIa 
  1951     -0.46 
  1952      0.42 
  1953     -0.66 
  1954      0.32 
  1955     -0.38 
  1956     -0.83 
  1957      0.41 
  1958     -0.58 
  1959     -0.09 
  1960     -1.13 
  1961     -0.11 
  1962      0.14 
  1963     -1.43 
  1964     -0.15 
  1965     -0.74 
  1966     -1.07 
  1967      0.01 
  1968     -0.60 
  1969     -1.75 
  1970     -1.38 
  1971     -0.19 
  1972      0.48 
  1973      1.20 
  1974      0.12 
  1975      0.93 
  1976      1.12 
  1977     -2.04 
  1978     -0.80 
  1979     -0.89 
  1980     -0.25 
  1981      0.10 
  1982     -0.08 
  1983      0.40 
  1984      0.48 
  1985     -0.86 
  1986     -1.33 
  1987     -0.50 
  1988     -0.14 
  1989      2.60 
  1990      1.34 
  1991      0.57 
  1992      1.20 
  1993      1.79 
  1994     -0.12 
  1995      0.88 
  1996     -0.68 
  1997      0.16 
  1998     -0.43 
  1999      0.81 
  2000      1.23 
  2001     -0.90 
  2002      0.64 
  2003     -0.32 
  2004     -0.60 
  2005      0.34 
  2006     -0.46 
  2007      1.12 
  2008      1.00 
  2009      0.47 
  2010     -2.75 
  2011     -0.55 
  2012      0.82 
  2013     -0.73 
  2014      0.41 
  2015      0.99 
  2016      0.24 
