Year       IRI 
  1979      0.00 
  1980      8.00 
  1981      0.00 
  1982     36.00 
  1983      3.00 
  1984      7.00 
  1985     40.00 
  1986     24.00 
  1987      0.00 
  1988     31.00 
  1989     14.00 
  1990     13.00 
  1991      6.00 
  1992     31.00 
  1993      0.00 
  1994     21.00 
  1995     30.00 
  1996      0.00 
  1997     26.00 
  1998      0.00 
  1999     37.00 
  2000      0.00 
  2001      0.00 
  2002      0.00 
  2003      0.00 
  2004      9.00 
  2005      0.00 
  2006     13.00 
  2007     28.00 
  2008     38.00 
  2009     46.00 
  2010     37.00 
  2011     31.00 
  2012     46.00 
  2013     33.00 
  2014      0.00 
  2015      0.00 
  2016      0.00 
  2017     24.00 
 
