 Year      PDOw      PDOs      PDOa 
  1900     1e+35      0.58      0.45 
  1901      0.62     -0.62     -0.13 
  1902      0.75      1.22      0.77 
  1903     -0.16      0.55      0.16 
  1904     -0.10     -1.25     -0.25 
  1905      0.57      0.93      0.64 
  1906      0.53      0.27      0.49 
  1907     -0.39      0.08      0.12 
  1908      1.03     -0.01      0.38 
  1909      0.80     -0.57     -0.12 
  1910     -0.32     -0.10     -0.08 
  1911     -0.09      0.31     -0.16 
  1912     -0.65      0.33      0.15 
  1913      0.43      1.26      0.57 
  1914      0.32      0.00      0.16 
  1915      0.21      0.78      0.18 
  1916     -0.22     -0.78     -0.51 
  1917     -1.19     -0.05     -0.43 
  1918     -0.80      0.25     -0.14 
  1919      0.37     -0.27     -0.10 
  1920     -0.12     -1.47     -0.91 
  1921     -0.33     -0.29     -0.10 
  1922      0.54     -0.93     -0.20 
  1923      0.40      0.89      0.48 
  1924      0.55     -0.16      0.14 
  1925     -0.03     -0.67      0.19 
  1926      0.82      1.57      1.16 
  1927      1.29     -0.12      0.14 
  1928      0.61     -0.09      0.16 
  1929      0.82     -0.08      0.40 
  1930     -0.04     -0.13     -0.10 
  1931      0.95      0.63      0.74 
  1932      0.08     -0.05     -0.02 
  1933      0.11     -1.35     -0.68 
  1934     -0.08      0.83      1.18 
  1935      1.16      0.90      0.80 
  1936      1.77      2.22      1.73 
  1937      0.26      0.50      0.32 
  1938      0.36     -0.29      0.16 
  1939      0.94      0.03      0.07 
  1940      1.76      1.98      1.77 
  1941      2.06      2.88      1.99 
  1942      0.90      0.58      0.47 
  1943     -0.39     -0.19      0.11 
  1944      0.31     -0.63     -0.13 
  1945     -0.03      0.59     -0.19 
  1946     -0.66     -0.69     -0.58 
  1947     -0.66      0.61      0.50 
  1948      0.27     -0.80     -0.87 
  1949     -2.44     -0.85     -1.23 
  1950     -1.95     -1.80     -1.81 
  1951     -1.12     -0.59     -0.77 
  1952     -1.38     -1.09     -0.87 
  1953     -0.20      0.36     -0.16 
  1954     -0.95      0.49     -0.29 
  1955     -0.61     -2.35     -1.95 
  1956     -2.66     -1.30     -1.80 
  1957     -1.26      1.00      0.23 
  1958      0.11      1.09      0.64 
  1959      0.37     -0.23     -0.03 
  1960      0.29      0.00      0.06 
  1961      0.59     -0.99     -0.82 
  1962     -1.71     -1.19     -1.16 
  1963     -0.48     -0.97     -0.69 
  1964     -0.43     -0.62     -0.77 
  1965     -1.31     -0.36     -0.31 
  1966     -0.26      0.02     -0.46 
  1967     -0.23     -1.10     -0.73 
  1968     -0.58      0.12     -0.40 
  1969     -1.16      0.06     -0.10 
  1970      0.81     -0.75     -0.40 
  1971     -1.54     -1.30     -1.29 
  1972     -1.90     -0.82     -0.92 
  1973     -0.47     -0.89     -0.80 
  1974     -1.21     -0.04     -0.34 
  1975     -0.56     -0.88     -1.10 
  1976     -1.53      0.41      0.01 
  1977      1.33      0.42      0.23 
  1978      0.37     -0.55      0.24 
  1979     -0.78      0.51      0.34 
  1980      0.26      0.17      0.60 
  1981      0.65      0.90      0.92 
  1982      0.40      0.06      0.11 
  1983      0.65      2.57      1.65 
  1984      1.47     -0.01      0.84 
  1985      1.01      0.69      0.45 
  1986      1.04      0.83      1.24 
  1987      1.80      1.86      1.82 
  1988      1.15      0.52      0.53 
  1989     -0.80      0.43     -0.18 
  1990     -0.39      0.27     -0.36 
  1991     -1.81     -0.40     -0.42 
  1992      0.15      1.53      0.93 
  1993      0.26      2.46      1.42 
  1994      0.96     -0.09     -0.15 
  1995     -0.61      1.06      0.64 
  1996      0.50      0.58      0.64 
  1997      0.16      2.63      1.46 
  1998      1.02      0.05      0.25 
  1999     -0.47     -0.97     -1.06 
  2000     -1.49     -0.76     -0.59 
  2001      0.47     -0.85     -0.56 
  2002     -0.43     -0.02      0.22 
  2003      1.98      0.84      0.97 
  2004      0.41      0.44      0.35 
  2005      0.36      0.69      0.38 
  2006      0.63      0.25      0.19 
  2007      0.06      0.46     -0.20 
  2008     -0.78     -1.57     -1.34 
  2009     -1.27     -0.25     -0.61 
  2010      0.58     -0.85     -0.31 
  2011     -0.99     -1.43     -1.23 
  2012     -1.34     -1.44     -1.10 
  2013     -0.35     -1.02     -0.52 
  2014      0.09      0.73      1.13 
  2015      2.42      1.65      1.63 
  2016      1.43      2.03      2.05 
