YEAR,SURVEY_YEAR,TOTAL_FEMALE_BARREN_POP,CV_FEMALE_BARREN_POP,FEMALE_BARREN_POP_CI,TOTAL_FEMALE_TRACE_POP,CV_FEMALE_TRACE_POP,FEMALE_TRACE_POP_CI,TOTAL_FEMALE_QUARTER_POP,CV_FEMALE_QUARTER_POP,FEMALE_QUARTER_POP_CI,TOTAL_FEMALE_HALF_POP,CV_FEMALE_HALF_POP,FEMALE_HALF_POP_CI,TOTAL_FEMALE_THREE_QUARTER_POP,CV_FEMALE_THREE_QUARTER_POP,FEMALE_THREE_QUARTER_POP_CI,TOTAL_FEMALE_FULL_POP,CV_FEMALE_FULL_POP,FEMALE_FULL_POP_CI,TOTAL_FEMALE_IMMATURE_POP,CV_FEMALE_IMMATURE_POP,FEMALE_IMMATURE_POP_CI,TOTAL_FEMALE_MATURE_POP,CV_FEMALE_MATURE_POP,FEMALE_MATURE_POP_CI,SPECIES_CODE,SURVEY_REGION
1975,1975,6905211.054,0.212403733,2874717.506,1004450.732,0.344820164,678855.5377,274239.5393,0.908568607,488364.2552,3383060.519,0.340057923,2254855.604,2999259.263,0.39028227,2294293.116,130387659,0.2010785,51387583.6,98726976.05,0.252147477,48791765.52,153676015.5,0.186227496,56092651.11,68560,EBS
1976,1976,11476121.88,0.221214281,4975816.816,6015133.364,0.495812953,5845466.827,3216968.788,0.281677615,1776050.269,7581210.247,0.224444836,3335064.438,23171115.88,0.265424935,12054376.18,97490247.16,0.224297562,42858976.49,147038080.4,0.332735565,95892605.62,152711332.6,0.196776935,58898133.39,68560,EBS
1977,1977,9648814.045,0.280124337,5297620.573,927208.1957,0.456832059,830213.7219,705810.1239,0.376601525,520985.9717,2188509.393,0.273089721,1171412.463,2222219.81,0.286999312,1250040.091,176291932.9,0.327517954,113167995.4,274612638.8,0.59464614,320062797.7,192106340.6,0.305949816,115198803,68560,EBS
1978,1978,10653578.65,0.334983562,6994796.496,2143936.475,0.397439868,1670088.226,3151103.511,0.420671294,2598134.429,7942333.591,0.445047603,6928044.392,26086156.32,0.456915815,23361587.65,86110569.65,0.200991795,33922735.22,153198693.8,0.271100901,81403315.7,136811051.1,0.227970115,61130108.84,68560,EBS
1979,1979,12204934.41,0.339900106,8130978.665,1863076.25,0.415322581,1516604.169,2793681.613,0.526513866,2882987.729,6519229.688,0.484982257,6196953.028,18817092.74,0.511049513,18848273.53,88623394.73,0.326012769,56629022.35,56681910.17,0.229310465,25475600.19,131371006.8,0.3152542,81173912.85,68560,EBS
1980,1980,8030001.061,0.302285608,4757613.352,4346190.813,0.388260595,3307411.073,8177277.387,0.341071636,5466513.254,13921917.37,0.305215965,8328415.222,19852071.16,0.281553705,10955271.41,371313758.6,0.340975167,248153190.7,174778431.1,0.223927689,76709951.2,430876550.1,0.310603197,262310002.6,68560,EBS
1981,1981,22515828.02,0.492318036,21726498.54,10313863.2,0.539479792,10905676.73,6890107.515,0.583946327,7885967.835,19463072.4,0.45036567,17180379.28,7546204.388,0.461067581,6819447.995,237089816.9,0.287752986,133717673.3,26406963.13,0.242969285,12575518.68,303818892.5,0.288588635,171850211.7,68560,EBS
1982,1982,16708019,0.436628897,14298599.66,12799722.78,0.503983407,12643661.86,10641637.11,0.448789384,9360673.372,9790128.678,0.375340235,7202273.236,22390409.4,0.35670216,15653946.5,391045699.9,0.292425753,224129593.1,30187422.29,0.169154966,10008450.66,464233052.3,0.292610749,266245579.4,68560,EBS
1983,1983,4917165.326,0.2401632,2314607.434,1052374.451,0.28998255,598133.6444,3298505.329,0.616455198,3985426.278,2658549.508,0.25440827,1325659.682,3655521.76,0.296301249,2122945.901,112627738.1,0.209748251,46302003.38,126639762.7,0.26536417,65867084.85,128209854.5,0.196262283,49319007.13,68560,EBS
1984,1984,4555350.181,0.237578509,2121216.48,1060232.056,0.377543267,784555.6088,850254.3681,0.323280078,538745.7852,2499581.765,0.278357918,1363725.618,5934891.746,0.251336379,2923642.239,71473630.47,0.245908122,34448854.66,78524434.62,0.196732096,30278622.1,86430286.57,0.230620392,39067869.68,68560,EBS
