,Year,EBS_SC2,E166_SC2,W166_SC2,EBS_SC3,E166_SC3,W166_SC3,EBS_ovig,E166_ovig,W166_ovig,EBS_os,E166_os,W166_os,SC2_SC3_SC4
1,1975,99127682.17,58405238.27,40722443.9,39162963.51,14663339.14,24499624.37,146770804.4,81136113.51,65634690.93,42111579.7,17478439.91,24633139.79,
2,1976,118415698.9,72295431.96,46120266.99,20149202.98,15319047.52,4830155.467,141235210.8,88005006.49,53230204.28,20182801.56,15352646.1,4830155.467,119310483.7
3,1977,113793165.7,92643912.95,21149252.75,61270188.89,43017955.47,18252233.42,182457526.5,137697110.4,44760416.09,62300069.47,43946279.35,18353790.11,180715768.4
4,1978,34049356.99,8839142.487,25210214.5,53931804.6,37921499.18,16010305.42,126157472.5,78792840.22,47364632.27,79059524.6,61925967.36,17133557.25,192852690.3
5,1979,76852010.53,2107405.109,74744605.42,20618114.46,8043583.432,12574531.02,119166072.4,12304854.73,106861217.6,23347775.99,9486548.563,13861227.42,57397132.98
6,1980,343037341.2,11985199.86,331052141.3,33569855.1,10391685.7,23178169.39,422846549,45495113.52,377351435.5,58266263.19,26984850.07,31281413.12,135118273.7
7,1981,223995840.3,4326378.69,219669461.7,37120990.42,14443402.56,22677587.86,281303064.5,31544105.89,249758958.6,55226850.53,25897911.16,29328939.38,398264191.7
8,1982,40268517.14,4588484.467,35680032.67,391169602.8,9241855.601,381927747.2,447525033.3,26161930.36,421363103,404970393.2,19644516.98,385325876.2,628966233.5
9,1983,6884361.831,3419197.848,3465163.983,97672490.8,6620250.473,91052240.33,123292689.2,16622610.83,106670078.3,113737935.3,10771025.43,102966909.8,154006452.4
10,1984,8130504.589,1534344.691,6596159.898,28802030.34,6314250.066,22487780.27,81874936.39,14521729.19,67353207.2,72520697.33,12671467.19,59849230.13,79405059.16
11,1985,6115460.659,4234826.955,1880633.704,12768766.69,4447023.021,8321743.666,26752957.18,9390282.988,17362674.19,20473912.73,5019735.92,15454176.81,28604417.32
12,1986,6144894.334,2773288.281,3371606.053,2782498.779,1521557.984,1260940.795,13875090.4,6840450.728,7034639.672,6372145.967,3690131.558,2682014.409,12487606.63
13,1987,14250961.05,7155855.615,7095105.435,5789072.202,2997558.656,2791513.546,24756162.67,12855629.3,11900533.37,9941374.631,5494413.664,4446960.966,16086268.97
14,1988,101522630.3,73133637.22,28388993.13,14839815.29,7999815.027,6840000.266,119459260,82329479.43,37129780.58,15848997.56,8723189.65,7125807.908,30099958.61
