,Bairdi_females,cod,fhs_RA2,FHS_lag2,opilio_female,pdo,sst_MJ,AO,NBT,SE_wind,NE_wind
Bairdi_females,1.00,-0.06,0.02,0.02,0.35,-0.18,0.01,0.56,-0.07,0.01,-0.37
cod,-0.06,1.00,-0.45,-0.45,-0.07,-0.28,-0.54,-0.27,-0.17,-0.07,0.00
fhs_RA2,0.02,-0.45,1.00,0.90,0.36,-0.18,0.34,0.37,-0.02,0.09,0.06
FHS_lag2,0.02,-0.45,0.90,1.00,0.35,-0.14,0.38,0.34,0.11,0.02,0.04
opilio_female,0.35,-0.07,0.36,0.35,1.00,-0.30,-0.15,0.51,-0.09,-0.13,-0.17
pdo,-0.18,-0.28,-0.18,-0.14,-0.30,1.00,0.38,-0.22,0.43,-0.17,-0.02
sst_MJ,0.01,-0.54,0.34,0.38,-0.15,0.38,1.00,0.09,0.50,-0.07,-0.23
AO,0.56,-0.27,0.37,0.34,0.51,-0.22,0.09,1.00,0.08,0.03,-0.01
NBT,-0.07,-0.17,-0.02,0.11,-0.09,0.43,0.50,0.08,1.00,0.04,0.20
SE_wind,0.01,-0.07,0.09,0.02,-0.13,-0.17,-0.07,0.03,0.04,1.00,0.35
NE_wind,-0.37,0.00,0.06,0.04,-0.17,-0.02,-0.23,-0.01,0.20,0.35,1.00
