"","Year","April.sst","May.sst","June.sst","July.sst","April.May.sst","May.June.sst","June.July.sst","April.July.sst","May.July.sst","April.anom","May.anom","June.anom","July.anom","April.May.anom","May.June.anom","June.July.anom","April.July.anom","May.July.anom"
"1",1978,2.50148148558758,4.01703701195893,6.16407406771625,8.22851859198676,3.25925924877326,5.09055553983759,7.1962963298515,5.22777778931238,6.13654322388731,0.541538466426127,0.639135773618266,0.22059828263742,-0.469781510623884,0.590337120022197,0.429867028127843,-0.124591613993233,0.232872753014482,0.129984181877266
"2",1979,2.65111111490815,4.18407407513371,6.68518516752455,9.19296298203645,3.41759259502093,5.43462962132913,7.9390740747805,5.67833333490071,6.68740740823157,0.691168095746696,0.806172836793044,0.741709382445724,0.494662879425803,0.74867046626987,0.773941109619384,0.618186130935763,0.683428298602816,0.680848366221523
"3",1980,2.02407406160125,3.15999999311235,5.39518518801089,7.61444445009585,2.5920370273568,4.27759259056162,6.50481481905337,4.54842592320508,5.3898765437397,0.0641310424397985,-0.217901245228316,-0.548290597067939,-1.0838556525148,-0.0768851013942591,-0.383095921148128,-0.81607312479137,-0.446479113092814,-0.616682498270351
"4",1981,3.01148147163568,4.59666665395101,7.42518520355225,9.34777782581471,3.80407406279334,6.01092592875163,8.38648151468348,6.09527778873841,7.12320989443932,1.05153845247423,1.21876541561034,1.48170941847342,0.649477723204059,1.13515193404228,1.35023741704188,1.06559357083874,1.10037275244051,1.11665085242927
"5",1982,1.81148150149319,2.80111112417998,5.18666668291445,7.07148147512365,2.30629631283659,3.99388890354722,6.12907407901905,4.21768519592782,5.0197530940727,-0.148461517668263,-0.576790114160687,-0.756809102164374,-1.62681862748699,-0.362625815914475,-0.666799608162531,-1.19181386482568,-0.77721984037008,-0.986805947937352
"6",1983,2.49555554434105,4.1196296038451,6.90259258835404,9.46185195004499,3.30759257409308,5.51111109609957,8.18222226919951,5.7449074216463,6.82802471408138,0.5356125251796,0.741728365504433,0.959116803275215,0.763551847434339,0.638670445342016,0.850422584389824,0.861334325354775,0.750002385348397,0.821465672071328
"7",1984,1.96481482739802,3.3429629361188,6.51074070400662,8.78296290503608,2.65388888175841,4.92685182006271,7.64685180452135,5.15037034313988,6.2122221817205,0.00487180823656552,-0.0349383022218714,0.567264918927793,0.0846628024254326,-0.0150332469926528,0.266163308352961,0.325963860676612,0.15546530684198,0.205663139710451
"8",1985,1.49259259565561,2.69370371986319,4.73259261802391,7.78740738056324,2.0931481577594,3.71314816894355,6.25999999929357,4.17657407852649,5.07123457281678,-0.467350423505843,-0.684197518477483,-1.21088316705492,-0.910892722047405,-0.575773970991663,-0.9475403427662,-1.06088794455116,-0.818330957771412,-0.935324469193269
"9",1986,1.81148146844848,2.86444442360489,5.33222221445154,7.8577777368051,2.33796294602669,4.09833331902822,6.59499997562832,4.46648146082751,5.35148145828718,-0.148461550712968,-0.513456814735774,-0.611253570627283,-0.840522365805543,-0.330959182724371,-0.562355192681529,-0.725887968216414,-0.528423575470392,-0.655077583722867
"10",1987,3.03407405482398,3.77851850015146,5.93296291210033,8.59444450449061,3.40629627748772,4.8557407061259,7.26370370829547,5.33499999289159,6.1019753055808,1.07413103566253,0.400617261810789,-0.0105128729784925,-0.103855598120042,0.737374148736659,0.195052194416149,-0.0571842355492675,0.340094956593696,0.0954162635707512
