"","Year","EBS_SC0","E166_SC0","W166_SC0","EBS_SC1","E166_SC1","W166_SC1","EBS_SC2","E166_SC2","W166_SC2","EBS_SC3","E166_SC3","W166_SC3","EBS_SC4","E166_SC4","W166_SC4","EBS_SC5","E166_SC5","W166_SC5","EBS_SC_TOTAL","E166_SC_TOTAL","W166_SC_TOTAL","EBS_ovig","E166_ovig","W166_ovig","EBS_os","E166_os","W166_os"
"1",1975,0,0,0,3156812.6935351,3045415.67137268,111397.022162427,99127682.1689945,58405238.2669043,40722443.9020902,39162963.509119,14663339.1436196,24499624.3654994,2948616.19297823,2815100.76829402,133515.424684218,2374729.87439218,2207019.654839,167710.219553188,146770804.439019,81136113.5050296,65634690.9339894,146770804.439019,81136113.5050296,65634690.9339894,42111579.7020972,17478439.9119136,24633139.7901836
"2",1976,0,0,0,2636710.26049134,356928.437089234,2279781.8234021,118415698.942713,72295431.9558377,46120266.986875,20149202.9818961,15319047.5153752,4830155.46652084,33598.5807627555,33598.5807627555,0,0,0,0,141235210.765863,88005006.4890649,53230204.2767979,141235210.765863,88005006.4890649,53230204.276798,20182801.5626588,15352646.096138,4830155.46652084
"3",1977,0,0,0,6364291.35699936,1106918.13672272,5257373.22027665,113793165.706578,92643912.9537804,21149252.7527974,61270188.8853978,43017955.4684973,18252233.4169005,1029880.58403171,928323.885958807,101556.698072904,0,0,0,182457526.533007,137697110.444959,44760416.0880475,182457526.533007,137697110.444959,44760416.0880475,62300069.4694295,43946279.3544561,18353790.1149734
"4",1978,0,0,0,5291358.9913469,356958.898006473,4934400.09334043,34049356.986648,8839142.48684172,25210214.4998063,53931804.6007802,37921499.1811657,16010305.4196144,25127720.0032505,24004468.175008,1123251.82824247,7726554.34725085,7670771.47993667,55782.867314182,126126794.929276,78792840.2209586,47333954.7083178,126157472.494265,78792840.2209586,47364632.2733067,79059524.6040307,61925967.3561737,17133557.2478569
"5",1979,0,0,0,18511651.8606797,256267.074116515,18255384.7865632,76852010.5340445,2107405.10949441,74744605.4245501,20618114.4561413,8043583.43200401,12574531.0241373,2729661.53039203,1442965.1312601,1286696.39913193,454633.983041333,454633.983041333,0,119166072.364299,12304854.7299164,106861217.634383,119166072.364299,12304854.7299164,106861217.634383,23347775.9865334,9486548.5632641,13861227.4232692
"6",1980,77134.3377604093,0,77134.3377604093,13822392.259054,1166759.31363094,12655632.945423,343037341.213474,11985199.8639369,331052141.349537,33569855.0954,10391685.7006165,23178169.3947836,24696408.0965941,16593164.3685438,8103243.72805032,7643418.0246633,5358304.27292238,2285113.75174092,422846549.026945,45495113.5196505,377351435.507295,422846549.026945,45495113.5196505,377351435.507295,58266263.1919942,26984850.0691603,31281413.1228339
"7",1981,0,0,0,1158638.74920792,398081.21574729,760557.533460634,223995840.345415,4326378.68984958,219669461.655566,37120990.4171689,14443402.5555253,22677587.8616436,18105860.117009,11454508.6009161,6651351.51609288,921734.824871443,921734.824871443,0,281303064.453673,31544105.8869097,249758958.566763,281303064.453673,31544105.8869097,249758958.566763,55226850.5341779,25897911.1564414,29328939.3777365
"8",1982,0,0,0,432069.339655149,382858.308678796,49211.0309763523,40268517.1369632,4588484.46727137,35680032.6696918,391169602.84868,9241855.60064057,381927747.248039,13800790.3465433,10402661.3775612,3398128.96898211,1854053.67007613,1546070.60629793,307983.063778199,447525033.341917,26161930.3604499,421363102.981467,447525033.341917,26161930.3604499,421363102.981467,404970393.195223,19644516.9782018,385325876.217021
"9",1983,0,0,0,133836.157231509,28695.0324908295,105141.124740679,6884361.83060301,3419197.84798018,3465163.98262283,97672490.8025295,6620250.47261857,91052240.3299109,16065444.4519382,4150774.95662886,11914669.4953093,2536555.92310291,2403692.5198827,132863.403220204,123292689.165405,16622610.8296011,106670078.335804,123292689.165405,16622610.8296011,106670078.335804,113737935.254468,10771025.4292474,102966909.82522
"10",1984,0,0,0,688570.475292745,34074.2484816417,654496.226811103,8130504.5893514,1534344.69123048,6596159.89812092,28802030.3387473,6314250.06609264,22487780.2726547,43718666.9874336,6357217.12745456,37361449.8599791,535164.001043569,281843.058234964,253320.942808605,81874936.3918687,14521729.1914943,67353207.2003744,81874936.3918687,14521729.1914943,67353207.2003744,72520697.3261809,12671467.1935472,59849230.1326337
"11",1985,0,0,0,27863.67480391,0,27863.67480391,6115460.65883921,4234826.95464528,1880633.70419393,12768766.6868244,4447023.02060939,8321743.666215,7705146.04803594,572712.899390007,7132433.14864593,135720.113446726,135720.113446726,0,26752957.1819502,9390282.9880914,17362674.1938588,26752957.1819502,9390282.9880914,17362674.1938588,20473912.7348603,5019735.9199994,15454176.8148609
"12",1986,0,0,0,440097.071324384,151958.544515346,288138.526809037,6144894.33407887,2773288.28058009,3371606.05349878,2782498.77872377,1521557.9841822,1260940.79454158,3589647.18819421,2168573.57400221,1421073.614192,917953.028268428,225072.345159466,692880.683108962,13875090.4005897,6840450.72843931,7034639.67215035,13875090.4005897,6840450.72843931,7034639.67215035,6372145.96691798,3690131.55818441,2682014.40873357
"13",1987,0,0,0,504184.244937027,145717.273480469,358466.971456558,14250961.0506405,7155855.61522784,7095105.43541268,5789072.201645,2997558.65576852,2791513.54587648,4152302.42930221,2496855.00872699,1655447.42057522,59642.7447334127,59642.7447334127,0,24756162.6712582,12855629.2979372,11900533.3733209,24756162.6712582,12855629.2979372,11900533.3733209,9941374.63094721,5494413.66449551,4446960.9664517
"14",1988,0,0,0,2055967.5123099,440987.966019779,1614979.54629012,101522630.345025,73133637.2179458,28388993.1270795,14839815.2936161,7999815.02727423,6840000.26634186,1009182.26379376,723374.622606314,285807.64118745,31664.6004685985,31664.6004685985,0,119459260.015214,82329479.4343147,37129780.580899,119459260.015214,82329479.4343147,37129780.580899,15848997.5574098,8723189.64988054,7125807.90752931
"15",1989,0,0,0,3790931.34279337,2056391.50682859,1734539.83596478,50863013.3243684,33784499.0765674,17078514.247801,39904268.9927557,18679441.2379638,21224827.7547918,3616030.21346239,1566374.89931884,2049655.31414356,179711.679998384,29593.5101029393,150118.169895445,98353955.5533782,56116300.2307816,42237655.3225966,98353955.5533782,56116300.2307816,42237655.3225966,43520299.2062181,20245816.1372827,23274483.0689354
"16",1990,0,0,0,4039302.60663807,1233682.87227208,2805619.73436599,73386019.8410601,36578156.5369571,36807863.3041031,115592441.272595,52166243.9015719,63426197.3710232,13168619.3864965,10565015.0183689,2603604.36812757,30747.2174893781,30747.2174893781,0,206217130.324279,100573845.546659,105643284.77762,206217130.324279,100573845.546659,105643284.77762,128761060.659092,62731258.9199409,66029801.7391508
"17",1991,0,0,0,3888915.99904871,269810.018036659,3619105.98101205,50922811.5057829,23000604.3973375,27922207.1084454,134596978.801535,75938884.2591667,58658094.5423681,60448875.9207863,43897829.7392838,16551046.1815025,83568.9571553078,30727.3863861979,52841.5707691099,249941151.184308,143137855.800211,106803295.384097,249941151.184308,143137855.800211,106803295.384097,195045854.722321,119836713.998451,75209140.7238705
"18",1992,0,0,0,3603175.28647759,372207.326858302,3230967.95961929,27651299.2210238,9643810.0292119,18007489.1918119,87898910.3785419,31706252.0603145,56192658.3182274,23020241.0439066,6376705.24820953,16643535.7956971,728020.911178863,256975.250091091,471045.661087772,142901646.841129,48355949.9146854,94545696.9264434,142901646.841129,48355949.9146854,94545696.9264434,110919151.422448,38082957.3085241,72836194.1139244
"19",1993,0,0,0,566164.683601755,49954.4908690719,516210.192732683,16186723.1448311,3876983.86873749,12309739.2760936,36240341.9686137,14246286.3767785,21994055.5918352,10269833.8776915,4688385.39761416,5581448.48007736,160659.960761333,137827.565883229,22832.3948781041,63423723.6354994,22999437.6998825,40424285.9356169,63423723.6354994,22999437.6998825,40424285.9356169,46510175.8463052,18934671.7743927,27575504.0719125
