"","df","AICc"
"mod1",5,72.6029094037775
"mod2",7,74.0552783638151
"mod3",7,78.7584464418191
"mod4",7,77.7848048982819
"mod5",7,76.2050889631197
"mod6",7,66.7067849762409
"mod7",7,74.6886758863053
"mod8",9,73.4935529119277
"mod9",9,81.8698172236813
"mod10",7,77.9161111423114
"mod11",7,76.6598189374211
"mod12",7,78.175224011252
"mod13",7,78.7621065166125
"mod14",7,76.0039406084842
"mod15",7,75.5687198391539
"mod16",7,77.9313070117665
"mod17",7,78.4248569965648
"mod18",7,78.6682700898724
"mod19",9,72.5385424165573
"mod20",11,80.0157890434852
"mod21",11,78.636543028256
"mod22",11,80.9131393962247
"mod23",11,81.9681308810543
"mod24",11,80.7435109707484
"mod25",9,71.1220886183181
"mod26",9,72.81080696116
"mod27",9,73.6864042558359
"mod28",9,74.731283177188
"mod29",11,77.6161848179089
"mod30",11,73.2921258840979
