"","Year","EBS_Abun_30to40","E166_Abun_30to40","W166_Abun_30to40"
"1",1975,4181580.15823442,2336839.45398368,1844740.70425074
"2",1976,51018639.4238676,19442256.1875775,31576383.2362902
"3",1977,36132622.8769774,2317498.25999648,33815124.6169809
"4",1978,21560291.4126784,1788916.20533048,19771375.2073479
"5",1979,3816363.62672918,820193.88252492,2996169.74420426
"6",1980,4720685.5872939,779287.225534017,3941398.36175988
"7",1981,9732546.10951811,5856654.89382554,3875891.21569257
"8",1982,10964339.2243642,4135200.50264015,6829138.72172403
"9",1983,86977293.1624031,20363324.9308984,66613968.2315047
"10",1984,33999911.2320647,8095315.90250321,25904595.3295615
"11",1985,11645480.8258202,1936597.42529995,9708883.40052029
"12",1986,23182800.3492292,13533761.4200718,9649038.92915742
"13",1987,44077086.1960751,7523838.47812896,36553247.7179462
"14",1988,55540680.4280264,22886729.7905879,32653950.6374385
"15",1989,80293448.9150341,59640770.8247425,20652678.0902917
"16",1990,32591150.6456146,12622276.1111969,19968874.5344177
"17",1991,24332725.8509947,9318439.1049082,15014286.7460865
"18",1992,22407011.9334898,1753621.16660266,20653390.7668872
"19",1993,10067153.4683073,974774.960760275,9092378.50754703
"20",1994,13875513.4039354,1984254.64801172,11891258.7559237
"21",1995,10170795.5849892,2138087.50902271,8032708.07596645
"22",1996,13338239.5790207,6951415.97750516,6386823.60151558
"23",1997,32672103.4734366,17762023.7791195,14910079.6943171
"24",1998,27406525.6511985,5689905.76799106,21716619.8832074
"25",1999,74859513.1298821,15252081.9826594,59607431.1472228
"26",2000,34888640.0422997,4393582.7689379,30495057.2733618
"27",2001,154037932.438535,90749618.876824,63288313.5617113
"28",2002,47527967.950046,5181148.05292506,42346819.8971209
"29",2003,67563261.6072898,4148912.48622798,63414349.1210618
"30",2004,123499160.777898,2233025.27608939,121266135.501809
"31",2005,74438977.3331759,4343287.38796612,70095689.9452098
"32",2006,23956774.0144107,2124243.87279242,21832530.1416182
"33",2007,26094124.2650664,4403942.32456943,21690181.940497
"34",2008,20781662.4312542,2339264.08006645,18442398.3511878
"35",2009,47287969.9482489,11371460.3843253,35916509.5639237
"36",2010,66786872.0873058,25452210.804242,41334661.2830638
"37",2011,86502054.052232,17893074.8740681,68608979.1781639
"38",2012,33877957.4344333,5933305.10290383,27944652.3315294
"39",2013,33126546.7353318,3640150.60848453,29486396.1268473
"40",2014,54206193.5928339,9182758.06914027,45023435.5236937
"41",2015,19667976.4942319,4088260.62597042,15579715.8682615
"42",2016,21047035.2689695,1088238.84979419,19958796.4191753
"43",2017,72459690.141606,4107324.28944835,68352365.8521577
"44",2018,111399256.910113,14157474.8577964,97241782.0523165
"45",2019,115267709.665926,10941115.6861237,104326593.979802
"46",2021,66556951.6720565,6067452.88451032,60489498.7875462
"47",2022,110364309.570427,44585987.5605756,65778322.0098512
"48",2023,191129598.469959,16036629.6380558,175092968.831903
