"","df","AICc"
"mod1",5,72.6029094037775
"mod2",6,70.9073618752837
"mod3",6,75.5618652360849
"mod4",6,74.5882236893499
"mod5",6,75.2745624547943
"mod6",6,63.5102037728618
"mod7",6,71.4920946800526
"mod8",7,66.3012452087023
"mod9",7,74.6775095216314
"mod10",6,74.7195299357193
"mod11",6,73.4632377322744
"mod12",6,74.9786428013126
"mod13",6,75.565525305089
"mod14",6,72.807359403936
"mod15",6,72.3721386337299
"mod16",6,74.7347258044072
"mod17",6,75.2282757910944
"mod18",6,75.4716888816952
"mod19",7,65.3462347095561
"mod20",8,66.3231879620431
"mod21",8,66.396543017777
"mod22",8,68.673139384429
"mod23",8,68.7274676733663
"mod24",8,68.5035109436805
"mod25",7,63.9297809195365
"mod26",7,65.6184992578913
"mod27",7,66.4940965521598
"mod28",7,66.6338624962586
"mod29",8,65.3761848035307
"mod30",8,61.0521258770644
