Year,Age3to7Pcodabun,PCod_RA2,PCod_RA3,FHS_TBM,EBS_mean_NBT,EBS_Std_Error,EBS_NBT_3yr_min,EBS_NBT_RA3_final_year,EBS_NBT_RA3_midyear,EBS_NBT_RA2,E166_mean_NBT,E166_Std_Error,E166_NBT_RA3_final_year,E166_NBT_RA3_midyear,E166_NBT_RA2,W166_mean_NBT,W166_Std_Error,W166_NBT_RA3_final_year,W166_NBT_RA3_midyear,W166_NBT_RA2,AO_jfm,AO_RA2,AO_RA3,SE.wind.May.Sep,NW.wind.May.Sep,PDO_jja,PDO_djf,PDO_RA2,PDO_RA3,D.90.May,D.90.June,D.90.July,D.90.May.June,D.90.JJ,D.90.MJ,D.75.May,D.75.June,D.75.July,D.75.May.June,D.75.JJ,D.75.MJ,D.60.May,D.60.June,D.60.July,D.60.May.June,D.60.JJ,D.60.MJ,D.45.May,D.45.June,D.45.July,D.45.May.June,D.45.JJ,D.45.MJ,D.30.May,D.30.June,D.30.July,D.30.May.June,D.30.JJ,D.30.MJ,D.15.May,D.15.June,D.15.July,D.15.May.June,D.15.JJ,D.15.MJ,D.0.May,D.0.June,D.0.July,D.0.May.June,D.0.JJ,D.0.MJ,D.neg.15.May,D.neg.15.June,D.neg.15.July,D.neg.15.May.June,D.neg.15.JJ,D.neg.15.MJ,D.neg.30.May,D.neg.30.June,D.neg.30.July,D.neg.30.May.June,D.neg.30.JJ,D.neg.30.MJ,D.neg.45.May,D.neg.45.June,D.neg.45.July,D.neg.45.May.June,D.neg.45.JJ,D.neg.45.MJ,D.neg.60.May,D.neg.60.June,D.neg.60.July,D.neg.60.May.June,D.neg.60.JJ,D.neg.60.MJ,D.neg.75.May,D.neg.75.June,D.neg.75.July,D.neg.75.May.June,D.neg.75.JJ,D.neg.75.MJ,D.neg.90.May,D.neg.90.June,D.neg.90.July,D.neg.90.May.June,D.neg.90.JJ,D.neg.90.MJ,April.sst,May.sst,June.sst,July.sst,April.May.sst,May.June.sst,June.July.sst,April.July.sst,May.July.sst,April.anom,May.anom,June.anom,July.anom,April.May.anom,May.June.anom,June.July.anom,April.July.anom,May.July.anom
1975,NA,NA,NA,NA,1.678358209,0.105367998,NA,NA,NA,NA,1.336486486,0.134876557,NA,NA,NA,2.1,0.150592052,NA,NA,NA,0.645,NA,NA,0.229892473,0.123870968,-1.336666667,-0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,1.547445255,0.141793094,NA,NA,2.140082636,1.612901732,1.25974026,0.189733595,NA,1.953186693,1.298113373,1.916666667,0.205423177,NA,2.387301587,2.008333334,0.760433333,0.702716667,NA,0.189462366,0.247096774,-0.003333333,-1.193333333,-0.991666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,106059,NA,NA,NA,3.194444444,0.107738324,1.547445255,2.140082636,2.664202467,2.37094485,3.263333333,0.174163573,1.953186693,2.742274531,2.261536797,3.145238095,0.137811094,2.387301587,2.677224068,2.530952381,-1.812,-0.525783334,-0.135522222,0.23655914,0.149247312,-0.04,1.316666667,0.061666667,-0.222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,109731,107895,NA,NA,3.250717703,0.084532858,1.547445255,2.664202467,3.862914409,3.222581074,3.70375,0.149412814,2.742274531,4.584897984,3.483541667,2.969767442,0.09304551,2.677224068,3.414473613,3.057502769,-0.951666667,-1.381833334,-0.667744445,0.18344086,0.221290323,-0.733333333,0.433333333,0.875,0.185555556,-1.323513608,3.096481085,1.083585297,1.559091627,2.425515822,1.44216384,-1.210030618,3.301327945,0.65674187,1.732159749,2.419799254,1.46771273,-1.014086041,3.281194762,0.185142571,1.787184048,2.249177365,1.393239423,-0.749033176,3.037453578,-0.299073888,1.720414707,1.925277756,1.223819151,-0.432934938,2.586714953,-0.762908957,1.536401947,1.47017365,0.970997627,-0.0873329,1.959695978,-1.17475304,1.247685933,0.914879638,0.652004219,0.264220732,1.199126961,-1.506539646,0.873942185,0.297238092,0.288577801,0.597768157,0.356839423,-1.735658064,0.440640721,-0.340659739,-0.094514718,0.89057867,-0.509766132,-1.846494253,-0.022689679,-0.955342172,-0.471166214,1.122697718,-1.341631968,-1.831494911,-0.484473816,-1.504919615,-0.815708511,1.278306773,-2.082067802,-1.691682217,-0.913241863,-1.951939273,-1.104661622,1.346801333,-2.680614156,-1.436584175,-1.279773986,-2.265937496,-1.318333868,1.323513608,-3.096481085,-1.083585297,-1.559091627,-2.425515822,-1.44216384,2.501481486,4.017037012,6.164074068,8.228518592,3.259259249,5.09055554,7.19629633,5.227777789,6.136543224,0.541538466,0.639135774,0.220598283,-0.469781511,0.59033712,0.429867028,-0.124591614,0.232872753,0.129984182
1979,177603,143667,131131,NA,5.143581081,0.158528643,3.194444444,3.862914409,3.706085706,4.197149392,6.787610619,0.238065757,4.584897984,4.564956464,5.24568031,4.128415301,0.171812028,3.414473613,3.169317619,3.549091372,-1.247,-1.099333334,-1.336888889,0.084946237,0.215698925,0.19,-0.726666667,-0.146666667,0.341111111,-1.566091728,1.899043612,0.660126973,0.693779146,1.486071399,0.685504021,-2.484098028,1.982272433,1.353010031,0.428752273,1.772518299,0.656028771,-3.232817154,1.930412665,1.953687691,0.134506641,1.938171007,0.581846243,-3.761225133,1.746998463,2.421224764,-0.168905396,1.971740563,0.468011856,-4.033311834,1.444529203,2.72375937,-0.46080681,1.870939259,0.322283234,-4.030535,1.043617665,2.840674277,-0.721305001,1.642636536,0.154591543,-3.753083866,0.571585308,2.764001926,-0.932647448,1.302390847,-0.023635307,-3.219866269,0.060600357,2.498967411,-1.080431513,0.873389375,-0.20025145,-2.467220107,-0.454514409,2.063632397,-1.154585956,0.38486786,-0.363220787,-1.546436972,-0.938654768,1.487664246,-1.150057274,-0.129881764,-0.501437228,-0.520266712,-1.358827357,0.810314235,-1.067154089,-0.635780159,-0.60548155,0.541358864,-1.686398106,0.077742648,-0.911526117,-1.098351188,-0.668263306,1.566091728,-1.899043612,-0.660126973,-0.693779146,-1.486071399,-0.685504021,2.651111115,4.184074075,6.685185168,9.192962982,3.417592595,5.434629621,7.939074075,5.678333335,6.687407408,0.691168096,0.806172837,0.741709382,0.494662879,0.748670466,0.77394111,0.618186131,0.683428299,0.680848366
1980,458484,318043.5,248606,NA,2.723958333,0.11119711,2.723958333,3.706085706,3.823065014,3.933769707,3.203508772,0.192499997,4.564956464,4.912528012,4.995559696,2.409770115,0.129044545,3.169317619,3.193845057,3.269092708,-1.478,-1.3625,-1.225555556,0.175698925,0.177419355,-0.283333333,0.233333333,-0.246666667,-0.02,0.245353544,3.01543942,1.686585283,2.051931289,2.572488041,1.962092108,0.014389246,3.322509708,2.099757652,2.171859113,2.91492569,2.154129245,-0.217555657,3.403156451,2.369835008,2.143778326,3.05871597,2.199366035,-0.434674501,3.251883705,2.478412023,1.96960259,2.994059811,2.094719664,-0.622170995,2.879000459,2.418089356,1.661201692,2.725363424,1.847321609,-0.767267565,2.309918089,2.192977894,1.239592644,2.270938024,1.47403164,-0.860076118,1.583418619,1.818418613,0.733507406,1.66175195,1.00028885,-0.894271905,0.749011786,1.319937109,0.17743485,0.939320227,0.458378029,-0.86752454,-0.136438961,0.731504072,-0.390729597,0.152875383,-0.114770498,-0.781656811,-1.012591619,0.093220242,-0.932266469,-0.643987666,-0.680097605,-0.642520462,-1.819737832,-0.551416394,-1.410270921,-1.396964019,-1.199077185,-0.459597405,-2.502871919,-1.158474914,-1.79216774,-2.054739584,-1.636341635,-0.245353544,-3.01543942,-1.686585283,-2.051931289,-2.572488041,-1.962092108,2.024074062,3.159999993,5.395185188,7.61444445,2.592037027,4.277592591,6.504814819,4.548425923,5.389876544,0.064131042,-0.217901245,-0.548290597,-1.083855653,-0.076885101,-0.383095921,-0.816073125,-0.446479113,-0.616682498
1981,554816,506650,396967.6667,NA,3.601655629,0.087768683,2.723958333,3.823065014,2.856510292,3.162806981,4.746464646,0.150038222,4.912528012,3.202697692,3.974986709,3.043349754,0.083924511,3.193845057,2.669524805,2.726559935,-0.696,-1.087,-1.140333333,0.210322581,0.129462366,0.863333333,0.906666667,0.57,0.137777778,1.897931633,-1.121331321,0.33712698,-0.071152902,-0.635178554,0.02924379,1.033723176,-0.903954888,0.630464295,-0.229979909,-0.392481827,-0.018395269,0.099068193,-0.624975424,0.880836509,-0.373134166,-0.123038113,-0.064780721,-0.842338124,-0.303404917,1.071181172,-0.490859946,0.154790446,-0.106751474,-1.726340489,0.038842133,1.188526608,-0.575134431,0.422070291,-0.14144729,-2.492695603,0.378442156,1.224875919,-0.620214456,0.660586744,-0.166503708,-3.089177631,0.692251972,1.177751961,-0.62302789,0.854085302,-0.180213172,-3.475137309,0.95888596,1.050366153,-0.583383003,0.989379358,-0.181641407,-3.624272122,1.160173454,0.851399628,-0.503981529,1.057248845,-0.17069108,-3.526418779,1.282397045,0.594411625,-0.390234546,1.053068571,-0.148108439,-3.188245824,1.317227396,0.296915452,-0.249893724,0.977123414,-0.115432451,-2.632799185,1.262290877,-0.020815019,-0.092523058,0.834588912,-0.074889933,-1.897931633,1.121331321,-0.33712698,0.071152902,0.635178554,-0.02924379,3.011481472,4.596666654,7.425185204,9.347777826,3.804074063,6.010925929,8.386481515,6.095277789,7.123209894,1.051538452,1.218765416,1.481709418,0.649477723,1.135151934,1.350237417,1.065593571,1.100372752,1.116650852
1982,601808,578312,538369.3333,192037,2.243916914,0.078476716,2.243916914,2.856510292,2.945105378,2.922786272,1.658119658,0.137871697,3.202697692,3.482480482,3.202292152,2.555454545,0.088559274,2.669524805,2.682791088,2.79940215,0.387,-0.1545,-0.595666667,0.118064516,0.23483871,-0.316666667,0.17,0.538333334,0.436666667,0.365978542,2.783251925,1.521376953,1.942461183,2.362626935,1.838915881,-0.144182175,2.05641708,0.937006848,1.290991253,1.683280336,1.203945907,-0.644517114,1.18944081,0.288781274,0.551542402,0.889220965,0.48692901,-1.100929277,0.241406114,-0.379124267,-0.225493153,0.034562654,-0.263271295,-1.48231493,-0.72308001,-1.021193115,-0.987161721,-0.822451045,-0.995530097,-1.762683269,-1.638289426,-1.59366934,-1.68155685,-1.623416064,-1.659945167,-1.922927657,-2.441852125,-2.057539633,-2.261356658,-2.313747961,-2.211237717,-1.952127703,-3.079006637,-2.381192001,-2.687048747,-2.846401758,-2.611838071,-1.848293472,-3.506331935,-2.542570068,-2.929622904,-3.185077979,-2.834445977,-1.618501095,-3.694706506,-2.530676188,-2.972548102,-3.3066964,-2.863891074,-1.278410543,-3.631292935,-2.346320907,-2.812899059,-3.202968925,-2.698166727,-0.851198425,-3.320412751,-2.002067734,-2.461555594,-2.880964412,-2.348566776,-0.365978542,-2.783251925,-1.521376953,-1.942461183,-2.362626935,-1.838915881,1.811481501,2.801111124,5.186666683,7.071481475,2.306296313,3.993888904,6.129074079,4.217685196,5.019753094,-0.148461518,-0.576790114,-0.756809102,-1.626818627,-0.362625816,-0.666799608,-1.191813865,-0.77721984,-0.986805948
1983,494644,548226,550422.6667,252612,2.98974359,0.09356256,2.243916914,2.945105378,2.487231729,2.616830252,4.042857143,0.143324971,3.482480482,3.011830025,2.850488401,2.449568966,0.104683926,2.682791088,2.232146607,2.502511756,-0.339,0.024,-0.216,0.149892473,0.104086022,1.85,0.51,0.34,0.528888889,-0.789490182,-2.263060462,-0.284873006,-1.750514278,-1.603664643,-1.390110686,-1.281085881,-2.726696494,-0.018460329,-2.223875411,-1.823951106,-1.681560227,-1.685377694,-3.004512667,0.249210389,-2.545683111,-1.919938315,-1.858414218,-1.974813803,-3.077576266,0.499897831,-2.694006713,-1.8850849,-1.90862035,-2.129669614,-2.940908129,0.716518062,-2.65873821,-1.721766065,-1.82875716,-2.13939196,-2.603821962,0.884308771,-2.442281092,-1.441111718,-1.624267191,-2.00331828,-2.089289633,0.991835299,-2.059386553,-1.062247989,-1.309086098,-1.73072177,-1.432375667,1.03176989,-1.536148225,-0.610993815,-0.904692951,-1.340179431,-0.677847667,1.001391068,-0.908223933,-0.118101422,-0.438646473,-0.858306079,0.122874532,0.9027691,-0.218405681,0.382839388,0.057293036,-0.317940586,0.915223034,0.74262491,0.486296558,0.857690326,0.549328119,0.244092032,1.645200599,0.531872059,1.157858489,1.274091086,1.0039274,0.789490182,2.263060462,0.284873006,1.750514278,1.603664643,1.390110686,2.495555544,4.119629604,6.902592588,9.46185195,3.307592574,5.511111096,8.182222269,5.744907422,6.828024714,0.535612525,0.741728366,0.959116803,0.763551847,0.638670445,0.850422584,0.861334325,0.750002385,0.821465672
1984,376586,435615,491012.6667,270794,2.228034682,0.111054337,2.228034682,2.487231729,2.51248523,2.608889136,3.334513274,0.178731527,3.011830025,3.551042664,3.688685209,1.691416309,0.126313056,2.232146607,2.004025107,2.070492638,-0.596,-0.4675,-0.182666667,0.175053763,0.106236559,-0.156666667,1.456666667,0.983333334,0.712222222,-0.644802686,-0.006539679,-1.391206315,-0.228544203,-0.468095224,-0.514444722,-0.882610553,-0.651471315,-0.38295748,-0.731867571,-0.561966703,-0.646070008,-1.06026997,-1.252006257,0.651389275,-1.185315374,-0.617541079,-0.73366669,-1.165673741,-1.767219041,1.641344927,-1.557985893,-0.631031052,-0.7712652,-1.191638772,-2.161998769,2.519445635,-1.824482248,-0.601517301,-0.756303261,-1.136395591,-2.409441853,3.225850286,-1.966643153,-0.53101114,-0.689800504,-1.003708928,-2.492685457,3.712418571,-1.974780577,-0.424317448,-0.576288983,-0.80262116,-2.406056666,3.945991666,-1.848339968,-0.288707222,-0.423504321,-0.546836087,-2.15545909,3.910651949,-1.595938045,-0.133422077,-0.241858538,-0.253785038,-1.757970538,3.608807765,-1.234775582,0.030955563,-0.043730496,0.056561042,-1.2406792,3.061029296,-0.789465203,0.193223632,0.157377707,0.363052581,-0.638837625,2.304646739,-0.290354075,0.34232383,0.347760879,0.644802686,0.006539679,1.391206315,0.228544203,0.468095224,0.514444722,1.964814827,3.342962936,6.510740704,8.782962905,2.653888882,4.92685182,7.646851805,5.150370343,6.212222182,0.004871808,-0.034938302,0.567264919,0.084662802,-0.015033247,0.266163308,0.325963861,0.155465307,0.20566314
