"SURVEY_YEAR","SURVEY_AREA"
1975,54937
1976,85814
1977,62155
1978,92631
1979,123107
1980,128721
1981,119097
1982,132330
1983,131528
1984,132330
1985,131929
1986,131929
1987,135137
1988,140350
1989,140350
1990,140350
1991,140350
1992,133132
1993,140350
1994,140350
1995,140350
1996,140350
1997,140350
1998,140350
1999,140350
2000,140350
2001,140350
2002,140350
2003,140350
2004,140350
2005,140350
2006,140350
2007,140350
2008,140350
2009,140350
2010,140350
2011,140350
2012,140350
2013,140350
2014,140350
2015,140350
2016,140350
2017,140350
2018,140350
2019,140350
2021,140350
2022,140350
