"SURVEY_YEAR","NUM_MALE_LE112","CV_NUM_MALE_LE112","CI_NUM_MALE_LE112","NUM_MALE_GE113","CV_NUM_MALE_GE113","CI_NUM_MALE_GE113","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_113TO124","CV_NUM_MALE_113TO124","CI_NUM_MALE_113TO124","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_BARREN","CV_NUM_FEMALE_BARREN","CI_NUM_FEMALE_BARREN","NUM_FEMALE_OLDNOEGG","CV_NUM_FEMALE_OLDNOEGG","CI_NUM_FEMALE_OLDNOEGG","NUM_FEMALE_NOEGG","CV_NUM_FEMALE_NOEGG","CI_NUM_FEMALE_NOEGG","NUM_FEMALE_HATCHED","CV_NUM_FEMALE_HATCHED","CI_NUM_FEMALE_HATCHED","NUM_FEMALE_NE_TOT","CV_NUM_FEMALE_NE_TOT","CI_NUM_FEMALE_NE_TOT","NUM_FEMALE_TRACE","CV_NUM_FEMALE_TRACE","CI_NUM_FEMALE_TRACE","NUM_FEMALE_QUARTER","CV_NUM_FEMALE_QUARTER","CI_NUM_FEMALE_QUARTER","NUM_FEMALE_HALF","CV_NUM_FEMALE_HALF","CI_NUM_FEMALE_HALF","NUM_FEMALE_THREE_QRT","CV_NUM_FEMALE_THREE_QRT","CI_NUM_FEMALE_THREE_QRT","NUM_FEMALE_FULL","CV_NUM_FEMALE_FULL","CI_NUM_FEMALE_FULL","NUM_FEMALE_SC0","CV_NUM_FEMALE_SC0","CI_NUM_FEMALE_SC0","NUM_FEMALE_SC1","CV_NUM_FEMALE_SC1","CI_NUM_FEMALE_SC1","NUM_FEMALE_SC2","CV_NUM_FEMALE_SC2","CI_NUM_FEMALE_SC2","NUM_FEMALE_SC3","CV_NUM_FEMALE_SC3","CI_NUM_FEMALE_SC3","NUM_FEMALE_SC4","CV_NUM_FEMALE_SC4","CI_NUM_FEMALE_SC4","NUM_FEMALE_SC5","CV_NUM_FEMALE_SC5","CI_NUM_FEMALE_SC5","NUM_FEMALE_OVIGEROUS","CV_NUM_FEMALE_OVIGEROUS","CI_NUM_FEMALE_OVIGEROUS","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,199000874.18843322568504641308849873608,0.2026615933044081702517353075230073089814,79046475.09471598529604725354862718065705,199841733.459810266226694820530532686078,0.4473061865675768739719738144420285668245,175205269.67348524723810329175904792655,180973535.192660119847258502023736498014,0.4801288000986778830870933404832000174497,170305588.35126880469553060288696168836,163683005.879600190874660038005876883313,0.4980626578246378815682253999544444058574,159787810.180274220748745904364862024094,36158727.5802100753520347825246558027656,0.2511640311946330644466350704773348467134,17800272.69255167972300997125932454214886,398842607.648243491911741233619031422159,0.2514058106584474171758715388246634625905,196531844.237834040652871369147725558045,94015700.06844102735856683844400534389629,0.2639119111269865809345669659748378344972,48631251.63876751586865288359108368248143,3329084.23108959415564959550916455860641,0.3224081941325490453391757915436282545787,2103715.10871905361557711872665265372924,1059691.67136765000315672414205983377206,0.3842145635641343239667279289635233454213,798011.9871330566177623424547645174042128,3629629.71253807334815527049915039583866,0.31207165339056371399613163298765725008,2220100.90935105515086113698474007306799,759146.1899191708106510491520739965398278,0.4733810175394082773382762479661323420355,704356.1758563998508020508454727319150979,4388775.90245724415880631965122439237848,0.2692583139318591909368523273307181645483,2316160.22345200610585266017795651923352,372339.5882404930470160032597626771116712,0.442350806218061365442536932423212424428,322821.2454083628764017192835928870456437,26485.7961406093726000998542008210453372,1,51912.1604355943702961957142336092488609,2868984.47830704927914398131865385345282,0.3913468031653243311910221602434071852034,2200625.09167614307454677689778661830235,2875382.3914830532134525300168316371515,0.4048103262254258924959197387063232309055,2281409.5884814360718931638140817064435,66270785.81606484557431575957855018065352,0.1956533459228819678238129359190312778773,25413557.92442943979350001272106801980182,0,0,0,3045415.6713726752936211228538200495518,0.3396571008920579976322122352507410340789,2027418.23358137929786151551423098812798,61734322.4979939088512171144578852079443,0.1702196061806622536028363657055845962905,20596448.44433950073308446594117349623327,15162373.70739436052534664769781943674244,0.4522905161383899371084628683705570266425,13441283.7468010746313095504780911563746,3130130.39680381187484973395119424922479,0.4707039056690934133902841661065477570185,2887794.62193704266386532481224485874145,2452647.13392208471425107294931520599067,0.6116371185634605278849048478829164239519,2940254.85065626620874417244997806952303,81136113.50502959710047937225880975707564,0.1874979469409099639674726769971549639989,29817195.22171706800965019436415956417981,179540589.475927868617852530354039493351,0.1803396582150584408242362688545989703388,63461445.54196514258127678560417071578287
1976,133634836.777250490182721027973510271587,0.2044076826382885055348992082900348666605,53539335.11855205843970772058169227513649,97672299.13167403871232250267895065118557,0.1973405339806256708079314117249522481102,37778419.18488951344072216871644853012543,84987174.49348638780775769635200279896893,0.2087478914779007696657373640033660829842,34772151.21723223707669276058456283038686,73966952.31121557555520263584434283025907,0.2233843699492602973789234340507918265339,32385199.63665143326643470503828692279442,23705346.82045846315711986683460782092637,0.1753705343420942347410300925333834296728,8148149.9037901919654578161273231152091,231307135.908924528895043530652460922773,0.1581400937712619907035946673300273795891,71694707.03869475860363456168815762035735,70822492.47788247056467503780205245419245,0.3988391081216577215422744953769962639192,55363688.28026965642100439590148453372609,4339414.23007485946934059508462112429598,0.267948173334358688765299029821745260674,2278966.70792777495603698837888690479855,1935901.42166849829363538407264047012585,0.5094110584669725646081152825986030003264,1932892.40090773871776458019749890826043,6275315.65174335776297597915726159442179,0.2523096367384783336466363613790403223906,3103312.3205208818560726551144878459523,0,0,0,6275315.65174335776297597915726159442179,0.2523096367384783336466363613790403223906,3103312.3205208818560726551144878459523,1560845.19950331320512128066157965642559,0.3571925473869668782663395442654753814776,1092743.65485912166705021337854988688059,1927989.73443957605182721680030068393705,0.2793948533541064973123205050077915568362,1055794.00187905743699422596618527402335,4730233.23042548416252564936078917168368,0.2423671442661475312380158991957215631179,2247048.11475127445958282810010577543831,15284748.01686542202389275085417962709354,0.2568184907264702611753593246605377053894,7693795.59697854271835329129843697469692,61172099.63061725435970224762719272644419,0.2211173136019548531509061584378046292672,26511372.26191791524844998509588651866886,0,0,0,468629.8377234161572815270602599905081375,0.4338717378459971720191748247848133802137,398517.4745151105738959758027915710979279,76523144.78527835570034972134486347404941,0.2127875080329810336574095513412322365006,31915011.7999845220667162390919330820257,17254948.93704371065187599366246387171007,0.3517277912705475244755689014706712433753,11895328.35310043363027819480220106248958,33598.5807627555294483981182513219755651,1,65853.2182950008377188603117725910721076,0,0,0,88005006.48906488027597966102857706382127,0.20042141645079224866793162343335006349,34570652.58838711131644662076092112052496,165102814.618690708603630677987891112436,0.2144932284465655972366914092824614501496,69410334.03702848062580277718572778092743
1977,75905729.39403558490708886223844477510008,0.1796596846302914634454930301590437206317,26728910.83294676874834095925685878712014,87123665.37242769416868550219050597816424,0.1362690769639243906132369027948849806191,23269632.46554850587404114045768182838477,74255808.95541478127001062956929607737225,0.1451816146318988695871511725813050223447,21129933.3502920700979486132148446265428,63758749.91211591133827407515732833881865,0.1484913709768690029806747318182728085165,18556543.40499397875346893953437235316106,23364915.46031178283041142703317763934562,0.1384355536524736769266145976942181124049,6339688.61527134687962556605918126602028,163029394.766463279075774364428950753264,0.1297993838364483760963395339938469144876,41475785.37631542904015643112289191379435,14546590.81917302760635312314973888734615,0.2062077729722656932514326333486587763811,5879255.39043453318039956877377851612126,2291857.19304607633839641027997255634143,0.5029446858922153853818467717473763323483,2259247.69629009167433961719105334271656,2446312.11893814433846488425397961496488,0.3682232495910040559356282813646847222763,1765546.43598054631252614271811645850915,4738169.3119842206768612945339521713063,0.418650402923777592490882445791531201691,3887927.52350321320597276833580888541687,0,0,0,4738169.3119842206768612945339521713063,0.418650402923777592490882445791531201691,3887927.52350321320597276833580888541687,272338.4699181325729395356172804272755366,0.5227542577624622310218304927559709330497,279037.5456163473610682583077189319667614,212336.7585137440051532232849423047627477,0.7029931699352548534122204016542925688851,292571.730284253079902620340709956109383,1444377.09751619822030303502491372473736,0.3168265236737775971222872662184186285693,896929.2703729527789038394017562453617123,1146056.45162598891717299263971790503633,0.4109533264283862039207014429025689219617,923112.3936980095316308418297595871779814,134622001.667385163400412913471229052974,0.406828974078684664188431621291060303762,107345536.420452113273866639474852155472,0,0,0,1157696.48575916793922102958112817061635,0.3245733152995065966267973377814747325633,736484.4775271446815403912575477024479606,94884991.79779003820927587786178970069856,0.4930800719226346130091696994916941512391,91700361.21686449844726724283904504460689,44755224.64893596210497723475222001575334,0.3081078763761488236326192191965200006725,27027296.95770941489269210527885302191899,1637366.82445827953936885237689769902389,0.519873746284573060349070168746503037587,1668399.08914347335827406340591330687579,0,0,0,137697110.444959227115981700038083414786,0.3991487234868160091985806788195135025122,107724786.689380046347788545705583033398,156981870.576116475399196117721774473439,0.3548997459479180088526469783437803421931,109197138.932349657488221480055737092658
1978,46354629.57267433195413511407715737018587,0.1738129172324183154937667522831301163775,15791785.45077912193524237322504049434564,78769369.7203682599157840674780984210221,0.1460570232669805370509900670543425654154,22549446.54530750951067906724442236703669,67191269.31006471956825096709560459327134,0.1475592093664600824202520712821822396343,19432793.52841520594126778555702726241505,56180483.8042571944354307505461688728174,0.1544931579804456086662823070082010321348,17011820.70518638638797043171657657731085,22588885.91611106548035331693192954820469,0.1975636721116039197632665623048142535104,8746976.77097410876421040172974867999993,125123999.293042591869919181555255791208,0.1434552780527221894411554745913653643941,35181408.29491799776672907881481663456302,9775561.27321849925936383138846024186668,0.2416810770469651395760373791480204214428,4630633.62741009556363682856702822921482,855381.4345504174290732671726828329647149,0.2904928687079987313553923357769416342067,487025.1252537434793084488862870082014206,3347663.29044950453533409135199114069744,0.3878585936241340958216798974033861214244,2544903.15249133649634298425454250133417,2984364.34812507846547207090384051566248,0.3220113766222457691443009006256965124234,1883558.57328093094692187733845673366673,0,0,0,4203044.72499992196440735852467397366216,0.3362604787524091492617169285738811784094,2770102.94963467276649849303600741239303,738787.612890028486780643287478307215021,0.4405372331427410085666826527655389937783,637908.3636908990008025118607414706312568,1844969.55125695960657021863874174095498,0.610021463727118987883947824104770201091,2205923.21133188330660032086277750971664,4131991.73715936252416334328160437215323,0.7117687290680006163904535963977458831214,5764404.11426370305786930192714426388653,19631367.33222292957211285408157072691408,0.5957559334545942711942715976178239949126,22923186.9971970590124859455265413856867,52193454.28335785106408106517153163660573,0.2749341721351549413158281621650099817078,28125537.72276733292897047248005937537012,0,0,0,569295.6565202167910512229346831236180457,0.3902818031018718766095096395489788863087,435484.0412365572987938976039077466619794,9482187.16287838903778099963616143205536,0.1853537036301950508278845982088231870455,3444814.67794223389707807378059018016322,39180501.50320468286915525331901202231021,0.3146691630826925436525831931892802981819,24164635.40966024562572269840378338866989,25849436.93702764568894803574479814609077,0.4370879077928727598128175022174837575519,22145013.56452126896400919233653738063398,7914463.68632758791077911390099070713963,0.9929465489178145953942272727637966328414,15402933.23159371325843927690884658100173,78792840.22095860033330726701097145755164,0.3336364862995353669398812028920910266014,51524806.05948741321802652678363018849282,92771446.21917702155707845692410567308063,0.2967119898817821335684443855863484996881,53951744.80732938566971855727232551386774
1979,12704942.11122012355294146912887967690981,0.3317053695487056714727612932435887589068,8260023.13547048047440673525985621620974,20085482.51322680121148428494721490374641,0.1779713985849084251481559002565824297219,7006297.1716981226857433985284242956522,17832613.5977533120185217460682198727409,0.1842271468039606052894111010874018659171,6439092.98541634287403692440468903324138,15155935.52526224256778536386885959509182,0.1860687743559079373837147893305815177303,5527290.84090931013979037109565307975491,4929546.98796455864369892107835530865468,0.2025887625506592727253867424903910154221,1957394.81548505640573263442906265671924,32790424.62444692476442575407609458065636,0.1861861646344581263880280266396143642876,11966041.85921968723179179696301285015451,7708126.25182449476737555548822600147271,0.4888894231292349613813745080201254961285,7386105.93745710711142946224162886128557,119646.3691311832499445547154617859191468,0.7302351849927974192353829553293898708888,171245.1774526032092243931378750466087668,619990.5095707479128344284001872313284844,0.4599774620791187840307095166582286650411,558956.05576676477004578248901071714166,438957.5591607334938391092944490291773154,0.4622484447747052054781843042953953014359,397698.6001265334306035950784032512898546,224546.0593799318610610442807846725148931,0.59804375655699437842302276315845879338,263205.2029884229730099754932205259910767,739636.8787019311627789831156490172476312,0.4506214596465978890963092002830841047088,653260.6497826710666647475668490227765947,191346.6524737390972684593001011004618117,0.7789703813607589039204135422889496311966,292144.6147051633655897854389188275341292,415824.1850668471367202517091122218375912,0.7075725664531892352642964822123562232863,576682.5402092677108077403432105343442008,292834.8237598189005704813967303374893376,0.7046753879096562824404002406269906435259,404452.8463317561832813356899845666827263,2205669.30183587527074369386995176357098,0.580386854774912870384497563730930436125,2509077.27878155914095476156403336033501,9131495.60867630312471222841248598482979,0.3874118424744708817982038656116196730389,6933793.09507746003580517634013341422546,0,0,0,299780.1830864327521141035900601942506949,0.471606874961944055486612383625633462462,277101.6548289874947325258809814949593093,2183538.36965567304278053530581760845074,0.6276245190876866556985276612382737001206,2686066.74956272020598900577808796368157,8290615.08297615858829306533307258640527,0.4460973791468966415607857310809060060122,7248906.45366153494066100753219712797938,1714367.29178579015750618216744654694414,0.513592485514468086243388356800098932202,1725752.87060702377623465754835512360813,556190.6811142369531058655041514843791938,0.4209273528194254134329860057418837805509,458867.1072859279400223753649413210623632,12304854.72991636033102076878489940318241,0.3798775826786362745925565303554742996802,9161703.40122432516427977568473232405649,20752617.86044278626117530738877442190259,0.3230386046649989763075462079457640951706,13139637.56489541329201014265681804569733
1980,40450789.3225052439216305140316634204113,0.3309300570997027997194532072144626070885,26237308.75964042905219526728346842588324,50406610.96519423735397016985832239718658,0.3095684704774300505359414422335251681237,30584423.01855422689664949262669493163762,43040084.70293431046531858020639259200953,0.3144295080613777160108329617387423772342,26524822.41372478044414020979342886932148,37480542.05620034545543432018494244208553,0.3166148095811367839143664277708066833864,23259113.58479845617154700607501506163974,12926068.9089938918985358496733799551009,0.351970965582962504535312891527905124836,8917217.87197736199860826897405454033844,90857400.28769948127560068388998581759764,0.2926650289056885561469723505553472152638,52117936.0157307574728886784906594477792,15562706.24352588902837757700450022230141,0.2436993585367271904225200891896297678727,7433538.19613984568370490201865985181255,826740.685794959419551366441772670681921,0.2754706726791364947943369661901699444791,446375.9131804102700635517716210060271522,4190397.15266711405124897601341663924209,0.525192905188427828041639157625573044608,4313503.03482501281887537573579995932742,2993601.51831304030219642908847420781356,0.5825916222374768083196406256931256328126,3418332.44317767286322128565464950520967,2023536.32014903316860391336671510211045,0.4762063295247300419475046946754277259502,1888696.77520917422789744984238326759371,5017137.83846207347080034245518930992399,0.439097547601804451070086108995386675252,4317905.32486387260890643263617749605048,271580.5582276478856167097614837816718291,0.4640766242192594764797246482408196177571,247027.009785102975864140300910745513954,1127405.70939918005972355801749270528889,0.4839638526352269253340725105709394114955,1069422.27678340536947300146400664993273,4300818.72106280839408694736876982507226,0.6341765015141328026590754571139159720856,5345857.21353339367031289780720292127952,4520978.94754728991474317037458370224233,0.3421349267327535730289827974188578733968,3031698.20991965025201516407541718238806,30181502.38574519956886221249966665173812,0.3844497103914121291688098813634514043729,22742408.90869981418818012270358999213759,0,0,0,1292632.16626484008437820683607310024413,0.3517774541465696149959905084732387479411,891248.9510893570377395398877158193103115,12686067.69709799319098087215492887449638,0.4663161341763990439016921330096148718105,11594807.37096522565656883252574397692189,10638136.15511091526606772723702026442789,0.378791141902317575251125909537585761985,7898078.2141373158398838938592652659461,18047514.03410126230662516630429521370304,0.5223523046463459207359944303736359066482,18477234.6757461293806603044405802953905,7847901.30553757558764006031157797230106,0.726825416282129815098106241494866030966,11179946.1013433001117405707792111552789,45495113.51965051296489169038870611524835,0.3834413163776191611241566293636713768876,34191624.18477906186158879704344892292457,66074957.60163847546406960984839564747383,0.302175674557963265287251443162854229488,39133839.9739413006926366104853552108911
1981,29227112.87648067998183657802810461376485,0.2813954202030788476645642793924094125486,16119776.3900321910390289890686333276473,26168380.42956994968964064526465080468042,0.2200620949746161109626305955534211595512,11286990.49407085931276469306363989289661,21046540.46195549981776629855193704354408,0.2155770416986248182257335708931403739996,8892815.82432639944865243895455635605168,18122941.8321512750763064269346650055616,0.2215543772080488080338321026723549663159,7869825.49796794270044319817081561608301,8045438.59741867461333421832998579911895,0.256329014214865859730229758143837251177,4042067.51542102130432930049028830958903,55395493.30605062967147722329275541844524,0.1965244027540591050397897108669385035966,21337669.82498663500367708594909918206028,16130748.24128635552066576948513623494236,0.3726321541904318175052187690423289936307,11781237.51307394602381418817056844896618,1104936.65163377423327902179459883763168,0.7891328938542329640471044997088038307724,1709006.04056155882652243714837674793746,2496532.29568923684426442832652235999461,0.3471367870525080290012871423254067024109,1698610.871800831892817959948773509176,2626749.37526190036166735100254909421842,0.405287151714563997263356019951724787596,2086592.034233095779251506125230333898,974719.5720611107158760991185721034078722,0.4132049194488616391844509313413595873337,789407.4876271306768776992046638801783642,3601468.94732301107754345012112119762629,0.3349992768724314841584238657221542962244,2364719.40634218246604183226097076398144,559096.6748647242883088788125378763481922,0.4734938335001071762511109521266543039338,518868.5026425681853919996877205987071475,516872.4780342719041563457729717178672899,0.4875632821479372434130280749154485760011,493935.7620109613270279246125473033716087,746501.2014295128526963469265728832567933,0.3657475654321726424605601818261824681612,535140.7541494710339900693744246523279592,1042607.39897279449009147920394812035501,0.4063830701316720258455943462063909944858,830448.0716436601475037546404084484872344,28679028.13360841950432232367598304729866,0.3179980674253155185197198858863048586405,17874956.02336251248283031704882509258557,0,0,0,398081.2157472899257098616683015047559828,0.5272372600192368887943450166567720462469,411371.1689332265603932258349232143775883,5431315.341483357564734644683173671029,0.7461945006439423189337727415404717511936,7943522.57259279582229975953987710321041,15029472.18647398418902327383893101094917,0.5385557201897348730284073525418885038536,15864648.10621784819381842646134490887324,12568285.54597543905275693946801756491054,0.3140936682442178719643975521766290744804,7737333.06492536815092898594705501586958,1718420.54455266338489410485471109110749,0.388368908170980156883874355294878906151,1308066.97690633812150266899414584307622,31544105.88690972303957537439201364512597,0.3038107919910526653330677207113483956782,18783541.99261727264534883528592177323364,51276323.07551908963778459399827107769456,0.2446009018700562879728725122272396712039,24582780.34295060146080809021156542112303
1982,28247888.66969298100224376400937300149751,0.1723208519609564292727210309553422312688,9540692.47365309554608779842049428373106,16285911.6972029126082161780002564274802,0.1890912317428191152266234988919298484442,6035865.28164261365811847910050419292803,12717875.4970198395620212305450045778387,0.1898267337389350930568444335812434110026,4731817.82076751531247198142439666077047,9868980.31874981954306696941354570167017,0.1915072992562811875964350385572035625879,3704364.26382405514801502581778234386794,6416931.37845309306514920858671072581003,0.2071934669107554832778283464456924261456,2605910.66809101463829177121809464769141,44533800.36689589361045994200962942897795,0.149069082367434729841474605324601842836,13011680.99985428995514274958170004241771,14697910.04863297056672491501807674554964,0.250243509660125732385303212194371227931,7208990.92666793793247229289681949547047,594140.6985627224402025852822902359734062,0.4185404049780566108856351468207026292338,487396.9016371591226759624677495212240208,4396412.56860650010758332720249273942269,0.4075384658814653590019498644844935524105,3511746.17784009582690954407963612371292,3780558.83474022016567609494931650842759,0.3648691574212129273382927324456433576911,2703642.26056145393121641179245967467108,1209994.43242900238210981753546646696852,0.4042921789860488815360157769316363643466,958814.9198695093659759091510787350838866,4990553.2671692225477859124847829753961,0.3599795248207282965150147573252277468989,3521134.107667895289993223655542376837,320378.1552100379483615828004028989174105,0.5935204481085894074311532056755145050512,372695.9330391512652239546175993781110064,297833.2051574119590612293002248602399783,0.362121379451818774452459690302952721335,211389.4713523907862863549848019023151084,793040.7592671211748598180336855421538128,0.3559985579495534408889648065272149544211,553349.8787208556311422027452638201444252,1130834.60022618923574682234629294104469,0.2991305203659831987212200015537906576526,663003.5991304963931286142036053463338795,23250294.20553771457411067877191743308046,0.3080927227532395678897114150389812827826,14039963.03533204769427004931401344820138,0,0,0,630113.5381990898504422457715688069706111,0.3575142737169250658166529588167227488221,441538.1845781610728962541782857222366309,4935369.93631379648484282675632488796046,0.2919754774682599474650588732345395433515,2824373.70752992417818600034584483830967,9628796.47552999325486798831903007686375,0.4869337831414022636460169524979951429912,9189629.13805970352023280394173729574525,12562542.81613275708523391617052574700106,0.3565629457316776775839668201869279810965,8779501.05390521819789405501942144562835,3395660.86144347121633649296244207288838,0.3901866196980427228233714227841840823443,2596885.20900844082018450235950036289205,26161930.36044988534393755749510861628827,0.2873773431079921145582462254969113171375,14735958.23362230893007812161464985403956,45850393.67625207845844838499796833723406,0.2136244339219653147960207076239133224832,19197738.21260967259140935896679343202364
1983,38625538.42579437810421559283766520282879,0.236578218003659009627555035283350242459,17910403.65840432922963472279193307592846,15244735.16297083636748464714736101430093,0.2364278246209409435433891826744799004141,7064387.96014697848981776080958607601052,12096218.40952694699710895337161100376144,0.2504306103966725239773424654099671497275,5937356.1851870292446233488011521980552,9648759.57597068444139067966055443043858,0.2483586065428390660572967154790687562283,4696850.86698370968625956493838352715686,5595975.5870001519260939674868065838623,0.2433147128039927664418384299213878898221,2668703.05790582973385460200778922513695,53870273.58876521447170023998502621712958,0.1868278862156596872120050747729201665702,19726359.91511863805563470954707645123952,30181302.03694452334298984110535622662095,0.2697969001172520833128673684282609538933,15959930.59289747128525214029739891284634,28783.5467698098188433409765291079839559,1,56415.7516688272449329483139970516485536,1645071.44838962254247383911288170078621,0.3089264756517240471084109982742557686725,996084.0045027149558777638951512692612124,28783.5467698098188433409765291079839559,1,56415.7516688272449329483139970516485536,1645071.44838962254247383911288170078621,0.3089264756517240471084109982742557686725,996084.0045027149558777638951512692612124,1673854.99515943236131718008941080877016,0.3036333942525916865355737777985081126173,996147.016387151195438031390369090024185,93243.8087090033043532004336784397219305,0.5724843587271511297464632046174980532677,104626.0191867397764599854094889121853362,329591.8168051276109231704179363125996247,0.3398300195327700228831447585120080042504,219530.1793437462431936689780990856656495,655261.2017442755292099928507434906223592,0.4055209115911020911478104554557480037873,520815.3549287745497490514815946777682438,328723.211920742382954603643326599269033,0.3881189063955089159031273939330755910332,250064.0392942954009759156490995992173759,15215790.79042199164009723083575272939973,0.3056924931037030510514261719981921385183,9116651.92168618762820232915320094076097,0,0,0,57478.5792606393658443614020718528493821,0.7041303253081750676779142520478019295989,79325.9249975696140095854975746200994582,3419197.84798017999276848467994470163256,0.2772486429959522024884525016067288114201,1858017.20843488254776652813454567015153,6889705.95593834821483006155805783030902,0.4984523214791256962588639479320197796354,6731012.25897021598494226527072302479289,4606220.00690276414747335717181370189694,0.2789675823656270475745533811343160300359,2518572.67597289824808167560406236151186,3323863.43467864110793911345896029369488,0.4034299981394658624586455024535057620749,2628254.5897657558751243811654425169522,16622610.82960114046753819818143757161263,0.2917641344428398673310066500448735910735,9505768.05532235605326235543794364999838,48477767.86170509617184521937620460700386,0.2007386095447188047638280567161125291045,19073465.04020506079634775177978326119682
1984,27446086.02964974206082976822669756131568,0.4651265467457723925374059274014030239205,25021170.30465040786298150343433183622317,13004925.38173700004431596032868893746138,0.2063679416154482062492622960880232261046,5260247.37650746093446554846179432527792,10595931.41634197693289655467211391130548,0.2161856680860084084640321531444750136028,4489749.48398141457010519089847567425293,8844606.42959878557723639658612051598831,0.2293269735294011308213253391250575156243,3975481.376134800622949571184275894596,4160318.95213821446707956374256842147306,0.1931245360394417001362141723128216230264,1574780.94811926630163276558850862766463,40451011.411386742105145728555386498777,0.3252795197697620548386304306484799925873,25789455.70955020674816684157261862285622,19492259.56286238432100687722029941165944,0.5613099933928159657627505245873682737235,21444752.1694250239858124866685354062733,87651.0951917160418247855146561433959046,0.5731352618837689440483564072991185378891,98462.4294583225356423444274801611371622,1718733.74758168710581727003916260390457,0.4761576819961137928388349623533564216243,1604041.02334530016981221400384824821491,203449.2327597575557847701799741053289526,0.5393139051737746386208677073133680552831,215057.0804395752586815564518552558581141,1602935.61001364559185728537384464197152,0.5063908010440264526586007758341330181753,1590955.221250538154641970645357317244,1806384.84277340314764205555381874730047,0.4586206546325880700537767170729796821396,1623752.98225780074060969293153607676191,151732.5904018908285228788192115296538672,0.7211622207101253411236618499007249094908,214470.6712227217816432796612640490777904,186775.5092836080019568645097297518159776,0.6109443670430326479896384654381035812772,223654.5127848913595924862751050856837204,586838.847947763434458548350915431030871,0.4430034402403959560639549544252709080601,509544.3918748368622512789175506598525668,1072590.49133596414301230852783397148383,0.4256539796770619121229914898840791937491,894842.7259538195312362267412710711004795,12523791.75252505695368283801996897177715,0.451005139202485423121659980042427063221,11070657.10767338428157342384016197116501,0,0,0,34074.2484816417188684114793601066419017,1,66785.5270240177689820864995458090181273,1621995.78642219751657014592285634587686,0.3722343699866067549975876494959683168679,1183374.65617240302088581488889267337382,6677267.76374457839809051113256974978458,0.4072888954233042482945377691256404913189,5330370.94340468577040910863155479901121,7508136.0849516360609323261607455371827,0.5571598286003994499366009804122972719942,8199134.3558322503145042485498865517285,486640.1506676328148140990859466635761495,0.3510286163696208686708300412866884206988,334816.2527671754372724930425231337921337,14521729.19149428336163343822765965576172,0.4049325844286739501291944437719753275898,11525429.81049479207623429547061195404633,35820373.59713007083028237100177781472171,0.3560926943502702701547028564877481747492,25000531.75979724587345939498215373627286
