"SURVEY_YEAR","NUM_MALE_LE112","CV_NUM_MALE_LE112","CI_NUM_MALE_LE112","NUM_MALE_GE113","CV_NUM_MALE_GE113","CI_NUM_MALE_GE113","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_113TO124","CV_NUM_MALE_113TO124","CI_NUM_MALE_113TO124","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_BARREN","CV_NUM_FEMALE_BARREN","CI_NUM_FEMALE_BARREN","NUM_FEMALE_OLDNOEGG","CV_NUM_FEMALE_OLDNOEGG","CI_NUM_FEMALE_OLDNOEGG","NUM_FEMALE_NOEGG","CV_NUM_FEMALE_NOEGG","CI_NUM_FEMALE_NOEGG","NUM_FEMALE_HATCHED","CV_NUM_FEMALE_HATCHED","CI_NUM_FEMALE_HATCHED","NUM_FEMALE_NE_TOT","CV_NUM_FEMALE_NE_TOT","CI_NUM_FEMALE_NE_TOT","NUM_FEMALE_TRACE","CV_NUM_FEMALE_TRACE","CI_NUM_FEMALE_TRACE","NUM_FEMALE_QUARTER","CV_NUM_FEMALE_QUARTER","CI_NUM_FEMALE_QUARTER","NUM_FEMALE_HALF","CV_NUM_FEMALE_HALF","CI_NUM_FEMALE_HALF","NUM_FEMALE_THREE_QRT","CV_NUM_FEMALE_THREE_QRT","CI_NUM_FEMALE_THREE_QRT","NUM_FEMALE_FULL","CV_NUM_FEMALE_FULL","CI_NUM_FEMALE_FULL","NUM_FEMALE_SC2","CV_NUM_FEMALE_SC2","CI_NUM_FEMALE_SC2","NUM_FEMALE_SC3","CV_NUM_FEMALE_SC3","CI_NUM_FEMALE_SC3","NUM_FEMALE_SC4","CV_NUM_FEMALE_SC4","CI_NUM_FEMALE_SC4","NUM_FEMALE_SC5","CV_NUM_FEMALE_SC5","CI_NUM_FEMALE_SC5","NUM_FEMALE_OVIGEROUS","CV_NUM_FEMALE_OVIGEROUS","CI_NUM_FEMALE_OVIGEROUS","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,244793807.131868846229464887667784336415,0.1679662443500705151745433051860954960842,80589508.99122721327289708284228331201128,292863162.094155216989406623285503252711,0.3265058943499661881964699155132965133575,187418235.376954080966327330412129114481,263581271.907423107322837005173110676079,0.3507586268949468654275620730188988851059,181208673.81856386835216747975823308346,233518137.503512871428242763135352793822,0.3693049399502394783183538534063699210789,169029227.426132109398358109905591829425,59345024.59064234556116386015015045888883,0.1991266017938606700588063000791107731373,23161659.23701110702231350649204778450705,537656969.226024063218871510953287589126,0.1988114675593050360143416929315895833911,209509047.346815340279448847129679430582,98726976.04829188662272909199501654751013,0.2521474769719054574475051956885224344233,48791765.52249937867797370651791580522284,5031765.30853487810674685917256287344379,0.2560506215678490132792778697349236269414,2525237.80427443440559668780114700825786,1873445.74513109614127097362489964387144,0.3477181551243784111930782456657678000721,1276804.9525162983296681532670678536489,4306288.91068190037321622452410344748007,0.2881417167589131049216272819458365978917,2432010.09998415507948648351314406331035,2598922.14298407387480160827335906983517,0.3148256920771158715742802112081343476227,1603686.62614622421169396325546478250235,6905211.05366597424801783279746251731523,0.2124037330280712673532754732197178648507,2874717.50608489441031904801744203702912,1004450.7321871661188438999980893156266,0.3448201639622490769971607673030826256833,678855.5376829683247863456217320562010792,274239.5393047113007448784039713522491287,0.908568607344683509126369139141697104113,488364.2551576611179352107611176160841665,3383060.51899467512887203136799896478942,0.3400579227618058582598264410215900390936,2254855.60402693990818967599665387873944,2999259.2630651041775249192917169027534,0.3902822696390124137977964593205099796116,2294293.11635276608266797597599672148682,130387658.950673758016770944117202351929,0.2010785001322844912827719572392273557939,51387583.59922018403502477510882695498751,99127682.16899447894876255937065821461438,0.1626766881204838413420364296998306478441,31606495.55117144563117778419245546706216,39162963.50911896147967768253179446551546,0.5096401192596861760396880714849514219485,39119674.09096624568545962199889004985595,2948616.19297823511111295726110792416201,0.4389037176818456402397496190289130121439,2536550.87386547406112824865487346891055,2374729.87439218353812209485344327169748,0.5650756955337229484687067567813900695979,2630128.1855346723456684703923765372965,146770804.439018961356707671409789475009,0.190026973940326914859323600575500736598,54665207.18745517712973458061588636654363,252402991.540976822227454596202268539835,0.1603846851510061854076597665498321612432,79343885.68576442452013861776074533876854
1976,229846516.829772320865390151857134080762,0.2144472802422465782640573963724572502992,96608322.39830492173531739689520570336947,153869500.297940390656508656998216457761,0.1473555263135590951215297723560331343281,44440101.55201439475363654763184579768548,133880649.141884937122819676639207360913,0.1553101276468912713334768030093236136108,40754320.58704263531118338206748897695981,117829049.049604961024003844053418988984,0.1638119365979667678665223180547301852435,37831537.23613270447018863554420424970155,36040451.24833542963250481294479746877756,0.1434991564830228522320357129243017544661,10136677.73267113854513038650967929510354,383716017.127712711521898808855350538524,0.1477353357154179410729410430977686137188,111109292.635101568375300830482113761543,147038080.435905917294633185105902947683,0.3327355651005708781056336774541376735658,95892605.61888292706286664067568493046663,9008323.81953388569352739640652670777641,0.2478770921878284587751853478374472852001,4376595.94318992744227191721501978341729,2467798.06452046307009810443387668877643,0.4193069826857784440129495201437330533898,2028139.32221128355342099228300800750602,11476121.88405434876362550084040339655282,0.2212142808155222114622507238196463163218,4975816.8162994227393969327408067331085,0,0,0,11476121.88405434876362550084040339655282,0.2212142808155222114622507238196463163218,4975816.8162994227393969327408067331085,6015133.36391803344151548379580328003635,0.4958129527194211174267633211050350025258,5845466.82696399664911432041020958120197,3216968.78783454503397190465985704546789,0.2816776152331696120337522512011690305472,1776050.26901607904696820756375409342159,7581210.24730162462963053038433003412471,0.2244448357245895255112399003824841734099,3335064.43755640822740028501771796247097,23171115.88301722446401682342389981890853,0.2654249349610223547850713680760628248891,12054376.17539935139131487082831630380029,97490247.15673478958990184673590319586778,0.2242975618289541662463077059288809072955,42858976.48914117937252863544041057515818,118415698.942712684903490117155482950153,0.2311312265626549568843286528845319902612,53644348.85217040255664862004773242503764,20149202.98189605194750500069750163756974,0.2951329580854046592211098969645589548799,11655520.00305606662510784591139083649634,33598.5807627555294483981182513219755651,1,65853.2182950008377188603117725910721076,0,0,0,141235210.765862828483796889410606544503,0.205281372493818047547846649823220408108,56826197.50452117691190853708834261117494,299749413.085823094542055575356912888739,0.199746678405861278355423946893383059427,117352941.25127916114304124408804313241
1977,250619564.939208536693280357214383298087,0.3105245577391210944154730258734630951356,152534117.944496593017909441691154660938,130513592.857836200405820509500913025354,0.1207670799623416990266358771201163111781,30893021.1894762332454865019850570536257,112929623.498136597246405642310949371871,0.1283429463332112675264452345516852614022,28407692.39178015480071033505080358598528,97633287.25460681619964372911419500119483,0.1317913195899833015601331373398748638288,25219750.73585735936836748510397204697433,32880305.60322938420617678038671802415911,0.130789129656057576978862710134039223231,8428757.64323626616894636390162970516083,381133157.79704473709910086671529632344,0.2110102258282007954306416289570131511447,157629067.646844609575189577044258178413,274612638.835503134613940047777801579636,0.5946461403090706423766232191560545892978,320062797.696696647745588506864796875716,4057225.45760320702930067622848942357836,0.3455384317861197901012744803474706099446,2747777.55116495142909072192443367970686,5591588.58693601935998056285953413923091,0.3425282982781523574542260746503488611035,3753943.55377527725553359647337868746516,9648814.04453922638928123908802356280916,0.2801243372134725069927091202676079073902,5297620.57268028774131373952172621365813,0,0,0,9648814.04453922638928123908802356280916,0.2801243372134725069927091202676079073902,5297620.57268028774131373952172621365813,927208.195701752805265939174473277373814,0.4568320593859956426495047172586527470177,830213.721863129814324563660563914979826,705810.12390206257993209120168402228248,0.3766015252969103652671646491720608148045,520985.9716937753974919728006967692140342,2188509.39348936546665603311226112630745,0.2730897211514868801605810092427130658493,1171412.46321062416427680203210414665493,2222219.8101672501366294724185726486339,0.2869993118949638928331723636746200777875,1250040.09053882182899055626570258650423,176291932.906550807484289648959317224081,0.3275179540417197110869912816177182174462,113167995.432042738657376728342081282316,113793165.706577790624351412998543922597,0.4268232951162050566993692751867849814387,95196364.93922831900043717085111591313489,61270188.88539783320625807747615168921452,0.2434607896208646629604381345649282388073,29237101.58986662515735616330740481788836,1029880.58403171019364398039321517854181,0.5947127182498559912852379032676853695702,1200466.83994040529929080199217143173624,0,0,0,182457526.533006698437434551366195445173,0.318056992578501843735408206914787585332,113742508.638304616858271819958794977562,466718979.413049059440655838232020587618,0.3733937870684428179765205275768644642843,341569135.750723695843959093454197832242
1978,198599882.665450603678432259471492857334,0.1620417479646438649419222606089556333898,63075685.38005826987719384604800303957162,93434350.96101345132227113399063871771395,0.1293178285561752031606565588645657650393,23682145.66251432901014292455941131646984,79562157.28944137224053466999086925891234,0.1313518395487383556415650823624944400065,20483246.00813100630201154147769685609736,66954728.02378479207963706144434857619857,0.1370589917115353829159578506527327490937,17986425.1259896502661940514281876498861,26479622.93722865924263407254629014151545,0.171717621205640310128488217033771939288,8912155.00795830251928135590421570295723,292034233.626464055000703393462131575048,0.124276024266489509209996446386431487504,71133992.86942390251103562003558782557532,153198693.763636477209215617032115122682,0.2711009011018080167328768759301784695812,81403315.6968058989646139040232034690365,2589869.79804285298859957190834046020045,0.2487833047896608366463966487439001800904,1262860.07997078360517094571275488189821,8063708.85511098207235736120842017121228,0.4264226739893200872905543796315149806166,6739554.65284485631733248822104889984083,9434898.2762789915620216454959271734131,0.3619536718654077337098115270171266709152,6693392.30656054281617357744594062536057,0,0,0,10653578.65315383506095693311676063141278,0.3349835617399046679923014579389421119085,6994796.4961189887266026214075292899725,2143936.47478028763229454337890793655148,0.3974398680692852639495081744107954906252,1670088.22618378785824952007688097417459,3151103.51058173964001698840836286289905,0.4206712936183760585388496472805447954414,2598134.42863878006833446825196665675662,7942333.59142042446305848313549958263867,0.445047602944444957089096114064812227534,6928044.39222773699452362323486712156458,26086156.32146844278713572689820504698462,0.456915814921999303667700321855264074432,23361587.65266057766330817578275273375986,86110569.65472682960854750096475580091947,0.2009917950660965587295053574441780383378,33922735.21937266856250800971649287712089,34049356.98664800040343419923595038873028,0.1952044639836929077319910159159755201091,13027309.49995334285597796221115561959346,53931804.60078016660728342446653768181583,0.2749725483621084366938470313235790052311,29066340.86773386103779411235537830972414,25127720.00325049063800765843337984395706,0.425003652508643506767445543434196754833,20931570.64996808554247900975027073397323,7726554.34725085001689736247195617073614,0.9855826304417248887239765194991969603623,14925709.2053162972817508359736399508229,126157472.494265337939224102680053774126,0.2306670708035224810705809619478090114324,57036734.29484715951400518762603624975976,290009744.911055650209396652828929528221,0.210618338555432096731237438193726437951,119719486.450580390339660805328432504084
1979,159777308.319271112878819538851150449117,0.2549694718138464385374688066860564090671,79847138.38360519025843014082643013690089,37042722.84199616127830892853062320810064,0.137957431511796438421827505835547692072,10016225.04299088016592346719062601561224,30872372.4815884508918899057316819233195,0.1434192417868879543991667880665102908059,8678276.81680472825630310026717668449428,25100960.89528991878391492952490774099556,0.1454146601044008806117346889661146696408,7154093.48588958546359679018285737151702,11941761.9467062424943939990057154671052,0.172513522948347683528044762410788418456,4037826.23032815244413253911348971543132,196820031.161267274157128467381773657218,0.2105164962627776359602984806895534831144,81210372.17462537194751146102183116950981,56681910.16773930524104307715200192105218,0.2293104654123007194968593972676822967148,25475600.19400414003930295032888074516979,9575716.55672934611603296851870995718146,0.395120864810713517313333964003976534004,7415788.19787124751996618976637732813777,2629217.85182514747637746696687514787506,0.4637167361757891012973372875820971077282,2389656.14904921467255324276985554581396,11706692.99298815212021785753775018835696,0.3530981672212680703074532525768525611574,8101879.20649050835982846937763852528307,422108.1554050756643137484074196011441428,0.4299467545419264534628196569539832537569,355708.7017048991687596904939665842591127,12204934.40855449359241043548558510505649,0.3399001062637564308121988893002410249967,8130978.66472330524879855508899533433349,1863076.25007954557590440576327241176338,0.4153225813552142695654883479274768887193,1516604.16939147400268878562657444149061,2793681.61304693829311730711461444983309,0.5265138661362732274904346759000839983894,2882987.72940476051911991998189882591957,6519229.68833379752261804153018852353302,0.4849822570510418238989431788280122065045,6196953.02782527872859364440576367085615,18817092.73569215776755117550898007501698,0.5110495134513961920338151679592313410538,18848273.53080474674408701015274537791704,88623394.73014183299836907447862049891596,0.3260127693002765715771540768793743391398,56629022.3478995487044741884536157198468,76852010.53404447294892455384130725265891,0.3870010929762807380142901388341498374083,58293951.66523570946892011325010925134916,20618114.45614132232638973742839539961772,0.3593580656355309058347434197217714885563,14522200.02690140695275050937755753547329,2729661.53039202828887656963428235653966,0.4078704291764096259259847118324755471468,2182162.51101837010425665284591362412661,454633.9830413333281945915357486962125544,0.4680440278381052053572435219054565687567,417065.8924049030735496250995911169271221,119166072.364298900396922732759576658364,0.3199619145247685102390897490810567082363,74732065.13375324006131285136948888259438,188052916.940592699230376245397163684473,0.2690614742951922526617311093249333222709,99171678.35199252426933867829719160178214
1980,556607171.380372483466332234687567725113,0.1899730531814283171268842085851682223756,207251112.988823459236551233984378992119,90503895.51221976831791868083431009106682,0.2021718374435025043805051667230792618902,35862784.14894045241584173686153653760114,66829524.98221197078792874748639646550491,0.2271582767785693403483800316122247936931,29754524.276463657418611442954388621164,54198953.51240645595404676767714289937466,0.2379100811813757012158871686261823218594,25273175.76296116617328317345397748443296,36304941.99981331236387191315716719169211,0.1904907830823344011882127501972031269146,13554883.38935421199606013299515948383821,647111066.892592251784250915521877816187,0.1721199363733218424265929746288269605792,218306202.693649770276436610082290770316,174778431.078224427807973763699200931735,0.2239276892481357274604942671875970023091,76709951.19545224106547651782207327347894,2537597.99850817651361786996375903479094,0.2904070635368794606724857784221473884875,1444395.31104029144859006882419030232429,5492403.06227593534968688814329910682603,0.4236093343466559046141304311987040329365,4560201.08214151716154254447104022444819,5475296.83477683779746865850527378460406,0.3659742951879899196449518912436023812303,3927483.08410287120222940841077425893185,2554704.2260072740658360996017843570129,0.3927910006003766310036516294245470366257,1966791.06517595949186913739321716247961,8030001.06078411186330475810705814161699,0.302285607794603889694276751785428223468,4757613.35245086088629827897698843035624,4346190.81296723939362981863970813696822,0.3882605945969963373817417607344715210975,3307411.07337834000217247831704532637633,8177277.38660511580811553361855416918929,0.3410716357604376469494085339889377685076,5466513.25365983730382739232689246615835,13921917.37152677390350624104243608493683,0.3052159645942377621927539874591773159734,8328415.2215215661671921082244951627309,19852071.16231783697830211370452058635638,0.281553705031260428677261164498648627621,10955271.40905786218124532863935617609604,371313758.633518495504970377270977822196,0.3409751667092817988183253124821690411632,248153190.672967425924167874778123532492,343037341.21347362819114724809761761816,0.3695216799891479757869580703332249413297,248449079.863458193816441422368544080009,33569855.09540004470387480827321236168074,0.3140187474048928522056390271366732825813,20661465.14133771248354811245115837519732,24696408.09659413174896784883813836418727,0.4437464136661984373677309782250233515609,21479527.34566900344748135098250746120612,7643418.02466329861466150313334240516898,0.549341349927390414591787992605527705128,8229737.32842665331141529314263180575103,422846549.026945491833984598024523549359,0.3149020887654870290387067948124418424628,260984312.571091582301445555578996206846,605654981.165954031505263119830782622707,0.2541280131758097401233664397869015734809,301671238.186123277593202151579380293828
1981,217024963.760375240422535257523732843085,0.1699397742801010558746413556177660633413,72287099.77498714882555484596162909165604,51273754.14795794917367672438938862205036,0.1389944894134445874810093449008735433084,13968467.78508756727552913589536505260998,36673282.01635573588121683041308437993012,0.1493251365844354510803236025366712995695,10733435.97834000758122843142093140630619,28810712.42755664911079866504974717693158,0.1639878288373874103644992856536481564371,9260228.10937656620600768856387045600226,22463041.72040130006287805933964144511902,0.1325510525014786271002476296147672735056,5835899.65195068231557137963051999754893,268298717.908333189596211981913121465135,0.1477666940227241314510845320252457200936,77705404.52946569778958714696662457263946,26406963.13254248640739249772875783158925,0.2429692853145436137387947791156767682925,12575518.68089704554156268738814606960495,15537962.75717723006613291410581149495294,0.5658504423340855445489378723016496308739,17232639.67427379478617255262063533252937,6977865.25855548039021328072769451960544,0.3808008609295088740258201817008181682318,5208067.11189975246098468631174997204102,20871460.84853535600009363739238398630864,0.5301542608959260091412404594095338918435,21687584.04394809599940257867652914397014,1644367.16719735445625255744112202824976,0.3144868060861904529753438840234209204098,1013578.2857519897421667028034912199277,22515828.01573271045634619483350601455835,0.4923180363685832980990767869665788313888,21726498.54239979599409893809420313861379,10313863.20263679834027184518688737762074,0.5394797923548975693521494554147918195465,10905676.72671322485074826436379764587236,6890107.51490690285311464321169712810379,0.5839463271201908407024511832132192592531,7885967.83451449850622734538020931269658,19463072.3987733048491547596747923151005,0.4503656695304814574708205177517542488009,17180379.27870779553215610247603885414558,7546204.38756229549698544116180677308359,0.4610675808407342268121670399283115973172,6819447.99494604071056013758004542964397,237089816.949793289601463592902758257467,0.2877529856281279902817065550635876424916,133717673.271085554327335031237541914601,223995840.345415305245641281744853008262,0.346087516298518060064063260922923636192,151943441.530834570658230392743811061806,37120990.41716890755362893737351568278919,0.290928414178845069640712361337674633767,21167119.71463750733152212530504450391356,18105860.11700901167236508966548026246614,0.263535685498983094548121572511570314029,9352218.90466994957966498930192434054647,921734.8248714424748416616826898112985855,0.4380143201745515444134374745980715788852,791316.7832866574325053804205624163804461,281303064.453672591140990282137941851376,0.2930502695383793496670091734527297592045,161574440.165836869472530498435186645239,330225855.601947788004728974700205697523,0.2689370994954481785748743954677100632669,174067568.216621449642275712417849264635
1982,136078542.403776330558371610665070537968,0.1471952895951613486703610002913387557446,39259036.09535014896045384039804137943421,54002011.31969221068404580052148398005062,0.1483514791981909728910815484328502894146,15702105.38754943318491427634317554860267,35730281.95888116995090669851765148811457,0.1465247874027555111966995979171368768377,10261329.05701652535540085416185824730248,26144059.75750976264807259891731855981128,0.1613751277826350332213802358640616873717,8269241.92888496908674863131156247335189,27857951.56218244803597320160416542023944,0.1468712287977596714200806977593466058007,8019401.89234336138403462099198178626585,190080553.723468541242417411186554518019,0.1381016829519457186413144144251001376965,51450870.95667152595803327647111335023652,30187422.29326218145554086784541849601205,0.1691549655961167416676246273221894489171,10008450.66372633523920986880598570350806,893433.5347391644925953705645518180346263,0.3053381356601526457432056535827506635969,534686.6864736927503868686561468825207122,15814585.46630134449322593163203674233834,0.4612642669139278169823017442857254509547,14297618.21645584806938853814793026379924,14840100.13271569773540871532332738619898,0.4845599599535115089882785478501521495514,14094199.91898904587584151776927863582399,1867918.86832481125041258687326117417397,0.3678406578531231202653267341198114539762,1346709.1504680852728769769361798414847,16708019.00104050898582130219658856037295,0.4366288971229107598458658252004484380398,14298599.66268459101940020181850037178312,12799722.77795454312873120045032190264651,0.5039834066626059504514724324464875589182,12643661.86434215027854780477269926337346,10641637.11408750336287745540834118650708,0.4487893836060987155937780506462625863348,9360673.37154258310464343756703469331279,9790128.67824965069942675156046276406233,0.3753402353581984534806609675615477459829,7202273.23647129357886822954881633827956,22390409.40428522896937551737145276575444,0.3567021601162370958030685440316302886645,15653946.50477508316123463389199662900424,391045699.865839520680748456801924528344,0.2924257529149016440497110559872647329479,224129593.086509438318339187147732216938,40268517.13696318770691196941937973336155,0.5180808721505100079803146869707424671216,40890203.01791026724728334724661704223828,391169602.848679565288736878269993446194,0.314279434964271401651176454185654049486,240955661.046623666791139464411075778698,13800790.34654332641508339379388153122561,0.333599627157541560367841339843158625945,9023719.48760905485475329182078207281712,1854053.6700761266533888478405772370578,0.3689332810527321943353634029946138226055,1340683.32334812867911209309419194347698,447525033.341917354666181668822486157929,0.2924209220682399781541792590874269052859,256496738.48098809269205379605546100904,494420474.636220045107543838864493214307,0.2748669137176101309125644483269416647694,266363666.68642533690128363211577855041
1983,160744939.28566539329563579108257300644,0.2005177609440279144477031430418869539822,63175142.00494485574745737407029393178365,35685915.27480553702408714852174979114381,0.1524622644139699977754679193345940336182,10663880.68294458789865567064407489774454,24121768.81880875165003951984598708709409,0.163165996398079169993421661268345330623,7714270.79064189252505346039805787245419,17709724.78836256551358858616904938343954,0.1658448230355685446020356909432944681982,5756649.70012783809596524216698022973731,17976190.48644297151049856235270040770418,0.1588675207490830546600157244173808430581,5597432.31758511844463560826739994067063,196430854.560470930319722939604322797584,0.1720114641856225010044130259647155579275,66225183.45219214879330506019379040217253,126639762.674964885680803299291416726622,0.2653641702064306358814022707190621021753,65867084.85326747227320048850557014522698,205911.7583133587346828939232854197556795,0.5083345336611847826315924513609737263671,205157.2329696485703876854856979139044218,4711253.56806963916801148185348575305977,0.2460059549792293808647133391435669471222,2271633.008998055935579073070465840078,1899496.44421669774842961757522014692552,0.381304711804317987396037651019737533794,1419602.41070133443829851612538212813361,3017668.88216630015426475820155102588993,0.245693332059895562815781956105449319902,1453185.4005172813326407914189124472934,4917165.32638299790269437577677117281544,0.2401632000496361590297759270481102820457,2314607.43351621862796001622904152394672,1052374.45079458468422797151023076199473,0.2899825499444662813614663608787257712974,598133.6444061290154903056953858709193721,3298505.32933609532617453477735186145575,0.6164551975022045688161898111841379329321,3985426.27834559566152308642858619736767,2658549.50827087938442001560415316832449,0.2544082697808513799138869158563040884857,1325659.68183081821242553550797770545179,3655521.76042061381448477400079905220753,0.296301249110427408092355295699369953398,2122945.90097543380634161218890867323079,112627738.116582933277084697760768316172,0.2097482512563116349879674281764604828028,46302003.38129792394383336106954656134625,6884361.83060301105975331220575285041435,0.2082239430192592036496397177166686542293,2809638.3724573109397745529808507259445,97672490.80252951774591888802714896894971,0.2406304162552089587370463055588160368408,46065825.35225166290959638424159550501854,16065444.45193816268578095584431460745773,0.3438437638501293924822017459504021279337,10827045.66102801018481300419095562974373,2536555.92310290631884893399954105866841,0.4129383997887263225887465217348190394169,2052985.03396703015873135703047559460304,123292689.165405106486391993653303160155,0.2007793498638895837070210151103647932973,48519066.90825729461691546234256567606467,254849617.166752990069889668721491059593,0.1716832449238942332947639416790766952775,85756682.11588865452169402681745833966771
1984,105020718.901140086496214941719706273695,0.1630438383132643729327962326160720096511,33561042.97963813298184345490605714090492,28466251.13741209368031060831053164331022,0.1460567107786841067428838512563508372113,8149066.53828755588656810177654331930602,20100822.6739610447930375724200941542182,0.1511608216995672963594719858336880390492,5955375.46957716025009257238355360033458,14184590.42910708507541923142938447383026,0.1658058025815742188264349860208569771136,4609699.30476247230666627095922521802585,14281660.70830500860489137688114716948003,0.1564759359130485304016633338491485454724,4380083.00242029010377112063960704361875,133486970.038552180176525550030237917005,0.139469970350357741602722255285948617749,36490150.55673449094675393089200866067798,78524434.61736279368765022669484431141734,0.1967320956714810834826162463897346616356,30278622.10403627729934363056143277951528,468863.1543913660523932428078478429482139,0.3099806369382433957084192019656359243128,284863.4585008148158596303527374406243831,4086487.02622518835420805933003791535392,0.2600981645719275955012635861541155245629,2083260.03913360543926196674421099835619,1776500.42317410559380111029686958740436,0.2690395521600399189773619484557268667864,936779.8013952502306601564200928971536165,2778849.75744244881280019184101617089777,0.33772111981698994610690709843427799286,1839413.45369780402127315284317830660383,4555350.18061655440660130213788575830213,0.2375785094574662592437040688113207854541,2121216.4796966541784866277441793491015,1060232.05576982787659455014671270287563,0.3775432667915494476396857391059671001719,784555.6088292236754476204363699792018053,850254.3681104098336831309729549897916096,0.3232800781728045950888567867182117561483,538745.7852354236562798455010819747649711,2499581.76534178274854326275396498520761,0.2783579181124096811262945755171847603301,1363725.61765046957122862123472485230528,5934891.74557921648026598434995774072036,0.2513363794508611523356726012977637115709,2923642.23938269605204472914865277691234,71473630.47280243016720617647187579489334,0.2459081221941030544011955364726636807914,34448854.66168565262019958263659137515665,8130504.58935140208023225663079398703522,0.2951319615289031968898951966231445040177,4703160.66464305661200171883111108746161,28802030.3387473178641587401289719279391,0.2294504452553172655461192376906332078822,12952931.82354614777131588793591023366819,43718666.98743361732005577367618453291537,0.3787278461516262006087703818689337317235,32452654.10615103912013139891466044774809,535164.0010435687735592872016781467956975,0.2955020669983006535849527631782637300764,309958.4542432523892089056380500600282115,81874936.39186865105014880734122583105414,0.2352514933128288951756904908142780828919,37751954.06011675906244379011875609631486,164954721.189847999144400336173955900774,0.1583790744802536999379485670715816241491,51205737.10346498217864428368467117022328
