"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE95","CV_NUM_MALE_GE95","CI_NUM_MALE_GE95","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_95TO101","CV_NUM_MALE_95TO101","CI_NUM_MALE_95TO101","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_BARREN","CV_NUM_FEMALE_BARREN","CI_NUM_FEMALE_BARREN","NUM_FEMALE_OLDNOEGG","CV_NUM_FEMALE_OLDNOEGG","CI_NUM_FEMALE_OLDNOEGG","NUM_FEMALE_NOEGG","CV_NUM_FEMALE_NOEGG","CI_NUM_FEMALE_NOEGG","NUM_FEMALE_HATCHED","CV_NUM_FEMALE_HATCHED","CI_NUM_FEMALE_HATCHED","NUM_FEMALE_NE_TOT","CV_NUM_FEMALE_NE_TOT","CI_NUM_FEMALE_NE_TOT","NUM_FEMALE_TRACE","CV_NUM_FEMALE_TRACE","CI_NUM_FEMALE_TRACE","NUM_FEMALE_QUARTER","CV_NUM_FEMALE_QUARTER","CI_NUM_FEMALE_QUARTER","NUM_FEMALE_HALF","CV_NUM_FEMALE_HALF","CI_NUM_FEMALE_HALF","NUM_FEMALE_THREE_QRT","CV_NUM_FEMALE_THREE_QRT","CI_NUM_FEMALE_THREE_QRT","NUM_FEMALE_FULL","CV_NUM_FEMALE_FULL","CI_NUM_FEMALE_FULL","NUM_FEMALE_OVIGEROUS","CV_NUM_FEMALE_OVIGEROUS","CI_NUM_FEMALE_OVIGEROUS","NUM_FEMALE_SC2","CV_NUM_FEMALE_SC2","CI_NUM_FEMALE_SC2","NUM_FEMALE_SC3","CV_NUM_FEMALE_SC3","CI_NUM_FEMALE_SC3","NUM_FEMALE_SC4","CV_NUM_FEMALE_SC4","CI_NUM_FEMALE_SC4","NUM_FEMALE_SC5","CV_NUM_FEMALE_SC5","CI_NUM_FEMALE_SC5","NUM_FEMALE_PRIM","CV_NUM_FEMALE_PRIM","CI_NUM_FEMALE_PRIM","NUM_FEMALE_MULT","CV_NUM_FEMALE_MULT","CI_NUM_FEMALE_MULT","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1980,2741280374.09330976576611115660625418565,0.1468469832976562033850978334483132786875,788995556.484999095981615369317138831824,2567047139.141595408521905926224136075862,0.1553500906445778226140492854923298114532,781630371.278920008907838511221229367512,194807158.638608847230906950334950190919,0.1703345150315874784818683543953380815207,65037470.46712237179081733652050245484311,513358088.053735775549364703742117383278,0.177750163025923932487219827690330093775,178848988.330767168667436405328475212142,116566124.949864141659218102159517200343,0.1580718274953185299094307516286732222993,36114607.97395043304567967601487505429537,78241033.68874470557168884817543299057631,0.2131196040367491240657706309620723163868,32682408.31357559191068960976612694786391,2761854297.780204255752812876559086266765,0.146820092099615832954805319570737884843,794771576.636986425923942842873109824175,898547426.17349313028341112227242513109,0.2111296396957563381137470782574498543488,371831588.901615292730568525248939282727,16282831.92560254811745148111486855194111,0.4080667283329312838279594119151436661036,13023184.62567624533714958381366931818176,254050240.624910377117352078712972470254,0.8062686801886972922378848766896885544827,401472194.332124216455026169269182052383,206601801.630729574656198052586338983023,0.8330843215171832352289548673683538046091,337348774.602097496072834534083343093077,63731270.9197833505786055072415020391722,0.5614042728909406419428416285481777685246,70126855.30982758263863916408329308509983,270333072.550512925234803559827841022195,0.7597849528579388471254033503484233717774,402574201.536117121154369389840151726157,69507186.09038712678152175720280784829188,0.5124474412094066660377055206468901423515,69812808.12906249400983212662362548480751,92704969.78369888085889916259178412557543,0.4617683916346871203619392301483042213958,83904120.59537936509362315093548443206203,761278110.377957527466626081175025127715,0.3210603303137838395741360749250550588928,479055755.094056464427012726998705195575,404254380.434314665984875261797973717813,0.2731962203437490920624637623126657849764,216463906.832435250497431961393103803662,3232087486.247609816738364944824841911743,0.3956381465062852223871684355902827998746,2506324720.714119434087826752735340976473,4560005525.632122162279998680910248964132,0.3324408842713913966374107982743602465047,2971227247.678204292651934134774297948022,3380630393.356902383373410951131910716822,0.3353564809913740852088338584354672300307,2222083972.007364840044789904214029981455,676770357.668481409463476682409083350769,0.4286077364025248389941515215896755851905,568535261.686645272060509085521537021056,646859969.508075872436648274789878345531,0.8584475687002310760170895204700034778394,1088378921.502878149406131636957673503182,7204253.60756700612634680782461209531762,0.6620853221051820130158387776668563927959,9348867.91777510473753927789025246786009,3380630393.356902383373410951131910716822,0.3353564809913740852088338584354672300307,2222083972.007364840044789904214029981455,1330834580.784124288026471765023573791624,0.5874100083156503895532129076630441290923,1532221282.243708794389718628264646926989,5728886024.356128217798213363010515117399,0.2915572535451311209318394474706365813385,3273784619.263341478208274946906198011863
1981,1655075476.743356554271050610126035915763,0.162601980864601335644199801701827725421,527472359.95783262289524553365975694974,1575406457.960694055915492459718370248689,0.1696560401541357934617997403401803363786,523863353.73009413305752107705333782483,79791045.85831378610864812337187737341804,0.1129495154898774815021479124866020933008,17664225.54144918940254623318373746669538,318814359.981617727202482073553648814459,0.1135583763866240032945096081712196306162,70959920.53297623891087787030094204330349,40286140.88222418406552926298020008922472,0.1114266667822837324938718325917236560846,8798342.77621435501814059544476858185434,39504904.97608960204311886039167728419348,0.1303729762154509551854399722762242889724,10094729.19220910435434623785817297382094,1655197503.819007842024140583090247622093,0.1625889460218707613231232108231949058496,527468962.503769223124224952873637900057,233325147.266834729874948556082726872512,0.2698737564183101436721721765142123554343,123417934.561121953369911562675170326901,249802225.089614772075553821788174589457,0.3950065086130289390545712224148063894862,193400069.361772833957758800930171942594,10638932.69817634749055989346272964605896,0.3255050882099665466616876558816925956075,6787532.38370438720094153278454955126235,257212951.140366324757806723748377223114,0.3871995702289882914533386236592542126284,195201778.512204025427613070565819330239,3228206.64742479480830699150252701240181,0.5919839774667432957612581111217566486089,3745651.35800513687213403287146394402465,260441157.787791119566113715250904235516,0.3824358054032096683933241135129187058772,195219966.919887885347384953044713659636,8420180.89870931188714861088889834412901,0.4564752298568980205576514440103562235617,7533463.86190299077420148291194325858892,11700050.72583421605905578073932426279376,0.3830286839155897487851383553138572493416,8783651.86127336390222392249174235437117,57464115.74460064615880340553401600996697,0.4137214189611514441580065420624320079356,46597305.59019988509513541517817324960734,51733354.72067609662309247158831659084259,0.3350383829327678422006699325532087790273,33972012.63823307838211556150605120778214,1658077304.31206529083241948998251447397,0.1955242161181197693794721959310928564948,635420759.77016892049381784384084901637,1787395006.401885561560519758733069681712,0.1964708549569370402050994805300986579076,688295209.104935284763573789523651989425,1216867948.724226536941029849192363925747,0.2050773414450750292356118222118429481631,489122005.875609066330364826431575736756,776325789.257776844560490159984636143269,0.3058071013010407823997365374183231009537,465315640.985200267009041467927187001898,52848413.83136427787480274202007175585333,0.4178569402938408230296388325930719702337,43282829.94579488620442385740409279142366,392946.5762863014363362091158933932679435,0.9999999999999999999999999999999999999982,770175.2895211508152189698671510508051679,1216867948.724226536941029849192363925747,0.2050773414450750292356118222118429481631,489122005.875609066330364826431575736756,829567149.665427423871629111120601292391,0.29647126535023664095756895592308799052,482047932.206424877854215419130896797424,2281161311.456511411001582030066700789737,0.170336192037779878988612531802029375283,761586089.186123846283580581838264804098
1982,1923432512.285895373953887329425684927765,0.1254167985330490991387739071237135143938,472812265.855142187533367331531947294295,1778983434.911877336882836046286912225801,0.1295016232871509797508277673899986274662,451547235.539198034261419749198724343379,145270336.922022207806732174346058159115,0.1543568761633890787196629415142361663472,43950011.79671332462472229984320069065398,591121370.116026026305560020205859103304,0.1374225572141633308244461977675773400043,159217484.198357041327674706631881436434,65044609.66982739355470828121649309856387,0.1497215829948866014761178720704819512787,19087620.57310008874985736332091232286707,80225727.25219481425202389312956506055018,0.1657957639341698166239049524620589985616,26070128.04442589171574924608109235317146,1924253771.833899544689568220632970384917,0.1253559313819170892336767442066057386829,472784582.615474690370696248988656237844,79852731.08891322385551156555830948219166,0.2845367191348402424157551123094725821007,44533226.87127221411393195127919147736645,2857412.90365023397907724984121511770131,0.6419250201161339410815976683267741223302,3595119.87788532319797142649267555798473,30805928.6301328353468571045022943939054,0.4847402126267721534317188815084857176161,29268429.89289808650353085840470636075022,20774401.03101944154865850831154709997005,0.5944014197645710582551284416797011763594,24202733.59648918871386575575652982205708,12888940.50276362777727584603196241163655,0.4325906671584717287701042304488714422146,10928245.32727047690331893014292133038427,33663341.53378306932593435434350951160673,0.4576231462786301288067026738087459275024,30194043.56320611352202067119145419040527,11652200.75696183302968701560500171996372,0.2725091408033287917110716230315901783384,6223649.18482523031375282965115299164238,25216153.13764068772605978699345230058749,0.561421640544044501415752570934040956565,27747512.36297841658675536427358551041675,90080276.32516780437185977463957390685213,0.4833686671347285588095094258222835529696,85342286.88075183567570992900137859046509,169364716.355495672647050098347979975684,0.2434454013064076229625768003677916212016,80812880.22700670375774687721786987455591,1986035710.582931216319645965524855135169,0.1690696992298517685214244296780715584567,658125782.086082186781911758381310369783,2283573640.040363453523109649293292188412,0.1683336756115250783354431362877620522069,753428594.940864792052239143732870278909,1374010141.34953122588666859790936485856,0.2028301408907364928201195824618278191779,546233714.288243316496408745350002838837,822028004.829044458905134234880811348324,0.2649177162444381496017478276943103370943,426828772.18743356855619126362809940055,92869244.70177053738555980336596601484133,0.4616754481260072054795471819935268939678,84035882.32303491715146902223504889015854,17571464.90079629696113995899924270920152,0.5901790386036361966191765761016327479939,20325808.11353861258381459833967665495362,1374010141.34953122588666859790936485856,0.2028301408907364928201195824618278191779,546233714.288243316496408745350002838837,932468714.431611293251833997246020072368,0.2495613172553044433828715548289169023123,456107916.51890992469637425934170469699,2397089712.66305974670455556919511118221,0.1644952902518428800227010379929151985428,772847537.366664657973438696133697881567
1983,1507556725.758732930513434323835815019471,0.1365859427478548210298642807935072524108,403585671.00190650405551621124145876342,1485994316.548376877537191122152835250445,0.183256227928592747602077709776885118022,533742717.821006199557421766545120743953,150305795.451204838043942111383833314297,0.1398249968861481646566247109529072891315,41192354.46663208932398758084898469455427,511713214.215841305664384759793549737096,0.1236095822960130353581032285180936162812,123975207.062557951355006980338808169862,65569136.73100397678984827302744184302286,0.143941868345717553701705686944717350886,18498762.33187799386772811799170474184597,84736658.72020086125409383835639147127503,0.1470828039071289688917958724594354762893,24428078.50224568196697773387119438599231,1636300111.999581715581133233536668564775,0.1688200909658303992117806883163010060992,541431054.160128996955613598983915605681,240477606.495914851841936964408331630019,0.6687373175306516414967916780987825286457,315200045.008768623978552119197502984465,242146.2309014783261253961494791652134056,0.7504420741971467254039109867700184376425,356164.7707623841775808442286855620136059,59603624.1492404975549176101894865964693,0.4368803940122226969627228112932433353732,51037723.41363817600047308658713910284738,37605614.20998697166236184644533534268187,0.43013380887216471101596851307048144577,31703874.30723303890704011186305012686864,22240156.17015500421868115989363041900084,0.4676396675080620611659767205234468388737,20384743.30400777574751284545499153425855,59845770.38014197588104300633896576168272,0.4350958542529696905922379095002104024811,51035747.31047088956091574434188870536564,19370082.43048531977492385108876720860769,0.3648388271947211826337337264440222866594,13851237.98694254339332105610529922724299,45783579.95860266798737486206305330422078,0.3546146179986109230039971555071104581563,31821632.36655233824864088285948563461625,98044823.86490474683423428257893419099468,0.38827156880716284785869625803633803356,74613314.44787910992624104784737887676419,210230615.877394211561190266702876663954,0.3736310924024473511426782949832147981079,153955441.546751780063313953191512456444,1032302092.368013740401260521567097268305,0.2175760802121603429914392046072235097638,440224315.99039806950003520180505164532,1406155247.009958735164181996738901104009,0.2104298916621451124066524688995785280478,579958308.725386532629511559508931043922,422144524.781266919642319017512111502316,0.3187915365891125183634182268151670387339,263769159.366693508114128677457611948516,778365599.521326515179281825288052606413,0.2608671000339236230628950148571138730736,397977954.358057842047573573627109446145,250906488.422306353625288553868174189863,0.4045662960979606177605272103012659292382,198956285.028398306944068807207397346696,14525329.65055055783683263800766156179749,0.5750463536058943343585916491412416689907,16371366.18692644822564541999271402791462,422144524.781266919642319017512111502316,0.3187915365891125183634182268151670387339,263769159.366693508114128677457611948516,1043797417.594183426641403017163888358067,0.2384411174986580625855779649183694761916,487813076.479006272003592996028476600783,1706478623.886015562887161967486198495714,0.2069433927868229681695705710810616435873,692163173.244515281508652143980860599584
1984,1389083911.07450390132010268693401468208,0.181738173052907488092977249036875878745,494801161.543100782929512333648077346656,1223644321.689964064243099747674603029376,0.2260609071837154343628899008860185470471,542171565.045613378561307574127837522931,237627512.828256132582195018405849330678,0.1347652641804981519156270067901403839347,62766911.70399511650265676051904137728195,476087692.084226380260107503948733932861,0.1139222000217489164907970123414623577475,106304436.279603610149620115268456358247,148290657.262695115836124903803405582746,0.1489367340705139982787313100425356573211,43288415.3243164851730611712371578454413,89336855.56556101674607011460244374793185,0.1343526275124020734313544859608217065301,23525176.90670100337434257853822264460564,1461271834.51822019682529476608045236007,0.190989969306990006082802959898066009247,547012995.134655555200659448302700738796,551857397.494181215574235936951484169491,0.3315949264201213576048920128376003199627,358666501.708306061911034043485781100224,2679157.41117989557478452176213911843398,0.4712956759597753741469591252753148866523,2474843.59408515464660027902527711123231,73771915.98013816970583689636840281667072,0.480653221492854514916767816282703522368,69499069.7802450661116922856252987400921,45663104.74625047427011661644646113739859,0.639462144229938280545543572503163515678,57231660.67153785605391860134195682332004,30787968.64506759101050480168408079770615,0.3783156286604559302191993746932701555544,22829236.63774881648258291819561555831919,76451073.39131806528062141813054193510465,0.4646454831726845492655024884661026708944,69624386.03255952521283162122580387686173,12810438.0944445201587311491760970132211,0.3369939388301181956210272427805782188778,8461398.38350905495269724736127795294043,27205074.30444721701278365598774538718241,0.4188940001089473789717745245030800731433,22336243.10135602676456759022226926660491,33784772.21857904351411794131601862868457,0.4786781263738863916556098708563122881225,31697181.67249357319944641943913612620436,61323370.86932984955714214581594389635718,0.3194867991306219737991422087573966530552,38400334.64304675248013792803581340675936,458261489.091429109156897586097553597184,0.1847280168018424447353142199305532167599,165921322.670776955173423612238772323635,593566870.123266932946131187073903838878,0.1905710818909407477041270129397518181191,221708694.003460567736516426269699122185,258316436.763831508807575924715656401064,0.2608639801651483556264504907661599765372,132075489.519132206711568928642470755369,275601019.837813200741735744083713031806,0.3042280742049508493610875259039163116685,164337312.327789596446591754648614288328,97954796.00467875394362204566905046830944,0.4616797115719556422176020566589512972824,88638534.25439848645033627532211198541218,37195829.81045233160509315018751335521062,0.8428426652450214478006667281513905135009,61446455.37354605363169714858793102969457,258316436.763831508807575924715656401064,0.2608639801651483556264504907661599765372,132075489.519132206711568928642470755369,410751645.652944286290450939940276855327,0.2923755991909221997462862222282799598445,235383766.692216401528319967256525807461,1221875341.008766213800988542155929943459,0.1936044424885828934861544233615677817559,463658568.605636607460841936452548208843
1985,542937009.857263184410649507465852231052,0.1301479947542172249228722013527214228892,138497839.697116010340587898428402827861,444588146.19500952625706835321943729819,0.1557097793807759111045113071040314670751,135684375.432292838113304340136861451417,105898640.197471524189168067711222621987,0.1124621249817163247352546468938956745582,23342788.77419242774234996703619009745674,195940215.428149278271008401250139667082,0.1115655320059457645792229504997429459152,42845941.77617814894058782958915148223956,73819338.8680144551544223013797864103342,0.1159037684777077778093852301137116636299,16769641.5402181726272889926529135430245,32079301.32945706903474576633143621165363,0.1218206533564676628513896541085444352321,7659526.03645998523794786077581525025855,550486786.392481050446236420930659920179,0.1297737911822123773058819720991180543072,140019964.241095372238794323864216480262,213006037.210636897009979641104199169251,0.2590234247615975497723839327666201461458,108140164.376263090448788910568316922194,353441.3733320800856368567304222849272018,0.709158117097838955977003945661710065957,491265.8048806384378110696786269770172082,2439829.00678992607775680290646976438653,0.3105301853147646657558138650879301576928,1484975.48508503536725600098951723424392,501492.5550596082497177735658928889860465,0.4770121320687934553776242423045335023148,468867.3444949966270230802912390881036781,2291777.82506239791367588607099916032768,0.3272655855408365052590845697444441797137,1470039.22322315883193950539058452621483,2793270.38012200616339365963689204931373,0.2846572139345503849489998937682721137911,1558444.14577600825556223891412167646285,1539485.32244602679064181023781751792927,0.3142685330116757007579156508278994098935,948271.1160011139869947745369287573585296,2635962.74193449363260494081131091584847,0.2607018203345351707159671335810168179336,1346912.55890641671107810794842257582917,3660394.71327031763832688941920015328919,0.2436261939272374927592436305310590959583,1747865.3432402413938338499190340128881,33506398.5688537875947764044148630949468,0.3602833379292617615557022603157744825916,23660722.35201476836174292602276538791146,59188806.22434366429082072817240936782371,0.2888268965986844553587416571007684439756,33506825.66170983368779259097073860519648,100630718.60919772640000668597884109872,0.2246252065260926919549639066531732584367,44304224.0629019105302645691433991361363,83332469.61470058118884685149908730976838,0.2643302644966123387103685672873163247493,43173495.71944304244363826775215921251669,14034093.42062717630184386399712095324537,0.2270974131420846102815609864530923482317,6246728.37077281128913822105755453787775,5839588.28857761036106482217630939226632,0.3286594621931438302014440291178854605169,3761702.45485246528612238801586325750405,105556.8380663301023728839718770235700136,0.4516107853054421645015448647370472402368,93434.3888056496682493881536477088197913,83332469.61470058118884685149908730976838,0.2643302644966123387103685672873163247493,43173495.71944304244363826775215921251669,19979238.54727111676528157014530736908172,0.2083273010726676830692301975182950147806,8157952.85431839538554182515802599338998,316430026.199956629573379986719932317285,0.2003066132383664357957135163627373145201,124230732.67508010665190388424126683952
1986,1245940598.398232237931973780393467483201,0.2049413679349900777439012315288611183328,500475750.378888691484352126183083490159,1143066051.314263198494990445067817649657,0.2230807632960594913452984726314268753105,499792252.560997140025354549755675029714,110574369.916260177221672489627569001906,0.1247585839784883155011230842181906278352,27038399.55752970755986986707453871783173,211178664.052051516075938626502072845509,0.1104518239538460506695357337721722518214,45717134.50438375940314967616258864966716,78151313.0265237654265144525053261939419,0.1306991299896217575245082115305688173359,20020044.89542196958683630066396507897328,32423056.889736411795158037122242807964,0.1297098395622437565008600460011584848487,8242955.43427901557745571784498626408555,1253640421.230523375716662934695386651552,0.2038392349640132315816286235907777870897,500860564.591842625032460732673709249894,842125457.835706456405164327673579798599,0.2974500325237210960026367815642035029948,490960879.851677431741531968457181755007,122027.6241309256828102269177430555237981,0.6112172308971001007459431514185429880144,146187.3575679428322861433709214100396677,16321592.42480184161371291441913922791496,0.5677187475630773070368012142043507049614,18161505.05890128264454488922263746771074,565315.7758142372533090224685688570669843,0.4716585556223142452370595150991755273763,522606.6036904602572719109201991094133916,15878304.27311853004321411886831342637179,0.5830766478607286916288177595939607893156,18146206.12139396811516519892366183071268,16443620.04893276729652314133688228343878,0.5634802263319902041666572144549413972998,18160683.30390417960257541616922019190489,2245758.85061754656770531043056323053865,0.3916239723681894433812151266509365451003,1723806.28403733136419738373482099206142,5251352.14338011432940562311777980391619,0.445611915834787027831328664019398111114,4586527.57509606681554215318728074830708,11636754.43090677161123811769818240965134,0.4724928758632354644927041928185574321308,10776635.7908758414441506974976677136026,24229241.13388929861616610101366583562229,0.2716934329174346869966169808225380212791,12902534.37327537455767123671733937811085,206294458.399298157847471261701024821044,0.2063115905858567591261733740402764728286,83419438.16915783888004618442920731763609,250971507.099598911139874794995577885281,0.2025912690630409091038218015805256975082,99655486.79906458054049849008577804343452,158471137.636585181551918687228220429046,0.2452148755542652368833926221855713730844,76164581.37721622379036015126251268735963,64980359.68365615193654168211526355543676,0.2820357098705360309530950913012585326587,35920492.46720453694779564909922222067601,32917278.20436782757948604256844564071874,0.7565391139113554408889827051296793771944,48810288.63080777880331537017597642524272,10036305.54963972237933642916943954786946,0.8456246637624673006180088642460188127414,16634417.11142969062574048325985107100126,158471137.636585181551918687228220429046,0.2452148755542652368833926221855713730844,76164581.37721622379036015126251268735963,107933943.437663701895364153853148744025,0.3642683179053250995995161044094487515365,77061155.40101546802079946039421543130553,1109540584.984238134841562264006039967328,0.2433317402465159272677861808280726277826,529173425.179969849585007365891852048213
1987,3971080860.956318981020444284046826274514,0.1807320699512361838689263523098751894354,1406695261.330970398066639421210165722001,3758580280.976556778556654109751304996053,0.1905246194164676743575230642225207901359,1403560072.055425288674623123563286012816,215722534.807808185532828033593594614058,0.115526419620663227615549998902701424354,48846438.07256635616796588635755014469124,493270055.872044026147598835423762490089,0.1067013899687319738489979465981899678494,103159897.159342310300278375630086785021,130818332.258213841310889466899560291075,0.1108275928539030588867338514063717156812,28416630.4960662752015195469594102838907,84904202.54959434422193856669403432298183,0.1323905086639176410450721284220090441582,22031400.70396037306213761497681740036931,3974302815.784364964089482143344899610126,0.1805821470630422182498448887852509735822,1406668745.68394856031099491095407380019,2955461594.040764432821568804210473029023,0.2099165428381519269074738184262609106181,1215984549.411462977172759917416619914026,4200379.56570273706259915374198810495396,0.6642387563261293810332440420558618255711,5468507.6016873440994416210999340990276,24951140.24443682739591063967967085912412,0.4250070142370070468132585797280780662161,20784642.84950996748676852026503692208898,27238025.6883994075438174229491131675456,0.3853527890329075535073422232161896959508,20572648.36687839912423677631032785908734,1913494.12174015691469237047254579653249,0.7640042039234255154548268827647652830584,2865358.40425679599068865154334621254513,29151519.81013956445850979342165896407799,0.3766321620101258777666256611731646241168,21519623.86666880168370925535049760682436,6363131.48284781143823236822407671033662,0.5710543006368949076044491461786848411261,7122039.45364459941026078938789879645258,7923565.57601103825464769337746972584923,0.4785364286166303104645146246804749865089,7431760.95440183105470129396832753551753,13786662.62993421887046217966568844644229,0.3229193305699159877874027884415960823238,8725880.53981320529139712761591269685885,95993071.87555655617292493435153318338267,0.2880061931848761015525188701391284096927,54187334.43788242727175845800527040423597,1887004705.687755675088392787438349746966,0.2009672672149454444284505364740650830068,743283310.690668929838217401507175408624,2011071137.252105299824659963057117812973,0.19165801602715032765811722419539118602,755458292.340198730459006879612088029931,1393558106.270713335752107915138737242016,0.1840235688992232106207138935353574430499,502637170.921384087456813121087857803006,569342638.183461848306342332093377234159,0.47345651800052522732811343338206808798,528335606.726206463347294413909808845498,74405996.33908586697785208989496584604219,0.3596916555270876308277850299146919752398,52455903.368522505339841241615255515036,2213024.23558441145524810266240634884112,0.8921911923963787242132509496758794025835,3869903.83383435556821921806197698430439,1393558106.270713335752107915138737242016,0.1840235688992232106207138935353574430499,502637170.921384087456813121087857803006,645961658.758132126739442524650749429042,0.4269676945128779934892124898577201961174,540577329.960001230739535817135796589541,4995684251.103009297104738560689249806063,0.1549896463492838714430808013243737074734,1517587497.288239214201899919550455924867
1988,3953294156.635058179960779175855296398254,0.1293170539908161763254396456462676966383,1002007573.634501684146530337305521199094,3677862138.047240452809920481383887352759,0.1375759538056962838196902948619854479561,991731367.551104781828906349440364441869,276915042.506260927537582887827142949097,0.1745794443271178461077698434014970949689,94753601.52326397295553322845221359517224,683764423.246934057954106354890566306613,0.1360103378866167323276028460060004037587,182278099.27169970355795321238130093224,178454136.268309505360975185371207370206,0.200569646283525424438096841032402118912,70153266.65876709114430894481605281961963,98460906.23795142217660770245593557888991,0.1490139038452361730283366576411454216975,28757206.26872753913983381856979777472305,3954777180.55350138034750336921103030185,0.129265894169690925495979382692106802466,1001986904.632829638492341012825362520652,1045774453.317906298321461872655539537565,0.2250403305734753599521451200582531302443,461269200.212715934284025274787775370787,395850.2788649354801672420717963774253634,0.6118739648292852391543136558147605897381,474732.5400314179206226877805294822666543,19444820.28861939115083710148795203510858,0.427621535661267748276974440670809516308,16297446.86845452722108061578763520175368,9558385.12868637614523938457207351420251,0.6155551893127672420859788249636107945508,11532078.592129247436793473284989567896,10282285.43879795048576495898767489833138,0.5755797294456260849485468703535917632327,11599819.13905420906030331111546400644071,19840670.56748432663100434355974841253396,0.4202439659692363018898912518427307178964,16342327.29006667486656045307324719094182,15749460.7933329118304011512205182390286,0.5893905155397177167787027311994266240547,18193862.32025191072048440251935350843937,10967536.54104696852811954303891691271015,0.464978783632091968717957958532094379362,9995356.72858121984307126141999172123801,25551705.87238154148947680459603908853526,0.325322325506071627321094801801744145632,16292579.13509860708276904988362531141682,62915135.14640592424462712735048560664467,0.2586246402528563727039671539031256883236,31891952.21965018173335072274238517668571,2657469889.754284264436563080852520368009,0.1819639620605547992145209733631707165477,947784950.38477804057472362916775073351,2775774867.844138353264693096232908772776,0.1786294199495124602600522957150406789378,971836706.924728759368236495820046958398,1953901516.903621900253078104758377957164,0.1876087616222435630755551001885641884073,718475326.079498937675742938178728458215,775523951.196328707528035779862225201082,0.3717632070208039664851887899918317083985,565090091.58765753760283697703122245792,63805826.89219800797215506756185125861546,0.548295301890069452887208395003138654238,68569492.83167830878066963250778098816319,85693.5664129650719801455770527232461538,0.5901959115779944444759326222396311287214,99128.9453891198832377505242994977069483,1953901516.903621900253078104758377957164,0.1876087616222435630755551001885641884073,718475326.079498937675742938178728458215,839415471.654939680572170993001129182947,0.3564912973010194100622478220728549190853,586518848.511040405186919485491626148436,3841389991.72952897821715931244819672286,0.1453941099179924207111419495566359156039,1094690338.242982299074579967422322883688
1989,3402481519.899570307547906064729113598225,0.1058275968260876744989524571425453604507,705749827.292445637425334722029147209509,3110966324.905216696323321377028550092555,0.1134030687791440982164262137008624329421,691474531.101141771360953905208778250498,292347493.263300348275260218544502165194,0.1057840546310041830838583412047284885375,60614378.26926009918984743762765949692831,882466949.077775879626462562251633814824,0.1140757539406863426999723495556904315227,197309441.785817709993795537737331945657,161957045.0943518733215259797902641999,0.1027218153451703700950253958129008897291,32607582.49286162998706470588402138349952,130390448.168948474953734238754237965294,0.119792457071333318219526226618313212768,30614792.64298971761614073517102971953358,3403313818.168517044598581595573052257716,0.1057959847336974718930418582105183672745,705711596.031838642685831644058080189717,564736098.155745614696358893768954188662,0.2368086784059757357700782360964551225104,262119441.742722639767078376757276588356,2565881.40806739347256246000380471023251,0.9570667878046502505894072029050066145972,4813210.95912919720573914060539946745644,324679915.857444075398656191646123165823,0.5649472963048348135605084129781350784461,359516999.631162815230475464048770578424,304365135.480122984450761498487781661414,0.5963924681662035035270989887859854688746,355781305.770553668476487238901346725486,22880661.78538848442045715316214621464305,0.6185874611821385259896168169249801602001,27741233.34862165339559066886182652364052,327245797.265511468871218651649927876056,0.5617309067930861679584754719173717232269,360295193.746677102780632541543166725458,38665373.79087927904431899838291806101137,0.7573608812964692407207295187146870431329,57395937.47703875972116628139938833110694,149261168.369077315109102387719318580049,0.6326924907794981389662689911048740078107,185095383.968495554186537855102465933148,222344050.942986777521980574738264974437,0.6887615242817108216591960797332785769557,300158373.787225393148939630746171365703,386521205.698569071799901513911552858553,0.6619930272194799909147104884440024229143,501513712.368041357843945569485386163497,3501873508.6104832159924283563713776772,0.3132689337979505183632797348679531033729,2150175233.461880575408388427341588944534,4298665307.411995659467731831123432151259,0.3721085536917843811810415054118861021744,3135157455.478409702587305322907469679315,722563182.998972706357028945096088814632,0.1834644199889896920455365318104876960817,259826685.137637300212243329183906538333,1834907495.916105163300407723631461219806,0.2402166920161494872825657891010204419378,863919801.29622208995936602617419813071,1912144213.249974218433322894282785233473,0.738367114720395717042234814308873733669,2767254235.106701670629530985560595405245,155404475.14920619427873722459885682474,0.8125801596274461808770935866234700112581,247506042.718180466488984426428399205355,722563182.998972706357028945096088814632,0.1834644199889896920455365318104876960817,259826685.137637300212243329183906538333,3902456184.315285576012467842513103278027,0.4445158666831946247270693688332588705193,3400019238.20963967150258296034785957025,5190647202.833252743035309376542314215979,0.3366641614625522328043644618552555553173,3425109580.460006649570154659506121430794
