Year,Age3to7Pcodabun,FHS_TBM,EBS_mean_NBT,EBS_Std_Error,EBS_NBT_RA3_final_year,EBS_NBT_RA3_midyear,EBS_NBT_RA2,E166_mean_NBT,E166_Std_Error,E166_NBT_RA3_final_year,E166_NBT_RA3_midyear,E166_NBT_RA2,W166_mean_NBT,W166_Std_Error,W166_NBT_RA3_final_year,W166_NBT_RA3_midyear,W166_NBT_RA2,AO_jfm,SE.wind.May.Sep,NW.wind.May.Sep,PDO_jja,PDO_djf
1975,NA,NA,1.678358209,0.105367998,NA,NA,NA,1.336486486,0.134876557,NA,NA,NA,2.1,0.150592052,NA,NA,NA,0.645,0.229892473,0.123870968,-1.336666667,-0.79
1976,NA,NA,1.547445255,0.141793094,NA,2.140082636,1.612901732,1.25974026,0.189733595,NA,1.953186693,1.298113373,1.916666667,0.205423177,NA,2.387301587,2.008333334,0.760433333,0.189462366,0.247096774,-0.003333333,-1.193333333
1977,106059,NA,3.194444444,0.107738324,2.140082636,2.664202467,2.37094485,3.263333333,0.174163573,1.953186693,2.742274531,2.261536797,3.145238095,0.137811094,2.387301587,2.677224068,2.530952381,-1.812,0.23655914,0.149247312,-0.04,1.316666667
1978,109731,NA,3.250717703,0.084532858,2.664202467,3.862914409,3.222581074,3.70375,0.149412814,2.742274531,4.584897984,3.483541667,2.969767442,0.09304551,2.677224068,3.414473613,3.057502769,-0.951666667,0.18344086,0.221290323,-0.733333333,0.433333333
1979,177603,NA,5.143581081,0.158528643,3.862914409,3.706085706,4.197149392,6.787610619,0.238065757,4.584897984,4.564956464,5.24568031,4.128415301,0.171812028,3.414473613,3.169317619,3.549091372,-1.247,0.084946237,0.215698925,0.19,-0.726666667
1980,458484,NA,2.723958333,0.11119711,3.706085706,3.823065014,3.933769707,3.203508772,0.192499997,4.564956464,4.912528012,4.995559696,2.409770115,0.129044545,3.169317619,3.193845057,3.269092708,-1.478,0.175698925,0.177419355,-0.283333333,0.233333333
1981,554816,NA,3.601655629,0.087768683,3.823065014,2.856510292,3.162806981,4.746464646,0.150038222,4.912528012,3.202697692,3.974986709,3.043349754,0.083924511,3.193845057,2.669524805,2.726559935,-0.696,0.210322581,0.129462366,0.863333333,0.906666667
1982,601808,192037,2.243916914,0.078476716,2.856510292,2.945105378,2.922786272,1.658119658,0.137871697,3.202697692,3.482480482,3.202292152,2.555454545,0.088559274,2.669524805,2.682791088,2.79940215,0.387,0.118064516,0.23483871,-0.316666667,0.17
1983,494644,252612,2.98974359,0.09356256,2.945105378,2.487231729,2.616830252,4.042857143,0.143324971,3.482480482,3.011830025,2.850488401,2.449568966,0.104683926,2.682791088,2.232146607,2.502511756,-0.339,0.149892473,0.104086022,1.85,0.51
1984,376586,270794,2.228034682,0.111054337,2.487231729,2.51248523,2.608889136,3.334513274,0.178731527,3.011830025,3.551042664,3.688685209,1.691416309,0.126313056,2.232146607,2.004025107,2.070492638,-0.596,0.175053763,0.106236559,-0.156666667,1.456666667
1985,533663,252046,2.319677419,0.092178173,2.51248523,2.112900158,2.273856051,3.275757576,0.123108998,3.551042664,2.999820013,3.305135425,1.871090047,0.109770246,2.004025107,1.68950498,1.781253178,-1.233,0.137849462,0.150752688,0.25,0.61
1986,407504,344002,1.790988372,0.085465847,2.112900158,2.416149961,2.055332896,2.389189189,0.112439638,2.999820013,3.100959266,2.832473383,1.506008584,0.109559674,1.68950498,2.089682595,1.688549316,-0.512666667,0.110537634,0.215913978,0.493333333,0.946666667
1987,560330,379394,3.137784091,0.062752177,2.416149961,2.355152415,2.464386232,3.637931034,0.060738276,3.100959266,2.995821684,3.013560112,2.891949153,0.084290243,2.089682595,2.051832473,2.198978869,-1.456666667,0.249247312,0.156989247,1.056666667,1.546666667
1988,486698,538770,2.136684783,0.087790287,2.355152415,2.719744472,2.637234437,2.960344828,0.123358058,2.995821684,3.106932795,3.299137931,1.757539683,0.106911571,2.051832473,2.535429612,2.324744418,-0.334,0.170107527,0.228172043,-0.273333333,0.546666667
1989,378917,502310,2.884764543,0.062633434,2.719744472,2.372839243,2.510724663,2.722522523,0.112602194,3.106932795,3.003993758,2.841433676,2.9568,0.075068209,2.535429612,2.128171707,2.357169842,2.64,0.124516129,0.149247312,0.076666667,-0.943333333
1990,240132,574174,2.097068404,0.105076859,2.372839243,2.489765211,2.490916474,3.329113924,0.126061245,3.003993758,3.282335606,3.025818224,1.670175439,0.122592528,2.128171707,2.164057892,2.31348772,2.463333333,0.164301075,0.278924731,-0.33,-0.6
1991,233124,518380,2.487462687,0.10999262,2.489765211,2.071847916,2.292265546,3.79537037,0.14271501,3.282335606,3.309272542,3.562242147,1.865198238,0.12839101,2.164057892,1.56651099,1.767686839,-0.226666667,0.215698925,0.077849462,-1.466666667,-1.703333333
1992,341408,603140,1.631012658,0.112713801,2.071847916,2.319972262,2.059237673,2.803333333,0.190219336,3.309272542,3.446869488,3.299351852,1.164159292,0.12557202,1.56651099,1.818703972,1.514678765,0.884666667,0.163010753,0.144086022,1.19,0.013333333
1993,416518,585400,2.841441441,0.083647411,2.319972262,2.028978953,2.23622705,3.741904762,0.136282276,3.446869488,3.088583639,3.272619048,2.426754386,0.092869973,1.818703972,1.485795889,1.795456839,1.483,0.144946237,0.129677419,1.83,0.023333333
1994,393053,664396,1.614482759,0.10980774,2.028978953,1.993546703,2.2279621,2.720512821,0.114306288,3.088583639,2.961897815,3.231208792,0.866473988,0.141205603,1.485795889,1.45875974,1.646614187,0.243333333,0.190107527,0.124086022,-0.563333333,0.616666667
1995,559185,578945,1.524715909,0.098830696,1.993546703,2.140138046,1.569599334,2.423275862,0.154693476,2.961897815,3.116058216,2.571894342,1.083050847,0.116124475,1.45875974,1.602126558,0.974762418,0.556333333,0.202580645,0.117849462,0.64,-1.02
1996,462437,604427,3.28121547,0.083703414,2.140138046,2.478342475,2.40296569,4.204385965,0.126354732,3.116058216,3.347315847,3.313830914,2.856854839,0.096303322,1.602126558,2.057131683,1.969952843,-0.839,0.190752688,0.189247312,0.336666667,0.82
1997,366406,769783,2.629096045,0.095669352,2.478342475,3.0080086,2.955155758,3.414285714,0.162287126,3.347315847,3.899439232,3.80933584,2.231489362,0.109835217,2.057131683,2.580502919,2.544172101,0.841,0.151182796,0.201075269,2.103333333,0.233333333
1998,286796,675766,3.113714286,0.069106583,3.0080086,2.200830676,2.871405166,4.079646018,0.087881004,3.899439232,2.851786768,3.746965866,2.653164557,0.076801137,2.580502919,1.875053416,2.44232696,-0.839,0.208817204,0.143655914,-0.936666667,1.186666667
1999,433837,387995,0.859681698,0.076930318,2.200830676,2.047618481,1.986697992,1.061428571,0.117391071,2.851786768,2.60364251,2.570537295,0.740506329,0.100211742,1.875053416,1.757434455,1.696835443,-0.299333333,0.177204301,0.183010753,-2.016666667,-0.976666667
2000,384356,384592,2.169459459,0.07506558,2.047618481,1.826843349,1.514570579,2.669852941,0.12444351,2.60364251,2.345455419,1.865640756,1.878632479,0.088926234,1.757434455,1.551420925,1.309569404,0.633,0.14344086,0.144086022,-1.276666667,-1.8
