"SURVEY_YEAR","NUM_MALE_LE112","CV_NUM_MALE_LE112","CI_NUM_MALE_LE112","NUM_MALE_GE113","CV_NUM_MALE_GE113","CI_NUM_MALE_GE113","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_113TO124","CV_NUM_MALE_113TO124","CI_NUM_MALE_113TO124","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_BARREN","CV_NUM_FEMALE_BARREN","CI_NUM_FEMALE_BARREN","NUM_FEMALE_OLDNOEGG","CV_NUM_FEMALE_OLDNOEGG","CI_NUM_FEMALE_OLDNOEGG","NUM_FEMALE_NOEGG","CV_NUM_FEMALE_NOEGG","CI_NUM_FEMALE_NOEGG","NUM_FEMALE_HATCHED","CV_NUM_FEMALE_HATCHED","CI_NUM_FEMALE_HATCHED","NUM_FEMALE_NE_TOT","CV_NUM_FEMALE_NE_TOT","CI_NUM_FEMALE_NE_TOT","NUM_FEMALE_TRACE","CV_NUM_FEMALE_TRACE","CI_NUM_FEMALE_TRACE","NUM_FEMALE_QUARTER","CV_NUM_FEMALE_QUARTER","CI_NUM_FEMALE_QUARTER","NUM_FEMALE_HALF","CV_NUM_FEMALE_HALF","CI_NUM_FEMALE_HALF","NUM_FEMALE_THREE_QRT","CV_NUM_FEMALE_THREE_QRT","CI_NUM_FEMALE_THREE_QRT","NUM_FEMALE_FULL","CV_NUM_FEMALE_FULL","CI_NUM_FEMALE_FULL","NUM_FEMALE_SC2","CV_NUM_FEMALE_SC2","CI_NUM_FEMALE_SC2","NUM_FEMALE_SC3","CV_NUM_FEMALE_SC3","CI_NUM_FEMALE_SC3","NUM_FEMALE_SC4","CV_NUM_FEMALE_SC4","CI_NUM_FEMALE_SC4","NUM_FEMALE_SC5","CV_NUM_FEMALE_SC5","CI_NUM_FEMALE_SC5","NUM_FEMALE_OVIGEROUS","CV_NUM_FEMALE_OVIGEROUS","CI_NUM_FEMALE_OVIGEROUS","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,199000874.18843322568504641308849873608,0.2026615933044081702517353075230073089814,79046475.09471598529604725354862718065705,199841733.459810266226694820530532686078,0.4473061865675768739719738144420285668258,175205269.67348524723810329175904792655,180973535.192660119847258502023736498014,0.4801288000986778830870933404832000174485,170305588.351268804695530602886961688359,163683005.879600190874660038005876883313,0.4980626578246378815682253999544444058579,159787810.180274220748745904364862024094,36158727.5802100753520347825246558027656,0.2511640311946330644466350704773348467143,17800272.69255167972300997125932454214892,398842607.648243491911741233619031422159,0.2514058106584474171758715388246634625905,196531844.237834040652871369147725558045,94015700.06844102735856683844400534389632,0.2639119111269865809345669659748378344971,48631251.63876751586865288359108368248143,3329084.23108959415564959550916455860641,0.3224081941325490453391757915436282545787,2103715.10871905361557711872665265372924,1059691.67136765000315672414205983377206,0.3842145635641343239667279289635233454227,798011.9871330566177623424547645174042157,3629629.71253807334815527049915039583866,0.31207165339056371399613163298765725008,2220100.90935105515086113698474007306799,759146.1899191708106510491520739965398278,0.4733810175394082773382762479661323420355,704356.1758563998508020508454727319150979,4388775.90245724415880631965122439237848,0.2692583139318591909368523273307181645483,2316160.22345200610585266017795651923352,372339.5882404930470160032597626771116712,0.442350806218061365442536932423212424428,322821.2454083628764017192835928870456437,26485.7961406093726000998542008210453372,1,51912.1604355943702961957142336092488609,2868984.47830704927914398131865385345282,0.3913468031653243311910221602434071852034,2200625.09167614307454677689778661830235,2875382.3914830532134525300168316371515,0.404810326225425892495919738706323230902,2281409.58848143607189316381408170644348,66270785.81606484557431575957855018065346,0.1956533459228819678238129359190312778775,25413557.92442943979350001272106801980182,58405238.26690431469556751894872064933789,0.1763195424841243899964239842382995623625,20184050.3841978120320740823233775321094,14663339.14361959369024469786642883908993,0.467706663349609788800617751221222036532,13441957.19187504782249004598737207169312,2815100.76829401739495818317793675113541,0.4580464778520574556933687563576878217183,2527316.1037627633095371084204046939742,2207019.6548389960260878494119034679605,0.6045588118184615776605138368232485922202,2615175.43317133106028165791712494126688,81136113.50502959710047937225880975707564,0.1874979469409099639674726769971549639992,29817195.22171706800965019436415956417986,179540589.475927868617852530354039493351,0.1803396582150584408242362688545989703388,63461445.54196514258127678560417071578287
1976,133634836.777250490182721027973510271587,0.2044076826382885055348992082900348666605,53539335.11855205843970772058169227513649,97672299.13167403871232250267895065118562,0.1973405339806256708079314117249522481101,37778419.18488951344072216871644853012543,84987174.49348638780775769635200279896889,0.2087478914779007696657373640033660829847,34772151.21723223707669276058456283038691,73966952.31121557555520263584434283025912,0.2233843699492602973789234340507918265338,32385199.63665143326643470503828692279442,23705346.82045846315711986683460782092633,0.175370534342094234741030092533383429674,8148149.90379019196545781612732311520914,231307135.908924528895043530652460922773,0.1581400937712619907035946673300273795901,71694707.03869475860363456168815762035778,70822492.47788247056467503780205245419249,0.3988391081216577215422744953769962639189,55363688.28026965642100439590148453372609,4339414.23007485946934059508462112429598,0.267948173334358688765299029821745260674,2278966.70792777495603698837888690479855,1935901.42166849829363538407264047012585,0.5094110584669725646081152825986030003264,1932892.40090773871776458019749890826043,6275315.65174335776297597915726159442179,0.2523096367384783336466363613790403223906,3103312.3205208818560726551144878459523,0,0,0,6275315.65174335776297597915726159442179,0.2523096367384783336466363613790403223906,3103312.3205208818560726551144878459523,1560845.19950331320512128066157965642559,0.3571925473869668782663395442654753814776,1092743.65485912166705021337854988688059,1927989.73443957605182721680030068393705,0.2793948533541064973123205050077915568362,1055794.00187905743699422596618527402335,4730233.23042548416252564936078917168368,0.24236714426614753123801589919572156312,2247048.11475127445958282810010577543832,15284748.01686542202389275085417962709346,0.2568184907264702611753593246605377053914,7693795.59697854271835329129843697469694,61172099.63061725435970224762719272644423,0.2211173136019548531509061584378046292677,26511372.26191791524844998509588651866894,72295431.95583767802579544649438731708357,0.2174566590693177167479058022558210777486,30813401.27421571651720731681763487388244,15319047.51537521235824060958982340158417,0.3598729099469162806633096468044700401101,10805304.00566738457305616199731328443001,33598.5807627555294483981182513219755651,1,65853.2182950008377188603117725910721076,0,0,0,88005006.48906488027597966102857706382127,0.20042141645079224866793162343335006349,34570652.58838711131644662076092112052496,165102814.618690708603630677987891112436,0.2144932284465655972366914092824614501496,69410334.03702848062580277718572778092743
1977,75905729.39403558490708886223844477510008,0.1796596846302914634454930301590437206317,26728910.83294676874834095925685878712014,87123665.37242769416868550219050597816421,0.1362690769639243906132369027948849806192,23269632.46554850587404114045768182838477,74255808.95541478127001062956929607737225,0.1451816146318988695871511725813050223447,21129933.3502920700979486132148446265428,63758749.91211591133827407515732833881862,0.1484913709768690029806747318182728085169,18556543.4049939787534689395343723531611,23364915.46031178283041142703317763934559,0.1384355536524736769266145976942181124051,6339688.61527134687962556605918126602028,163029394.766463279075774364428950753264,0.1297993838364483760963395339938469144876,41475785.37631542904015643112289191379435,14546590.81917302760635312314973888734615,0.2062077729722656932514326333486587763811,5879255.39043453318039956877377851612126,2291857.19304607633839641027997255634143,0.5029446858922153853818467717473763323483,2259247.69629009167433961719105334271656,2446312.11893814433846488425397961496488,0.3682232495910040559356282813646847222769,1765546.43598054631252614271811645850915,4738169.31198422067686129453395217130624,0.4186504029237775924908824457915312016963,3887927.52350321320597276833580888541687,0,0,0,4738169.31198422067686129453395217130624,0.4186504029237775924908824457915312016963,3887927.52350321320597276833580888541687,272338.4699181325729395356172804272755366,0.5227542577624622310218304927559709330497,279037.5456163473610682583077189319667614,212336.7585137440051532232849423047627477,0.7029931699352548534122204016542925688851,292571.730284253079902620340709956109383,1444377.09751619822030303502491372473736,0.3168265236737775971222872662184186285712,896929.2703729527789038394017562453617176,1146056.45162598891717299263971790503633,0.4109533264283862039207014429025689219617,923112.3936980095316308418297595871779814,134622001.667385163400412913471229052974,0.4068289740786846641884316212910603037628,107345536.420452113273866639474852155472,92643912.9537804136833351045660185384404,0.5034492417532583789082580583695730948801,91417355.15008581723217401417687778741687,43017955.46849729073714849645032570943719,0.3080864107790654532313355569677708066716,25976365.09871228268928578784187064349091,928323.8859588065687327064248123903751675,0.6552803001281513259856431595213020397389,1192292.21503014824614457288091743012725,0,0,0,137697110.444959227115981700038083414786,0.399148723486816009198580678819513502513,107724786.689380046347788545705583033398,156981870.576116475399196117721774473439,0.3548997459479180088526469783437803421911,109197138.932349657488221480055737092658
1978,46354629.57267433195413511407715737018587,0.1738129172324183154937667522831301163775,15791785.45077912193524237322504049434564,78769369.7203682599157840674780984210221,0.1460570232669805370509900670543425654154,22549446.54530750951067906724442236703669,67191269.31006471956825096709560459327134,0.1475592093664600824202520712821822396343,19432793.52841520594126778555702726241505,56180483.80425719443543075054616887281744,0.1544931579804456086662823070082010321345,17011820.70518638638797043171657657731083,22588885.91611106548035331693192954820469,0.1975636721116039197632665623048142535104,8746976.77097410876421040172974867999993,125123999.293042591869919181555255791208,0.1434552780527221894411554745913653643941,35181408.29491799776672907881481663456302,9775561.27321849925936383138846024186668,0.2416810770469651395760373791480204214428,4630633.62741009556363682856702822921482,855381.4345504174290732671726828329647149,0.2904928687079987313553923357769416342067,487025.1252537434793084488862870082014206,3347663.29044950453533409135199114069744,0.3878585936241340958216798974033861214244,2544903.15249133649634298425454250133417,2984364.34812507846547207090384051566248,0.3220113766222457691443009006256965124234,1883558.57328093094692187733845673366673,0,0,0,4203044.72499992196440735852467397366216,0.3362604787524091492617169285738811784094,2770102.94963467276649849303600741239303,738787.612890028486780643287478307215021,0.4405372331427410085666826527655389937783,637908.3636908990008025118607414706312568,1844969.55125695960657021863874174095498,0.610021463727118987883947824104770201091,2205923.21133188330660032086277750971664,4131991.73715936252416334328160437215323,0.7117687290680006163904535963977458831214,5764404.11426370305786930192714426388653,19631367.33222292957211285408157072691408,0.5957559334545942711942715976178239949126,22923186.9971970590124859455265413856867,52193454.28335785106408106517153163660573,0.2749341721351549413158281621650099817078,28125537.72276733292897047248005937537012,8839142.48684171561386095574842090385332,0.1912396934803587208482552066668106829905,3313174.00363313780744714231909928978002,37921499.18116572154496638629878811938932,0.3179300907618288767556052241865099434627,23630515.92592556907229308680920285589524,24004468.17500802240712554441280520130161,0.4441261558908053416354648757494674894991,20895583.86254819757612250908917029412989,7670771.47993666798145638090121641415228,0.9927232825944680844812852833786545492317,14925308.74944571983697994420087154187106,78792840.22095860033330726701097145755171,0.3336364862995353669398812028920910266011,51524806.05948741321802652678363018849282,92771446.21917702155707845692410567308063,0.2967119898817821335684443855863484996881,53951744.80732938566971855727232551386774
1979,12704942.11122012355294146912887967690981,0.3317053695487056714727612932435887589052,8260023.1354704804744067352598562162097,20085482.51322680121148428494721490374636,0.1779713985849084251481559002565824297224,7006297.1716981226857433985284242956522,17832613.59775331201852174606821987274085,0.1842271468039606052894111010874018659181,6439092.9854163428740369244046890332414,15155935.52526224256778536386885959509178,0.1860687743559079373837147893305815177308,5527290.84090931013979037109565307975491,4929546.98796455864369892107835530865463,0.2025887625506592727253867424903910154241,1957394.81548505640573263442906265671924,32790424.62444692476442575407609458065631,0.1861861646344581263880280266396143642885,11966041.85921968723179179696301285015455,7708126.25182449476737555548822600147281,0.4888894231292349613813745080201254961221,7386105.93745710711142946224162886128557,119646.3691311832499445547154617859191468,0.7302351849927974192353829553293898708888,171245.1774526032092243931378750466087668,619990.5095707479128344284001872313284844,0.4599774620791187840307095166582286650411,558956.05576676477004578248901071714166,438957.5591607334938391092944490291773154,0.4622484447747052054781843042953953014359,397698.6001265334306035950784032512898546,224546.0593799318610610442807846725148931,0.59804375655699437842302276315845879338,263205.2029884229730099754932205259910767,739636.8787019311627789831156490172476312,0.4506214596465978890963092002830841047088,653260.6497826710666647475668490227765947,191346.6524737390972684593001011004618117,0.7789703813607589039204135422889496311966,292144.6147051633655897854389188275341292,415824.1850668471367202517091122218375912,0.7075725664531892352642964822123562232863,576682.5402092677108077403432105343442008,292834.8237598189005704813967303374893376,0.7046753879096562824404002406269906435259,404452.8463317561832813356899845666827263,2205669.30183587527074369386995176357098,0.580386854774912870384497563730930436125,2509077.27878155914095476156403336033501,9131495.60867630312471222841248598482984,0.3874118424744708817982038656116196730368,6933793.09507746003580517634013341422546,2107405.10949440723490170576540229289532,0.6497655162176214530476631713731138825994,2683865.57094656169324903402272620113671,8043583.4320040085897018959540393845512,0.4498256610071544956434027257062281273406,7091692.05896810302222254624244118219765,1442965.13126009586817419711469530563642,0.5174606367228276136090830591515853189485,1463488.20495774795416383940169216349363,454633.9830413333281945915357486962125544,0.4680440278381052053572435219054565687567,417065.8924049030735496250995911169271221,12304854.72991636033102076878489940318246,0.3798775826786362745925565303554742996803,9161703.40122432516427977568473232405653,20752617.86044278626117530738877442190259,0.3230386046649989763075462079457640951706,13139637.56489541329201014265681804569733
1980,40450789.3225052439216305140316634204113,0.3309300570997027997194532072144626070895,26237308.75964042905219526728346842588332,50406610.96519423735397016985832239718658,0.3095684704774300505359414422335251681237,30584423.01855422689664949262669493163762,43040084.70293431046531858020639259200958,0.3144295080613777160108329617387423772331,26524822.41372478044414020979342886932142,37480542.05620034545543432018494244208558,0.316614809581136783914366427770806683386,23259113.58479845617154700607501506163974,12926068.90899389189853584967337995510095,0.3519709655829625045353128915279051248331,8917217.8719773619986082689740545403384,90857400.28769948127560068388998581759759,0.292665028905688556146972350555347215264,52117936.0157307574728886784906594477792,15562706.24352588902837757700450022230145,0.2436993585367271904225200891896297678721,7433538.19613984568370490201865985181255,826740.685794959419551366441772670681921,0.2754706726791364947943369661901699444791,446375.9131804102700635517716210060271522,4190397.15266711405124897601341663924209,0.525192905188427828041639157625573044608,4313503.03482501281887537573579995932742,2993601.51831304030219642908847420781356,0.5825916222374768083196406256931256328126,3418332.44317767286322128565464950520967,2023536.32014903316860391336671510211045,0.4762063295247300419475046946754277259502,1888696.77520917422789744984238326759371,5017137.83846207347080034245518930992403,0.4390975476018044510700861089953866752485,4317905.32486387260890643263617749605048,271580.5582276478856167097614837816718291,0.4640766242192594764797246482408196177571,247027.009785102975864140300910745513954,1127405.70939918005972355801749270528889,0.4839638526352269253340725105709394114955,1069422.27678340536947300146400664993273,4300818.7210628083940869473687698250723,0.6341765015141328026590754571139159720797,5345857.21353339367031289780720292127952,4520978.94754728991474317037458370224233,0.3421349267327535730289827974188578733946,3031698.20991965025201516407541718238804,30181502.38574519956886221249966665173812,0.3844497103914121291688098813634514043729,22742408.90869981418818012270358999213759,11985199.86393693807572356778933998277836,0.4919534067598784697518181065301806821756,11556473.41137314483216913258115206046411,10391685.70061645198869074863101302493709,0.3835141260231300422283222962816234198109,7811302.18838279369449511546070744393281,16593164.36854381039222303224704112950387,0.5434863374552720159135101017528436008466,17675589.9337282659760242712323960877858,5358304.27292237672817019696142265674882,0.742785058253479161469303665536714651665,7800933.96894492724699782174712003021346,45495113.5196505129648916903887061152483,0.383441316377619161124156629363671376888,34191624.18477906186158879704344892292457,66074957.60163847546406960984839564747388,0.3021756745579632652872514431628542294878,39133839.9739413006926366104853552108911
1981,29227112.8764806799818365780281046137649,0.2813954202030788476645642793924094125477,16119776.39003219103902898906863332764728,26168380.42956994968964064526465080468042,0.2200620949746161109626305955534211595516,11286990.49407085931276469306363989289663,21046540.46195549981776629855193704354412,0.2155770416986248182257335708931403740011,8892815.82432639944865243895455635605176,18122941.83215127507630642693466500556169,0.2215543772080488080338321026723549663159,7869825.49796794270044319817081561608305,8045438.59741867461333421832998579911886,0.2563290142148658597302297581438372511798,4042067.51542102130432930049028830958903,55395493.30605062967147722329275541844524,0.1965244027540591050397897108669385035966,21337669.82498663500367708594909918206028,16130748.24128635552066576948513623494228,0.3726321541904318175052187690423289936325,11781237.51307394602381418817056844896618,1104936.65163377423327902179459883763168,0.7891328938542329640471044997088038307724,1709006.04056155882652243714837674793746,2496532.29568923684426442832652235999461,0.3471367870525080290012871423254067024105,1698610.87180083189281795994877350917599,2626749.37526190036166735100254909421842,0.405287151714563997263356019951724787596,2086592.034233095779251506125230333898,974719.5720611107158760991185721034078722,0.4132049194488616391844509313413595873337,789407.4876271306768776992046638801783642,3601468.94732301107754345012112119762629,0.3349992768724314841584238657221542962244,2364719.40634218246604183226097076398144,559096.6748647242883088788125378763481922,0.4734938335001071762511109521266543039338,518868.5026425681853919996877205987071475,516872.4780342719041563457729717178672899,0.4875632821479372434130280749154485760011,493935.7620109613270279246125473033716087,746501.2014295128526963469265728832567929,0.3657475654321726424605601818261824681614,535140.7541494710339900693744246523279592,1042607.39897279449009147920394812035501,0.4063830701316720258455943462063909944838,830448.0716436601475037546404084484872304,28679028.1336084195043223236759830472987,0.3179980674253155185197198858863048586404,17874956.02336251248283031704882509258559,4326378.68984958333145562288857483339734,0.7380073995606162825821336909435384071229,6258082.99336429978630161476824308852264,14443402.55552527891206292962051767549656,0.5415019119594252245779273728780178150118,15329414.99407251028518088326018443775983,11454508.60091612839550529853192982017752,0.3087056559867082156210073615472888420253,6930700.31963636132729503376168344772903,921734.8248714424748416616826898112985855,0.4380143201745515444134374745980715788852,791316.7832866574325053804205624163804461,31544105.88690972303957537439201364512597,0.3038107919910526653330677207113483956782,18783541.99261727264534883528592177323364,51276323.07551908963778459399827107769456,0.2446009018700562879728725122272396712039,24582780.34295060146080809021156542112303
1982,28247888.66969298100224376400937300149746,0.1723208519609564292727210309553422312677,9540692.47365309554608779842049428373098,16285911.69720291260821617800025642748015,0.1890912317428191152266234988919298484448,6035865.28164261365811847910050419292803,12717875.4970198395620212305450045778387,0.1898267337389350930568444335812434110026,4731817.82076751531247198142439666077047,9868980.31874981954306696941354570167022,0.191507299256281187596435038557203562587,3704364.26382405514801502581778234386794,6416931.37845309306514920858671072581003,0.2071934669107554832778283464456924261456,2605910.66809101463829177121809464769141,44533800.36689589361045994200962942897795,0.1490690823674347298414746053246018428349,13011680.99985428995514274958170004241762,14697910.04863297056672491501807674554974,0.2502435096601257323853032121943712279286,7208990.92666793793247229289681949547045,594140.6985627224402025852822902359734062,0.4185404049780566108856351468207026292338,487396.9016371591226759624677495212240208,4396412.56860650010758332720249273942273,0.4075384658814653590019498644844935524068,3511746.17784009582690954407963612371292,3780558.83474022016567609494931650842759,0.3648691574212129273382927324456433576911,2703642.26056145393121641179245967467108,1209994.43242900238210981753546646696852,0.4042921789860488815360157769316363643449,958814.9198695093659759091510787350838827,4990553.2671692225477859124847829753961,0.3599795248207282965150147573252277468989,3521134.107667895289993223655542376837,320378.1552100379483615828004028989174105,0.5935204481085894074311532056755145050512,372695.9330391512652239546175993781110064,297833.2051574119590612293002248602399783,0.362121379451818774452459690302952721335,211389.4713523907862863549848019023151084,793040.7592671211748598180336855421538128,0.3559985579495534408889648065272149544211,553349.8787208556311422027452638201444252,1130834.60022618923574682234629294104469,0.2991305203659831987212200015537906576526,663003.5991304963931286142036053463338795,23250294.20553771457411067877191743308051,0.3080927227532395678897114150389812827815,14039963.03533204769427004931401344820136,4588484.4672713675799532268939633257471,0.2986419618073022429262363104029629828872,2685815.44593538045716727801936446580106,9241855.60064057348051756731298749828487,0.4941494269032051531978750491846580219569,8951040.99121428379378286207045833413166,10402661.37756122052674371676248086240874,0.3856244152749171248255416831174845463899,7862579.61360901871557817910646002260591,1546070.60629792744159378617403679663699,0.4196187759285907605426750653088911839348,1271570.10041526453734125816529632050872,26161930.36044988534393755749510861628832,0.287377343107992114558246225496911317137,14735958.23362230893007812161464985403956,45850393.67625207845844838499796833723406,0.2136244339219653147960207076239133224832,19197738.21260967259140935896679343202364
1983,38625538.42579437810421559283766520282884,0.2365782180036590096275550352833502424587,17910403.65840432922963472279193307592846,15244735.16297083636748464714736101430089,0.2364278246209409435433891826744799004147,7064387.96014697848981776080958607601052,12096218.40952694699710895337161100376134,0.2504306103966725239773424654099671497304,5937356.18518702924462334880115219805522,9648759.57597068444139067966055443043858,0.2483586065428390660572967154790687562283,4696850.86698370968625956493838352715686,5595975.5870001519260939674868065838623,0.2433147128039927664418384299213878898221,2668703.05790582973385460200778922513695,53870273.58876521447170023998502621712953,0.1868278862156596872120050747729201665703,19726359.91511863805563470954707645123952,30181302.03694452334298984110535622662095,0.2697969001172520833128673684282609538933,15959930.59289747128525214029739891284634,28783.5467698098188433409765291079839559,1,56415.7516688272449329483139970516485536,1645071.44838962254247383911288170078621,0.3089264756517240471084109982742557686737,996084.0045027149558777638951512692612163,28783.5467698098188433409765291079839559,1,56415.7516688272449329483139970516485536,1645071.44838962254247383911288170078621,0.3089264756517240471084109982742557686737,996084.0045027149558777638951512692612163,1673854.99515943236131718008941080877016,0.3036333942525916865355737777985081126184,996147.0163871511954380313903690900241885,93243.8087090033043532004336784397219305,0.5724843587271511297464632046174980532677,104626.0191867397764599854094889121853362,329591.8168051276109231704179363125996247,0.3398300195327700228831447585120080042504,219530.1793437462431936689780990856656495,655261.2017442755292099928507434906223592,0.4055209115911020911478104554557480037873,520815.3549287745497490514815946777682438,328723.211920742382954603643326599269033,0.3881189063955089159031273939330755910332,250064.0392942954009759156490995992173759,15215790.79042199164009723083575272939973,0.3056924931037030510514261719981921385183,9116651.92168618762820232915320094076097,3419197.84798017999276848467994470163256,0.2772486429959522024884525016067288114201,1858017.20843488254776652813454567015153,6620250.47261857169105559076842024661894,0.510624583755948813678159711678094400581,6625706.77820432389450513652702779091528,4150774.95662885703524175847562702393296,0.2894114635907175583023183741969437741619,2354512.43625796323165756472148251145385,2403692.51988270220147134383190285456267,0.4340858900464658930741505376561072188427,2045081.65350697779267159929694166662249,16622610.82960114046753819818143757161263,0.2917641344428398673310066500448735910735,9505768.05532235605326235543794364999838,48477767.86170509617184521937620460700386,0.2007386095447188047638280567161125291045,19073465.04020506079634775177978326119682
1984,27446086.02964974206082976822669756131572,0.4651265467457723925374059274014030239198,25021170.30465040786298150343433183622317,13004925.38173700004431596032868893746142,0.206367941615448206249262296088023226104,5260247.37650746093446554846179432527792,10595931.41634197693289655467211391130548,0.2161856680860084084640321531444750136028,4489749.48398141457010519089847567425293,8844606.42959878557723639658612051598831,0.2293269735294011308213253391250575156243,3975481.376134800622949571184275894596,4160318.95213821446707956374256842147306,0.1931245360394417001362141723128216230267,1574780.94811926630163276558850862766464,40451011.411386742105145728555386498777,0.3252795197697620548386304306484799925873,25789455.70955020674816684157261862285622,19492259.56286238432100687722029941165944,0.5613099933928159657627505245873682737235,21444752.1694250239858124866685354062733,87651.0951917160418247855146561433959046,0.5731352618837689440483564072991185378891,98462.4294583225356423444274801611371622,1718733.74758168710581727003916260390457,0.4761576819961137928388349623533564216243,1604041.02334530016981221400384824821491,203449.2327597575557847701799741053289526,0.5393139051737746386208677073133680552831,215057.0804395752586815564518552558581141,1602935.61001364559185728537384464197152,0.5063908010440264526586007758341330181761,1590955.221250538154641970645357317244,1806384.84277340314764205555381874730047,0.4586206546325880700537767170729796821396,1623752.98225780074060969293153607676191,151732.5904018908285228788192115296538672,0.7211622207101253411236618499007249094908,214470.6712227217816432796612640490777904,186775.5092836080019568645097297518159776,0.6109443670430326479896384654381035812772,223654.5127848913595924862751050856837204,586838.847947763434458548350915431030871,0.4430034402403959560639549544252709080601,509544.3918748368622512789175506598525668,1072590.49133596414301230852783397148383,0.4256539796770619121229914898840791937491,894842.7259538195312362267412710711004795,12523791.7525250569536828380199689717772,0.4510051392024854231216599800424270632192,11070657.10767338428157342384016197116501,1534344.69123048147474536040820020248095,0.3749363675898240125369542026826492726697,1127551.98531494617934840205152436089624,6314250.06609263958048848944116786531247,0.4168919788055441865485677424726101894615,5159426.0012637414110473131689618519064,6357217.12745455669797524227594349714063,0.5466969758702043347953097115205949440452,6811923.90191816005665819161803428236721,281843.0582349638895559346229879841857714,0.4316421419038787359002285555132728677078,238444.4690210677054287582518674734351108,14521729.19149428336163343822765965576172,0.4049325844286739501291944437719753275919,11525429.81049479207623429547061195404639,35820373.59713007083028237100177781472166,0.3560926943502702701547028564877481747497,25000531.75979724587345939498215373627286
