"SURVEY_YEAR","NUM_MALE_LE30","CV_NUM_MALE_LE30","CI_NUM_MALE_LE30","NUM_MALE_LE40","CV_NUM_MALE_LE40","CI_NUM_MALE_LE40","NUM_MALE_LE50","CV_NUM_MALE_LE50","CI_NUM_MALE_LE50","NUM_MALE_LE60","CV_NUM_MALE_LE60","CI_NUM_MALE_LE60","NUM_MALE_30TO40","CV_NUM_MALE_30TO40","CI_NUM_MALE_30TO40","NUM_MALE_40TO50","CV_NUM_MALE_40TO50","CI_NUM_MALE_40TO50","NUM_MALE_50TO60","CV_NUM_MALE_50TO60","CI_NUM_MALE_50TO60","NUM_MALE_30TO50","CV_NUM_MALE_30TO50","CI_NUM_MALE_30TO50","NUM_MALE_30TO60","CV_NUM_MALE_30TO60","CI_NUM_MALE_30TO60","NUM_MALE_LE103","CV_NUM_MALE_LE103","CI_NUM_MALE_LE103","NUM_FEMALE_LE30","CV_NUM_FEMALE_LE30","CI_NUM_FEMALE_LE30","NUM_FEMALE_LE40","CV_NUM_FEMALE_LE40","CI_NUM_FEMALE_LE40","NUM_FEMALE_LE50","CV_NUM_FEMALE_LE50","CI_NUM_FEMALE_LE50","NUM_FEMALE_LE60","CV_NUM_FEMALE_LE60","CI_NUM_FEMALE_LE60","NUM_FEMALE_30TO40","CV_NUM_FEMALE_30TO40","CI_NUM_FEMALE_30TO40","NUM_FEMALE_40TO50","CV_NUM_FEMALE_40TO50","CI_NUM_FEMALE_40TO50","NUM_FEMALE_50TO60","CV_NUM_FEMALE_50TO60","CI_NUM_FEMALE_50TO60","NUM_FEMALE_30TO50","CV_NUM_FEMALE_30TO50","CI_NUM_FEMALE_30TO50","NUM_FEMALE_30TO60","CV_NUM_FEMALE_30TO60","CI_NUM_FEMALE_30TO60","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE"
1975,4673841.71185573695122890400539023450011,0.6029962688264177791259017515515438526033,5523885.86213520178201795424977655016897,5896931.6888308448889942591176824343439,0.5493341332071826828854418181710022352612,6349196.28141708577412110090285142683763,8520832.716606946878272798605605604763,0.5222302634357009896932212367168874457958,8721679.95999896374366677821772473120835,9323237.75345796816062309091010702379576,0.4766315187559388376300774438271055108803,8709747.98150062210282699237038576936208,1223089.97697510793776535511229219984379,0.4828480621365862068186472310266240660462,1157510.58539418091266575960266528810394,2623901.02777610198927853948792317041908,0.6572508286195508867733536745619601400127,3380139.8044542071096747319873524820728,802405.0368510212823502923045014190327414,0.3402124619906095278053863313840777864564,535056.8584774733623710283349516590423792,3846991.00475120992704389460021537026287,0.4899025776622878177543778972610273974353,3693915.58656365443858500532910170614857,4649396.0416022312093941869047167892956,0.4092475132764913324447260437690038161046,3729397.38579601971403072255008714478229,34107492.61991604873418251028056251695506,0.1947508904849319728850347556128669226455,13019230.53747631596910201657696302186814,296199.4868391481502444500361458486903544,1,580550.9942047303744791220708458634330946,917850.214114778086255172517532470509306,0.5588324497651481230506656838183487924334,1005331.98799560526026596731518594128335,1446954.11996794286244565682765874699677,0.4366165449808177058789146712155973446847,1238257.65286807913474500367012892311774,2533874.03170231703278538099357669799214,0.3514117653897502651454000471411840393647,1745248.96764128030721212312012532414486,621650.7272756299360107224813866218189516,0.5099327286921760433998081008514706627945,621320.1012401499350625168226477326540634,529103.9058531647761904843101262764874657,0.5224662177738656412700319540467363570361,541820.2763409456833310466845359396498964,1086919.91173437417033972416591795099537,0.5402532559193872918998775932471803753224,1150935.56162669304234794215379612954876,1150754.63312879471220120679151289830642,0.41276248059694398861734260060090894397,930977.1403801883498601378959128977222317,2237674.54486316888254093095743084930179,0.3501911395863715880930658064413093350421,1535883.04582253503380109236938165639974,4711275.97985085926416225355101120361384,0.4282451690352594766914376343642206157693,3954459.10959145833411072812746469445352
1976,11224779.83009547239400982989098827797557,0.5018907149621807621027971789662085474407,11041881.03747057777713433138939618306864,25391430.84168681991686400825256369561028,0.3755641387837821525229214920393371910073,18690777.27883030760519401150173429391451,52744415.27551727588726021441854192021711,0.5034800172985692393472092769680535431522,52049287.86602790108442652378664520718681,59896923.98021043821342881276032941042211,0.5284826330215691058474717177652674996586,62042788.82611057573379224965410069610719,14166651.0115913475228541783615754176347,0.3385332381923680408501406148828484506942,9399929.19293860240799708464832478043086,27352984.43383045597039620616597822460688,0.7411875034940452003519657629236170296385,39736432.88141965911933533380304985175033,7152508.70469316232616859834178749020495,0.7480000008496403843752103811952291573118,10486149.97368758950355023031172566477793,41519635.44542180349325038452755364224154,0.5611008265937319788975696968512032483825,45661535.46586131086219334478281619837603,48672144.15011496581941898286934113244654,0.586912570697226472154210604705421791319,55989934.75920029757530628755652735280062,87781203.67044086658865492355309712567148,0.4591065624003580384991995701273475462893,78989816.25458352369273236754419485027098,12085266.63949721048641117395053657976472,0.5295325614769980684910431284685619857919,12543102.71150112211231095640003461359972,29494998.86419603251086983249724336959867,0.4028702483158046484801690420268617573189,23290008.73232634210554118641383100421809,57902264.25885530444956045005788698038159,0.4930016990155283512846105482021687475122,55949992.72666506447322757708540214421799,71959198.40668870158657694911367693937619,0.5384762665644856929198835988976986541479,75946708.185893366081403082183318061023,17409732.22469882202445865854670678983399,0.3724848540897865394236945391182939833789,12710328.67222002322802265359671642193596,28407265.39465927193869061756064361078292,0.6873654511359332207083941427417305931176,38271298.67533478286720437881708096917483,14056934.14783339713701649905578995899435,0.7640277678786798806419184613837645286166,21050180.51956601730278379338361589343408,45816997.61935809396314927610735040061691,0.5387126957175370274028568995557741023089,48377108.66252841548072793622665967487223,59873931.76719149110016577516314035961147,0.5881299503281086908351111065485884508243,69018758.93172632531016182923293220182723,76215587.95802344672995814730385049349029,0.5241304038849430537049748861241241201093,78295937.52158377347641013726553126208039
1977,1802561.94020876726025879522031185450431,0.5232986730653759091020848249174531040638,1848825.41200161885659394884149790715486,10824013.72080696830464163074147021897083,0.5359103853118410336277811499068181981718,11369374.67292710038218120701581795458825,56564057.30053546801743942812669557966322,0.5083474173942281833265526649540366044098,56358217.19429003313205231794055717152873,100634556.325311178514232353287671580413,0.4629807654976236384599968305984892646099,91320053.28909233303536020299482798918541,9021451.78059820104438283552115836446656,0.6133589685540478092506531807292868059843,10845441.1836552695966584309165619276191,45740043.57972849971279779738522536069246,0.5179730063809808127320209049385553918365,46436531.45457853924952161965277524098117,44070499.02477571049679292516097600074964,0.5584193268284293393452844907994373034725,48235244.06088007973906426636163708927948,54761495.36032670075718063290638372515891,0.5232790959528482345048475254291612581505,56164869.73894858413699254478994362306196,98831994.38510241125397355806735972590878,0.4708362141563706055552347182833222299671,91206016.86465838040955097129691422457366,168995368.619367276947007190337958486376,0.4520169450749564286419723665145331639177,149721989.700079405148701211524717885359,1840619.30364177292776772925690902302267,0.5722458732025307007437131994890187904311,2064442.12926600387754688036854404842831,26634292.14002444891650685896543177068681,0.7930771140790454922501095671684672928076,41401173.19005963735540688107404270960104,81792747.70497681645158846366984912753524,0.7126474737439508714094858649175846818108,114247214.244155004847890023358701955141,180607090.988078510881833793546088833916,0.6406539672436084790336108715801735565496,226785032.73352613822669291544107109866,24793672.83638267598873912970852274766412,0.8488563137422799768700292085377486604274,41250680.82692683909292034549994770494831,55158455.56495236753508160470441735684852,0.6796617695792861522673733060767270598925,73478623.29241046201737319438835794889737,98814343.28310169443024532987623970638034,0.6022017517678148419024627289123933593907,116632094.424745294986639341107503598213,79952128.40133504352382073441294010451254,0.7285963832442389301543607458377984485969,114175549.908347746478342645885294091369,178766471.684436737954066064289179810893,0.6472329804120621468911542105466965644329,226778970.281490351058192625275203812136,260066048.01633010700758692462806269229,0.627801262684440884327534636485121976689,320008794.918968768404611469333612574857
1978,1004953.9722911107729839099615116218809,0.3909854146658166242356903405778400985389,770127.7973295470894586542747972214039637,10420632.56798067845015761616697474769521,0.3142846282877343278938819312961154743075,6419087.48097569725430194391825712605633,46616641.89284786297877184383368788176161,0.2792651383093428251105617018727829306505,25516069.77361759620142255184088312983528,71350683.43107131187317122523692657695351,0.2287853425377796737298941857997557087942,31995021.47620136830774692757606837506308,9415678.5956895676771737062054631258143,0.3217814169937401104343271253125577364738,5938389.18493809141932359568742509931538,36196009.3248671845286142276667131340664,0.2982871025451716925978520058668430308696,21161733.38061679140665550092169306020822,24734041.53822344889439938140323869519173,0.2424940510506278076851193017760328043162,11755801.54565827929717992048643964646244,45611687.92055675220578793387217625988076,0.2821569396246612640005707465828639584098,25224522.37856766909532948660681335881237,70345729.45878020110018731527541495507255,0.2296034262849108885849315454744966303198,31657176.19616475551398334955936674207061,147665232.112242031621930497194049638622,0.2085732622223811607934809595603867289134,60366077.58981185533391066048803019343113,1385669.36001895737479323130040396862215,0.3148679340108282839021132084472061535849,855153.5832781004320935082813594264632425,11741365.97167729338824232142676745231754,0.3243682800242796939545103265846520901136,7464712.30332239552184753052339671327094,71485949.087863148458140006382248856342,0.3870730199197159858425865567770401811438,54233753.10272186033267793027966172485462,101786099.767317102524170188987140102009,0.3503179251720138348193583109810683148769,69888690.75240272995010068197943219902911,10355696.61165833601344909012636348369541,0.348842662204896006767130228576629251428,7080517.19899434550278777509555616169554,59744583.11618585506989768495548140402441,0.4215163902143796766002115933063275734023,49359309.17959536774617015623325346165114,30300150.67945395406603018260489124566691,0.3181409647378816112362792518205109975857,18893849.57097473349070273072809047901718,70100279.72784419108334677508184488771982,0.3923626676770741787659187845178419763262,53909276.20749509779174526676499758797673,100400430.407298145149376957686736133387,0.3536998501172610645590398239247468276254,69602769.68606891422486252344594161966188,143423132.490417977949851785643654880815,0.2891099317447111739382227632403458396219,81271502.00803812190083210090927529063375
1979,747635.757930677693536265978322891872319,0.8379695634862438299416596282685782571323,1227932.17905095900914860271035371432423,1660573.94286464295065283853566205286156,0.5122365747942443932372040760906090419774,1667189.14902369366912533396839477195217,4852271.34011557185629303249372104760953,0.2610812432019275139976750822659458357953,2483000.58630769445158307384081561648204,29514901.31885886536588644342867796583723,0.3123561454994286276344062250388234016692,18069555.18907932498460163034572336402154,912938.1849339652571165725573391609892395,0.6322350155536353964296945441140926388233,1131295.31560041705685762163723521391699,3191697.39725092890564019395805899474799,0.266775542226968111932691411963534582064,1668874.9354009980258035102265598628448,24662629.97874329350959341093495691822757,0.3452686697546983636042756332587064855359,16689857.55300956179054318214438984841321,4104635.58218489416275676651539815573723,0.2712932220877010884227900005665671070041,2182577.23267006282074841408701558944367,28767265.56092818767235017745035507396488,0.3201507262612970555275779305790854560268,18051327.4852902062754824810555603628455,135848375.799292924986278083291468687262,0.2906935614902757487992687334628106017548,77400886.44018105779647850228597208337959,72525.5778716906298457265581515096162661,0.7193196432222053066842508339252391194911,102251.3826863315930033892221272792753764,2155757.13714198473228105502792017164772,0.5274891985356294221349246120444584122592,2228791.66483663743685196710802404123756,6575060.05775327446659723964877211130615,0.4672374195427494036388444127531252178781,6021343.62565755201858107630752014801494,18489656.2621568532253744932669564279926,0.3169167698829685341433306566680489042535,11484976.99214433710072706416390885107961,2083231.55927029410243532846976866203145,0.5452622804168139196774252921106781547646,2226378.87766223139634402887066632226112,4419302.92061128973431618462085193965841,0.4589939253602961247637229989826720354129,3975729.06197969010220171716593316203049,11914596.20440357875877725361818431668651,0.285825371269291051717657094567432322852,6674768.01194878419525533521501941395673,6502534.47988158383675151309062060168988,0.4723691893863032850404902591232222040084,6020330.00478757596719149908520178751893,18417130.68428516259552876670880491837627,0.3181928663359658406426188703901505074462,11485991.22014885712663153917398801367956,48973783.91591481047366752166377591957952,0.2540028176693844016338587385397758590591,24381379.04888492246788104356905025784356
1980,2005881.51795265514347162984745847299968,0.684169953656095480495146703437407760941,2689833.17574748158718048253802766511569,4095090.64695531838329352572779920101887,0.5172239165487740785644155256803205671355,4151434.49315934638140287379725142580848,12882425.67033994097442807717582986824714,0.3830313972234250779981602085080230268773,9671372.06810896299240650338459861803705,74621492.21248213724873315172322840056512,0.3567429845224946284468164738931438975648,52176559.92914981833157621697979727854557,2089209.12900266323982189588034072801919,0.6457101818455193161452896799753496335583,2644086.26893919226004829097796479437281,8787335.0233846225911345514480306672283,0.3882041568457262042544746951141754583996,6686108.76800093645557043208350277361813,61739066.5421421962743050745473985323179,0.3632187923496514734184959919677058811382,43952586.81285405596556825134150960809902,10876544.15238728583095644732837139524747,0.418649250924196853468042029447581458241,8924775.84160014597761988630436326590287,72615610.69452948210526152187576992756546,0.3646038217189717946328017573943161056739,51892821.18433767826777912939902060192775,476278030.722881968213862309111671169276,0.2112133100017409977370964770762550963451,197168668.326177952750184622165397238376,4670125.17730609796601726112097589819913,0.702808789324705987893855751061640083211,6433121.84284036014207031449200931608327,6522314.41006331840920868781277704315005,0.5439363514447041409810513388399488048071,6953538.85024271626992761261526544029039,16428272.3609693339167291114921159967212,0.3520219939707170993606374288179783414214,11334901.86024479265275247442391521728547,49648736.93945940378788804705982905082974,0.294599839858380326925832734545403104273,28667959.50500976061105145437735828770051,1852189.23275722044319142669180114495094,0.608702022333933088952112912106081764234,2209765.41017993374175008763399844074552,9905957.95090601550752042367933895357114,0.3536481094196494391048877742871065757429,6866317.67060377556095302845060355705836,33220464.57849006987115893556771305410846,0.3013547417672864875667291527276328399153,19621843.26790271900736479957021366865741,11758147.18366323595071185037114009852203,0.375836320553922012854686396337097590323,8661511.99711732449787034391802517647024,44978611.76215330582187078593885315263066,0.300855607628400813364629112505953350922,26522852.44108975458427137773469608888276,159215724.834698538779596186694700709434,0.2446588475393558521371161401050416574274,76348930.06647306434320652167092102105836
1981,1618341.48974751702299593508135968591317,0.290272663864527619823453816550768562092,920730.1787321397649878181632778185125252,4056625.81745084191006112706705412146144,0.34060076603641782390711109634781336193,2708112.12745585815691382916694909662659,5737440.54100816847698148881924069452088,0.2962926527311981836825638831578309093652,3331924.49645434894478787047146141054218,9638148.47981578915374946948899612260834,0.2469843989962453768964131281276463440125,4665725.72705880225178717196708972257271,2438284.32770332488706519198569443554827,0.439114934831313872965711256493402247355,2098546.64477293255574891803752322515348,1680814.72355732656692036175218657305944,0.2757204833485359064856647489329854735988,908332.6940771812113578568156725450481623,3900707.93880762067676798066975542808753,0.380438678609328831855944908278419307199,2908601.14080654423998547067626267162986,4119099.05126065145398555373788100860771,0.3428225751730673365171777249893799833269,2767755.48252638545739847497223493412625,8019806.99006827213075353440763643669519,0.2697896137473350703782674571505127960907,4240774.8351502461260318508055781791021,156059733.026434040162180211851492877288,0.2028356008158911243419797731663485403504,62042760.63470525826272611150239218374416,769079.3490339979697451043128934614013242,0.3312354189181569513260206539671565694775,499302.7879028163377467931240378086527247,2206686.23702324438875477814187039871765,0.3793016414444223637838157488897512699902,1640519.43523723524015619363369603355028,3447092.63984603165052955186634000936479,0.318633508800389227250425097889525862492,2152784.07706850941955033853068920799429,4444985.74661733232513143703351690689654,0.2771719738615707410672369237404529449529,2414769.92742588853098752628639382229376,1437606.88798924641900967382897693731632,0.4698909226460821081169903954842774320794,1324016.11691927443690853464229772607703,1240406.40282278726177477372446961064714,0.3014923433711385088063872054082690062756,732987.1449144287948811269489703520237341,997893.1067713006746018851671768975317368,0.2973327848849907164728777828763079021614,581544.419449538584154458404277571136086,2678013.29081203368078444755344654796347,0.3480052486195296024697343316994471469304,1826646.85490787496738512999290238289117,3675906.39758333435538633272062344549521,0.2892729921857615386564588218580674455631,2084147.26754248086431474541056846747532,10276214.8912561308867267282436215966469,0.2183773585322596251666317936801751029273,4398421.62077827548297476347999340682183
1982,2735164.36473615084211275192692555527214,0.2319950658521378837136334138340072631554,1243707.48835023302384828304214130526234,5229756.88988699626437607312385442816233,0.2301414839177108492541856791549648001061,2359024.6618882326926397836542578766937,7914537.52386398276800821478542729144118,0.2176093016700871437558500051090544161959,3375662.8878750942273641800246307392297,10070876.62468201716505992888303164424458,0.2265607211640658951238986372011261214854,4472063.53885089152181186501864582266319,2494592.52515084542226332119692887289023,0.2601216416048015449998826199751690467954,1271839.10544351799038041128000887418079,2684780.63397698650363214166157286327887,0.2794652967090319266881704928071887495547,1470593.91228716109709593018827467640646,2156339.10081803439705171409760435280339,0.3487528642165675124356492174720297439906,1473977.69775963577835420213670366793455,5179373.15912783192589546285850173616905,0.2289520103702631555549297413045262032479,2324222.6785905921114993826086474050144,7335712.25994586632294717695610608897249,0.2440289125634852595174795253626869284054,3508646.73591950466188569015359830380633,74263771.60544149543755905682466875713063,0.1808174485124742767762830131272935447879,26319243.96927377085450149827714194838831,2857657.86448981487716639683921550759828,0.267135272599927280133971478476292688775,1496227.17675051298733110697450366838131,7192204.06106300212737443849920148487878,0.2476825155387989654148348464331526301502,3491511.06046040209312267815531215769007,11160152.51190697881182954463045268693143,0.2279080687341750636298839473144373556554,4985238.05930444154584826390045625742439,14013519.872630892219015003755282780122,0.2298851796015064040898332262287566797831,6314141.04422730233961417020020198062183,4334546.19657318725020804165998597728052,0.2577544133799912144375155103979091028078,2189806.88784574017039612163466259503773,3967948.45084397668445510613125120205268,0.2822995234482442145151108181097155770628,2195493.91521128886397842194354959177924,2853367.36072391340718545912483009319052,0.3630761165115233296615133226415208574754,2030539.49901225186656015895835407581541,8302494.64741716393466314779123717933309,0.2309835943331259198479778787140590760636,3758770.50896023279836408391216883476791,11155862.00814107734184860691606727252364,0.237490629889540917801854948837740466122,5192848.88273747768416202719644729622444,15489512.24462921088881595282734175046231,0.2286796971269591549230575013005404088091,6942588.45874242108797793746035822009501
1983,32102286.73956873681020923980743567645957,0.3484561895994661485531565502473886184475,21925031.4088111997789378213204551860588,60126274.11073784575710087722569335809372,0.332180982616973615960872608137228207935,39146697.43779670223700907014439067109534,74421723.02742439223775442477219356360636,0.3579649177469849690559246067614738411041,52215117.28571770473722912028827399333071,78499590.22077132012032435097455956276959,0.3570149011710080084478223230827482513282,54930025.95148126718468147121289291638155,28023987.37116910894689163741825768163413,0.3695215090428483946448881949504932064709,20296713.5614725848011822705175321113681,14295448.91668654648065354754650020551261,0.5196555771209652482862952028428308879415,14560271.12372788854354025787728271284903,4077867.19334692788256992620236599916324,0.37653911487950849753485558368418689289,3009533.94701491402506834162808043230009,42319436.28785565542754518496475788714665,0.4046265905844173646500492542683633151693,33562195.67239463116550625661646534920368,46397303.48120258331011511116712388630988,0.4000584292222256759897682085734657116661,36380799.40764014493439792439869688473914,107952481.235106216415192351246197737019,0.2772451826628277581004349296583984841522,58661438.54270771740049998572124838428847,34500544.18391174816339978604389505330008,0.3553279233968053836179882659706818312986,24027653.17302102259384767684463667560953,73090525.04424730740823716117132924051138,0.3254684588804841580849279507647549434809,46625774.66803654054794549984576689722447,88279817.89306748149317776911585108274292,0.3461602744775697686373167356114735627732,59895573.34568046402938187250604101824439,93545315.53415000381346230010197241496797,0.3446438266595968591356922509246800199744,63190038.40306701907932296872108433805377,38589980.86033555924483737512743418721118,0.3547588667999121467733544275929273500765,26832670.2444921659497716791951063812671,15189292.84882017408494060794452184223159,0.5416854862460687331553319764201545385206,16126526.18579229752629475702598795223482,5265497.64108252232028453098612133222488,0.4432847572429981354477170881411865111927,4574865.09343805665605634772827520297357,53779273.70915573332977798307195602944275,0.3740292124565334033200917514539460617981,39425438.00816294711519948865165018232429,59044771.35023825565006251405807736166775,0.3722226612627157494497428760007500086823,43076491.77424310620252496333132112131357,96458460.63802036233781345818606050000126,0.3380129666530016040916356050383759926077,63904252.46051652735139097228418903562991
1984,5428512.1980270194025200956268244016196,0.2850417210712188189394291327084553125027,3032810.82117218421897951756692768610395,18268299.66057925332265256356022347549835,0.1959265040048804606368766493791134549401,7015318.40975724137423429677527965430151,35705091.39072358784377637403315020292875,0.1836937295062657438277300508655289612636,12855250.74385118996086245404886646617297,42691788.1179598845222330243631678465739,0.1875042345695545865604516649794728206323,15689586.46478880010139677609097575494432,12839787.46255223392013246793339907387859,0.1910180697343022180182558471631003704834,4807157.57711502701748240139935598877362,17436791.7301443345211238104729267274303,0.2427776533843779196314627504705532358481,8297196.22244127448846797029571698012968,6986696.72723629667845665033001764364519,0.2811208181387709553241699937361393045362,3849647.56409435671463700873256949370345,30276579.19269656844125627840632580130904,0.1950008315903376985228415428886507880406,11571757.91576163027104261023651046449127,37263275.91993286511971292873634344495424,0.2006143806881876633651611489096137788711,14652076.08133716079807803000674306694771,67187295.58901037938112665792016613099846,0.1531492506652431805752305881719361870922,20167780.58841503059038021692637720177786,7740098.53183003201922024529966062024318,0.2783627775868596831053106529635508222731,4222928.43918771745786692666711468791616,20804906.39883932840363584422261028882553,0.1969099397422865635856417238570514415746,8029518.01606515403442149896501730536836,44269430.8227465283940946244565706049691,0.1716154766920845927190379270805840340202,14890746.16812449987318587072964699417169,53543596.22287169150742956466552345601183,0.1824070465745389600017594991990961362655,19142789.3299875833481312532725690154918,13064807.86700929638441559892294966858241,0.1869384374453113362341519740725320705801,4786936.94563658040776663678790038647429,23464524.42390719999045878023396031614365,0.2383198403897773536483110460545706131309,10960440.96243408876983605960317060162689,9274165.40012516311333494020895285104273,0.3120306176689245205977428679884202530175,5671894.17400305340869678479323200566229,36529332.29091649637487437915690998472594,0.1859617458620581082824952688660644529059,13314394.47966840935710839709541812513583,45803497.69104165948820931936586283576872,0.2001188925171216807450498314362180037797,17965644.65342992198792580806024224554203,59032175.0545004093666433494745448997579,0.1847455849182482567492306358086378211791,21375630.07050259951347643061490082874004
