"","df","AICc"
"mod1",5,78.5340385635399
"mod2",6,77.0744078106622
"mod3",6,81.1015069970727
"mod4",6,81.1091937737822
"mod5",6,80.9750310379167
"mod6",6,75.1755514765713
"mod7",6,80.1860638929905
"mod8",7,77.1444927842716
"mod9",7,83.292602443601
"mod10",6,80.9754064519286
"mod11",6,79.4895414352458
"mod12",6,80.6735535219355
"mod13",6,81.4404366394104
"mod14",6,81.4415808793495
"mod15",6,79.6723332493673
"mod16",6,79.2782157109854
"mod17",6,81.0516456400057
"mod18",6,81.358491893162
"mod19",7,76.0852329871952
"mod20",8,78.5649654402205
"mod21",8,79.0252199002818
"mod22",8,79.4615161422559
"mod23",8,78.1511964026995
"mod24",8,79.2837702991678
"mod25",8,79.1036072156903
"mod26",8,78.9837751907629
"mod27",7,76.5171616986479
"mod28",7,78.2669603285958
"mod29",7,78.1852372908197
"mod30",7,77.8966715331515
"mod31",7,78.0619412677856
"mod32",7,78.128009614542
"mod33",8,79.608502738595
"mod34",8,81.0627927979713
