"","df","AICc"
"mod1",5,77.0255206177519
"mod2",6,76.7834325807901
"mod3",6,79.7626946233591
"mod4",6,79.3754953232465
"mod5",6,79.4684085467598
"mod6",6,68.8829015234633
"mod7",6,76.2153805926987
"mod8",7,70.2338526656362
"mod9",7,79.3502531139884
"mod10",6,78.9812755362094
"mod11",6,78.6853837196139
"mod12",6,78.1731416450152
"mod13",6,79.7579592880771
"mod14",6,79.1057919540888
"mod15",6,77.5770945764646
"mod16",6,78.6693382331053
"mod17",6,79.4193748674823
"mod18",6,79.9047452973724
"mod19",7,71.2096358507443
"mod20",8,72.6646569881614
"mod21",8,71.0434162932592
"mod22",8,73.3029711644068
"mod23",8,69.4234332227597
"mod24",8,74.5893478194444
"mod25",8,74.2286916826286
"mod26",8,74.5364102480124
"mod27",7,69.7694926287049
"mod28",7,69.6908946274305
"mod29",7,70.2247849087975
"mod30",7,69.4287939410093
"mod31",7,71.9939512049777
"mod32",7,71.6829684093758
"mod33",8,69.5834918885911
"mod34",8,69.4022860964101
