"","df","AICc"
"mod1",5,79.3968042285398
"mod2",6,76.6478970241949
"mod3",6,82.0879109494754
"mod4",6,81.130541603121
"mod5",6,81.7827612779594
"mod6",6,67.0761511020072
"mod7",6,76.9736237273129
"mod8",7,67.6118567077937
"mod9",7,80.1089429728207
"mod10",6,81.6799505680578
"mod11",6,80.8948160700229
"mod12",6,82.2204293475382
"mod13",6,82.2504861622276
"mod14",6,80.0181590700953
"mod15",6,78.9133450497001
"mod16",6,81.4311988569995
"mod17",6,81.2699298145543
"mod18",6,82.323951964151
"mod19",7,68.3382788403681
"mod20",8,68.9233384015613
"mod21",8,69.9681094444433
"mod22",8,67.5884338875793
"mod23",8,70.1371792896564
"mod24",8,71.4325835197675
"mod25",8,70.5855845480026
"mod26",8,71.6927148133454
"mod27",7,67.0206791511223
"mod28",7,69.5765073740886
"mod29",7,64.6133956815654
"mod30",7,69.9956605853478
"mod31",7,69.7951540880003
"mod32",7,69.1361425187812
"mod33",8,68.7523577430241
"mod34",8,66.4102472284179
