"","df","AICc"
"mod1",5,78.7821758291578
"mod2",6,76.2474619150781
"mod3",6,81.5212934465041
"mod4",6,80.5221007993418
"mod5",6,81.1704240808425
"mod6",6,66.8318532955069
"mod7",6,76.4369949569814
"mod8",7,67.6122771364457
"mod9",7,79.6154813676355
"mod10",6,81.1011881270598
"mod11",6,80.3657006309995
"mod12",6,81.6549656952529
"mod13",6,81.6523445836717
"mod14",6,79.4762554195737
"mod15",6,78.4113371608316
"mod16",6,80.7699583673757
"mod17",6,80.7319683646823
"mod18",6,81.7447333891491
"mod19",7,68.2278130089028
"mod20",8,69.0458205409385
"mod21",8,70.0627398231658
"mod22",8,67.5924051879423
"mod23",8,70.1268240779307
"mod24",8,71.4641594803921
"mod25",8,70.5892758078748
"mod26",8,71.6693147443841
"mod27",7,67.0380646154002
"mod28",7,69.4841115933645
"mod29",7,64.4963659037721
"mod30",7,69.8110814402776
"mod31",7,69.708666828485
"mod32",7,68.9739331044708
"mod33",8,68.8549162085968
"mod34",8,66.3851813094665
