"","df","AICc"
"mod1",5,85.7107589207208
"mod2",6,85.4195817941375
"mod3",6,88.6003633116963
"mod4",6,87.5387319383447
"mod5",6,88.2359396513406
"mod6",6,81.9244152164159
"mod7",6,86.497634166537
"mod8",7,84.8608604134877
"mod9",7,89.4436589245543
"mod10",6,87.2453370496343
"mod11",6,88.3568326832218
"mod12",6,88.623205434253
"mod13",6,88.5675043650548
"mod14",6,87.3118828009414
"mod15",6,87.4060956973015
"mod16",6,88.2777184632078
"mod17",6,86.7995372828241
"mod18",6,87.9412696046827
"mod19",7,83.9918308438077
"mod20",8,86.8627882423769
"mod21",8,86.3816226416133
"mod22",8,86.3749937585955
"mod23",8,87.0819764232198
"mod24",8,87.3130888519746
"mod25",8,85.5056621264607
"mod26",8,86.4401330248182
"mod27",7,84.2681357830456
"mod28",7,84.7593614641902
"mod29",7,83.4473154416375
"mod30",7,85.0725615534739
"mod31",7,84.8415172860137
"mod32",7,82.9395236607434
"mod33",8,87.1136095937864
"mod34",8,86.7567765933157
