"","df","AICc"
"mod1",5,82.3590627489941
"mod2",6,81.5232338372535
"mod3",6,85.280458161918
"mod4",6,84.2440314464997
"mod5",6,85.1406013084667
"mod6",6,77.0543226795886
"mod7",6,81.8233378851917
"mod8",7,79.5678258356528
"mod9",7,84.9540730561083
"mod10",6,84.6362953236075
"mod11",6,84.4312379433827
"mod12",6,85.1033320932443
"mod13",6,84.9570969280712
"mod14",6,84.3119622334618
"mod15",6,82.8455087631898
"mod16",6,84.774166094699
"mod17",6,84.3611361120252
"mod18",6,85.2810878186028
"mod19",7,78.8021341169977
"mod20",8,80.6658514498082
"mod21",8,81.798883880953
"mod22",8,81.3889893751093
"mod23",8,82.1882503209343
"mod24",8,82.091083012879
"mod25",8,81.3467356660639
"mod26",8,82.1344677979498
"mod27",7,78.2063404154168
"mod28",7,80.169942074296
"mod29",7,78.7874322801333
"mod30",7,79.9835627566307
"mod31",7,79.9399944497945
"mod32",7,79.1859475832361
"mod33",8,81.3532158986598
"mod34",8,82.1436648012606
