"","df","AICc"
"mod1",5,81.4873039282848
"mod2",6,80.815519127248
"mod3",6,84.4495703130804
"mod4",6,83.3716131262947
"mod5",6,84.2760987597444
"mod6",6,76.2890444495642
"mod7",6,81.0243303060346
"mod8",7,78.9254512232785
"mod9",7,84.1970988635651
"mod10",6,83.8196507298262
"mod11",6,83.6385615626353
"mod12",6,84.267100639148
"mod13",6,84.0752801236835
"mod14",6,83.4951836233652
"mod15",6,82.0725284598627
"mod16",6,83.829731416866
"mod17",6,83.5703389051808
"mod18",6,84.4507741892882
"mod19",7,78.231926579695
"mod20",8,80.2811306181073
"mod21",8,81.362412907923
"mod22",8,80.8858943679933
"mod23",8,81.681875016922
"mod24",8,81.6291162206832
"mod25",8,80.896957123976
"mod26",8,81.6554573132501
"mod27",7,77.7116945633231
"mod28",7,79.473627663294
"mod29",7,78.106717356174
"mod30",7,79.2766895084431
"mod31",7,79.3362548306319
"mod32",7,78.5528897371156
"mod33",8,80.9515484785688
"mod34",8,81.5250725278761
