"","df","AICc"
"mod1a",3.96598824896681,80.7512801310038
"mod2a",5.04631185819947,77.6061936822556
"mod3a",5.82662754437953,78.5463767369062
"mod4a",5.79612475466987,78.8871076983057
"mod5a",5.90022878019034,73.329871640366
"mod6a",4.96726225975466,75.0575317313453
"mod7a",4.96363584406342,77.9009522322665
"mod8a",6.84390598874749,70.7641071822066
"mod9a",6.8582905532121,76.0311147014499
"mod10a",4.9656077572029,81.8695753712394
"mod11a",4.96535934163139,81.6543896924432
"mod12a",5.46892053419118,82.8465911245109
"mod13a",4.94939041934914,83.1096020118716
"mod14a",5.71376141110736,78.7523269770683
"mod15a",4.96386025291484,79.5180365524025
"mod16a",4.96349549370416,83.395112230823
"mod17a",4.96512598745561,83.1722817071537
"mod18a",4.96029399372933,83.4625633746821
"mod19a",5.96626121277577,75.4047723159295
"mod20a",6.96469968259397,76.4038989812528
"mod21a",6.96685985005425,76.5412908949137
"mod22a",6.96681751048929,77.086323515807
"mod23a",8.48993652987633,78.3519502834262
"mod24a",7.37494771363034,78.4657287999251
"mod25a",6.96485423721263,78.3235501657371
"mod26a",6.95831564234119,78.2626660928626
"mod27a",5.96563917747438,74.8158687213783
"mod28a",5.96239222703288,77.4627732261519
"mod29a",5.96842770671766,75.2802027225567
"mod30a",6.67213701336525,76.6678298115513
"mod31a",5.9677390656658,77.1093544070093
"mod32a",5.96700757023791,77.4469224493687
"mod33a",6.96344757624648,76.8974399732263
"mod34a",9.74775870507623,75.782154610797
