"","df","AICc"
"mod1",5,74.0759951128994
"mod2",6,72.1974514659143
"mod3",6,76.6969532214518
"mod4",6,76.7386374746414
"mod5",6,76.6374816282626
"mod6",6,70.9903833191344
"mod7",6,75.7604360065269
"mod8",7,73.0765143935657
"mod9",7,78.9358959521314
"mod10",6,76.5987239289031
"mod11",6,75.0946669700371
"mod12",6,76.1597958070501
"mod13",6,77.0407026179607
"mod14",6,77.0185390746781
"mod15",6,75.0762747203124
"mod16",6,75.0716198889393
"mod17",6,76.6461624611772
"mod18",6,75.0942319437643
"mod19",7,71.7376693384435
"mod20",8,74.2231004858452
"mod21",8,74.4767069681319
"mod22",8,75.1705166828995
"mod23",8,73.4686527867623
"mod24",8,75.0357932360434
"mod25",8,74.7421654998152
"mod26",8,71.9775481963297
"mod27",7,72.2434298595849
"mod28",7,74.0936124853588
"mod29",7,74.0484392052014
"mod30",7,73.7274192027484
"mod31",7,73.9646638161094
"mod32",7,73.9734654544896
"mod33",8,75.1769318114678
"mod34",8,76.9526620266176
