"","df","AICc"
"mod1",5,72.2606258583538
"mod2",6,71.8573274741002
"mod3",6,74.9838480542994
"mod4",6,74.6504300339205
"mod5",6,74.7305266087297
"mod6",6,64.3714511383255
"mod7",6,71.548889066768
"mod8",7,65.7512070984909
"mod9",7,74.7356065668026
"mod10",6,74.2902670163851
"mod11",6,72.6061141451729
"mod12",6,73.5537633544393
"mod13",6,75.0240819222634
"mod14",6,74.379585729361
"mod15",6,72.8468513019457
"mod16",6,74.0293976247671
"mod17",6,74.6315011099719
"mod18",6,74.0260859377197
"mod19",7,66.7259680257426
"mod20",8,68.2918663552113
"mod21",8,66.6830420128951
"mod22",8,68.8695555777746
"mod23",8,64.747331318014
"mod24",8,70.166823303673
"mod25",8,69.848473230116
"mod26",8,67.3423662024201
"mod27",7,65.3607398402049
"mod28",7,65.2306897304547
"mod29",7,65.7306673896154
"mod30",7,64.6950784547442
"mod31",7,67.5289827691369
"mod32",7,67.2750102379558
"mod33",8,65.2589465183856
"mod34",8,64.3337463586485
