"","df","AICc"
"mod1",5,75.0194093815545
"mod2",6,72.3903376861988
"mod3",6,77.7119089350531
"mod4",6,76.846023245183
"mod5",6,77.4596281493184
"mod6",6,62.5719894696334
"mod7",6,72.7533877838573
"mod8",7,63.1429114589853
"mod9",7,75.9400637229566
"mod10",6,77.2911429071252
"mod11",6,75.9517140844226
"mod12",6,77.8545168793068
"mod13",6,77.9349183195391
"mod14",6,75.6952038305238
"mod15",6,74.6078150319882
"mod16",6,77.091103926875
"mod17",6,76.8676646029855
"mod18",6,77.746945130125
"mod19",7,63.4384053766095
"mod20",8,64.3178901888566
"mod21",8,65.1539056453372
"mod22",8,62.705670419028
"mod23",8,65.0665629422031
"mod24",8,66.4412855359406
"mod25",8,66.1482168343221
"mod26",8,66.3706844600916
"mod27",7,62.7246548401327
"mod28",7,65.170134662238
"mod29",7,60.0417078096639
"mod30",7,65.5278160913293
"mod31",7,65.190086254463
"mod32",7,64.9623547896627
"mod33",8,64.6079165222685
"mod34",8,61.8902917216793
