"","df","AICc"
"mod1",5,67.6119536936974
"mod2",6,66.863838947015
"mod3",6,69.0280324345832
"mod4",6,70.4705386321405
"mod5",6,70.525641013788
"mod6",6,60.4393352899372
"mod7",6,66.8424926940273
"mod8",7,57.4559655723463
"mod9",7,69.4645275299077
"mod10",6,70.0986099998552
"mod11",6,68.959927752273
"mod12",6,69.9108214094068
"mod13",6,70.4985716883907
"mod14",6,69.9437264363332
"mod15",6,69.096817769015
"mod16",6,69.6008988785914
"mod17",6,69.4328002081237
"mod18",6,70.1228556759123
"mod19",7,62.0988254111321
"mod20",8,64.6192226084825
"mod21",8,63.5064725852677
"mod22",8,64.8509493312037
"mod23",8,62.377022050094
"mod24",8,65.5359989402442
"mod25",8,64.951625499059
"mod26",8,64.4085299453764
"mod27",7,62.4299353101516
"mod28",7,62.570821743135
"mod29",7,62.3833674201239
"mod30",7,62.6080857998284
"mod31",7,63.558668525609
"mod32",7,62.9404369364553
"mod33",8,64.4186517793477
"mod34",8,63.9676182925015
