"","df","AICc"
"mod1",5,78.1018677684774
"mod2",6,76.1865642596739
"mod3",6,81.0210298886183
"mod4",6,79.9944695042116
"mod5",6,80.6957344944619
"mod6",6,68.6881013974464
"mod7",6,76.7971033116649
"mod8",7,71.444500409283
"mod9",7,79.9332692661124
"mod10",6,80.2013476904943
"mod11",6,80.2446489636848
"mod12",6,80.3716409136707
"mod13",6,81.0319268987294
"mod14",6,78.11818769789
"mod15",6,77.7061069145014
"mod16",6,80.2001427070098
"mod17",6,80.7770896674346
"mod18",6,81.0322307585561
"mod19",7,70.6093017193512
"mod20",8,71.5212082245972
"mod21",8,71.4395708618716
"mod22",8,70.3313262289881
"mod23",8,70.7180806572568
"mod24",8,73.916431521428
"mod25",8,73.8521948611424
"mod26",8,73.9927121883208
"mod27",7,69.0497968392404
"mod28",7,70.6902142586518
"mod29",7,67.0937097898302
"mod30",7,70.7353574939182
"mod31",7,71.6672070079266
"mod32",7,71.7182642530007
"mod33",8,70.3323492489942
"mod34",8,67.1109953971922
